Mouse,Generation,Sex,InitialWeight,FinalWeight,AST,ALT,ASTALTRatio,BUN,Glucose,NADH,NADP,NADPH,NADPNADPHRatio,LiverWeight,GSH,GSSG,TotalGSH,GSHGSSGRatio,2GSHGSSGRatio,EhGSSG2GSH,Steatosis,Ballooning,Fibrosis
243,35,M,40.7,54.7,137,31,4.419,22.000,330.000,1.547,0.610,0.288,2.120,3.415,23.411,0.309,24.029,75.797,151.595,-188.053,0,3,0
244,35,M,34.8,57.4,36,16,2.250,18.000,97.000,1.428,0.932,0.097,9.603,2.661,26.854,0.352,27.557,76.342,152.683,-189.997,1,3,0
245,35,M,33,50.5,45,33,1.364,24.000,101.000,1.368,1.072,0.055,19.564,2.083,42.735,0.619,43.974,68.999,137.999,-194.890,0,3,0
246,35,M,32.6,43.2,41,32,1.281,27.000,149.000,1.594,1.001,0.139,7.175,1.949,31.367,0.389,32.146,80.531,161.062,-192.807,0,3,0
247,35,M,27.6,48.7,63,25,2.520,24.000,115.000,0.959,1.243,0.294,4.236,1.951,34.295,0.483,35.261,71.009,142.018,-192.315,0,4,0
248,35,M,30.5,50.7,48,31,1.548,34.000,331.000,1.059,1.518,0.125,12.182,2.713,37.326,0.500,38.327,74.616,149.231,-194.122,0,3,0
249,35,M,46.6,64.8,27,24,1.125,21.000,161.000,1.429,1.523,0.250,6.081,3.625,41.394,0.634,42.662,65.295,130.591,-193.718,0,5,0
250,35,M,36.1,51,43,24,1.792,16.000,84.000,0.831,1.590,0.108,14.752,1.821,42.903,0.608,44.119,70.547,141.094,-195.242,0,2,0
251,35,M,29.4,41.2,50,40,1.250,22.000,92.000,3.241,1.169,0.162,7.194,1.767,38.872,0.622,40.116,62.492,124.984,-192.281,0,2,0
252,35,M,27.9,35.7,42,24,1.750,25.000,89.000,1.401,0.895,0.026,34.344,1.453,36.072,0.636,37.345,56.672,113.345,-189.959,0,0,0
253,35,M,29.3,50.3,41,24,1.708,22.000,108.000,2.584,1.241,0.226,5.480,2.302,30.200,0.386,30.973,78.163,156.325,-191.895,0,4,0
254,35,M,29.9,47.3,34,19,1.789,24.000,79.000,0.995,1.420,0.222,6.412,1.543,18.345,0.338,19.020,54.343,108.685,-180.290,0,3,0
255,35,M,35,52.6,59,28,2.107,23.000,131.000,3.816,0.471,0.228,2.070,2.311,20.653,0.250,21.153,82.664,165.328,-187.533,0,3,0
256,35,M,32.2,47.3,45,23,1.957,21.000,99.000,0.293,1.603,0.137,11.664,1.930,10.775,0.314,11.402,34.344,68.687,-166.948,1,1,0
257,35,M,33.5,52.5,41,29,1.414,29.000,174.000,1.219,0.506,0.473,1.071,1.849,38.161,0.850,39.860,44.917,89.833,-187.587,0,4,0
258,35,M,34.3,51.7,35,20,1.750,18.000,152.000,3.164,0.731,0.415,1.759,2.127,41.641,0.671,42.982,62.068,124.137,-193.116,0,5,0
259,35,M,27.5,32.9,53,21,2.524,21.000,164.000,3.990,0.546,0.388,1.407,1.457,23.830,0.214,24.258,111.251,222.503,-193.458,0,2,0
260,35,M,23.6,33,30,18,1.667,21.000,166.000,2.902,0.731,0.402,1.821,1.399,36.272,0.477,37.227,75.995,151.990,-193.983,0,4,0
261,35,M,26,36.1,43,28,1.536,27.000,86.000,1.302,0.881,0.282,3.127,1.702,60.020,1.636,63.291,36.694,73.387,-190.961,0,3,0
262,35,M,31.9,44,40,24,1.667,16.000,137.000,2.758,0.732,0.267,2.746,1.744,34.195,0.819,35.833,41.761,83.523,-185.129,0,4,1
263,35,M,29.1,43.4,38,24,1.583,30.000,274.000,2.064,0.600,0.295,2.037,2.228,38.473,0.471,39.415,81.720,163.440,-195.754,0,5,0
264,35,M,29.4,51.4,38,22,1.727,NA,110.000,2.544,0.713,0.152,4.691,2.143,55.099,0.528,56.155,104.411,208.821,-203.889,0,4,0
