Mouse,Generation,Sex,InitialWeight,FinalWeight,AST,ALT,ASTALTRatio,BUN,Glucose,NADH,NADP,NADPH,NADPNADPHRatio,LiverWeight,GSH,GSSG,TotalGSH,GSHGSSGRatio,2GSHGSSGRatio,EhGSSG2GSH,Steatosis,Ballooning,Fibrosis
343,35,F,36.6,54.3,42,24,1.750,18.000,84.000,2.465,1.666,0.106,15.775,2.671,34.281,0.479,35.239,71.624,143.247,-192.425,0,4,0
344,35,F,24.1,39.2,66,33,2.000,21.000,125.000,1.887,1.379,0.104,13.232,1.547,24.942,0.369,25.681,67.552,135.104,-187.356,0,3,0
345,35,F,23.3,34.4,45,19,2.368,21.000,108.000,1.686,1.049,0.094,11.180,1.556,30.013,0.525,31.062,57.187,114.373,-187.605,0,4,0
346,35,F,27.2,46.2,39,24,1.625,25.000,85.000,1.169,1.142,0.090,12.705,2.355,22.108,0.379,22.866,58.320,116.639,-183.753,0,4,0
347,35,F,21.3,34.7,50,22,2.273,20.000,105.000,1.077,1.033,0.061,16.870,1.420,27.955,0.510,28.976,54.781,109.562,-186.070,1,3,1
348,35,F,32,38.6,43,22,1.955,20.000,88.000,2.367,1.076,0.235,4.584,1.804,20.041,0.286,20.613,70.073,140.146,-184.903,0,3,0
349,35,F,24.2,46.2,44,20,2.200,24.000,92.000,3.063,1.288,0.012,110.527,1.542,18.252,0.283,18.818,64.511,129.023,-182.531,0,4,0
350,35,F,24.7,44,39,20,1.950,22.000,85.000,4.322,1.215,0.088,13.879,1.440,34.736,0.715,36.167,48.552,97.104,-187.369,0,4,0
351,35,F,23.7,33.4,40,22,1.818,18.000,100.000,2.506,1.471,NA,NA,1.351,29.084,0.392,29.868,74.137,148.274,-190.676,0,3,1
352,35,F,24.6,40.8,56,28,2.000,21.000,84.000,2.123,1.240,0.111,11.175,1.765,31.956,0.471,32.898,67.879,135.758,-190.757,3,4,0
353,35,F,20.8,26.2,58,29,2.000,22.000,79.000,3.141,1.441,0.014,106.043,1.132,17.101,0.185,17.471,92.350,184.700,-186.484,0,1,0
354,35,F,28,47,28,14,2.000,22.000,118.000,3.338,1.386,0.094,14.691,1.455,28.043,0.660,29.363,42.476,84.953,-182.687,0,4,1
355,35,F,23,37.1,56,25,2.240,21.000,80.000,2.396,1.314,0.022,58.830,1.572,20.388,0.333,21.054,61.228,122.455,-183.318,0,3,0
356,35,F,24.5,30,47,21,2.238,21.000,95.000,2.239,1.326,NA,NA,1.350,30.390,0.416,31.221,73.139,146.277,-191.085,0,3,0
357,35,F,26.9,52.8,43,26,1.654,24.000,107.000,3.422,1.451,0.023,63.767,1.884,42.018,0.601,43.221,69.882,139.765,-194.834,1,4,0
358,35,F,18.7,24.2,70,42,1.667,19.000,75.000,1.565,1.526,0.026,58.677,1.147,24.258,0.323,24.904,75.057,150.114,-188.400,0,3,0
359,35,F,22.2,39.1,49,25,1.960,25.000,101.000,2.298,1.603,0.044,36.595,1.753,30.199,0.207,30.612,146.051,292.101,-200.311,0,4,0
360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,35,F,19,27.1,70,31,2.258,26.000,102.000,3.338,1.451,0.029,50.363,1.124,24.940,0.492,25.924,50.694,101.389,-183.489,0,4,0
362,35,F,25.5,49.5,45,33,1.364,20.000,117.000,2.940,1.175,0.244,4.824,1.911,29.422,0.517,30.456,56.902,113.803,-187.270,1,4,0
363,35,F,24.7,34.2,57,19,3.000,18.000,112.000,3.116,1.065,0.023,45.669,1.343,27.407,0.307,28.022,89.159,178.318,-192.361,0,4,0
364,35,F,20.2,33,48,20,2.400,25.000,92.000,3.157,1.057,0.175,6.030,1.136,18.704,0.285,19.273,65.650,131.299,-183.096,0,4,0
365,35,F,21.7,41.8,54,23,2.348,19.000,137.000,1.996,1.060,0.121,8.784,1.646,25.518,0.484,26.485,52.752,105.504,-184.333,0,4,0
