id,Kidney_GSH,Kidney_Unadj_GSSG,Kidney_Unadj_Total_GSH,Kidney_Unadj_GSH_GSSG_Ratio,Kidney_Unadj_2GSH_GSSG,Kidney_Unadj_Redox_Potential_GSSG_2GSH,Liver_GSH,Liver_Unadj_GSSG,Liver_Adj_GSSG,Liver_Unadj_Total_GSH,Liver_Adj_Total_GSH,Liver_Unadj_GSH_GSSG_Ratio,Liver_Adj_GSH_GSSG_Ratio,Liver_Adj_2GSH_GSSG,Liver_Adj_Redox_Potential_GSSG_2GSH,Liver_NADH,Liver_NADP,Liver_NADPH,Liver_NADP_NADPH_Ratio,AST,ALT,AST_ALT_Ratio,BUN,Glucose,Liver_Weight,Initial_Weight,Final_Weight,Liver_Weight_Final_Weight_Ratio,Liver_Steatosis,Liver_Ballooning,Liver_Fibrosis,sex,generation
107,18.422,0.115,18.653,159.978,319.957,-194.884,43.249,0.652,0.626,44.554,44.501,66.314,69.123,138.246,-195.076,3.739,0.29,0.128,2.257,80,40,2,36,96,2.466,30.9,51.7,4.77,1,3,0,M,32
109,13.313,0.149,13.610,89.586,179.173,-182.704,82.234,0.694,0.538,83.623,83.31,118.418,152.937,305.873,-214.418,4.141,0.255,0.198,1.287,212,42,5.05,23,93,1.903,30.5,42.3,4.499,0,4,0,M,32
110,19.962,0.176,20.314,113.268,226.537,-191.316,38.11,0.682,0.573,39.475,39.255,55.868,66.564,133.128,-192.865,2.607,0.548,0.17,3.232,77,36,2.14,20,94,1.765,30.3,39.6,4.457,0,2,0,M,32
111,15.697,0.168,16.033,93.519,187.038,-185.500,70.993,0.895,0.723,72.783,72.44,79.322,98.148,196.296,-206.468,3.012,0.219,0.245,0.895,61,23,2.65,26,108,1.765,26.7,43.5,4.057,0,2,0,M,32
113,14.022,0.251,14.524,55.864,111.727,-177.044,61.031,0.598,0.57,62.228,62.171,101.981,107.04,214.08,-205.6,2.902,0.313,0.149,2.099,56,40,1.4,25,241,2.686,34.6,51.5,5.216,0,4,0,M,32
114,20.103,0.272,20.648,73.788,147.575,-185.640,56.986,1.314,1.114,59.614,59.213,43.374,51.173,102.346,-194.741,3.21,0.277,0.218,1.266,34,19,1.79,22,94,1.687,30.2,39,4.326,0,2,0,M,32
115,14.665,0.179,15.024,81.768,163.536,-182.777,34.88,0.541,0.358,35.963,35.597,64.421,97.347,194.694,-196.79,3.084,0.422,0.15,2.819,36,19,1.89,23,93,1.419,30.6,38.6,3.676,0,1,0,M,32
116,22.483,0.274,23.031,82.096,164.192,-188.583,43.797,1.378,1.229,46.552,46.255,31.794,35.629,71.258,-186.322,3.01,0.356,0.07,5.087,37,24,1.54,23,106,1.95,30.4,37.4,5.214,2,2,0,M,32
117,11.432,0.088,11.607,130.651,261.303,-185.734,41.446,0.711,0.696,42.868,42.838,58.326,59.58,119.16,-192.502,2.785,0.343,0.087,3.942,35,24,1.46,24,103,3.032,36.8,64.5,4.701,3,2,0,M,32
118,16.807,0.257,17.322,65.277,130.554,-181.580,54.411,0.881,0.756,56.173,55.922,61.76,71.988,143.977,-198.713,3.362,0.733,0.35,2.095,44,17,2.59,25,77,1.461,21.8,27.7,5.274,0,4,0,M,32
119,20.387,0.335,21.056,60.884,121.768,-183.241,88.263,1.88,1.658,92.023,91.58,46.954,53.226,106.451,-201.161,2.881,0.52,0.242,2.149,NA,NA,NA,NA,124,2.51,27.5,46.9,5.352,1,5,0,M,32
121,7.311,0.289,7.888,25.337,50.674,-157.632,39.004,0.392,0.359,39.787,39.721,99.559,108.685,217.371,-199.777,4.979,0.78,0.344,2.269,68,23,2.96,21,108,1.471,26.8,39.8,3.696,0,2,0,M,32
122,14.462,0.232,14.926,62.232,124.463,-178.913,58.994,1.097,0.916,61.187,60.826,53.798,64.401,128.802,-198.303,2.553,0.885,0.139,6.352,120,30,4,26,116,1.715,28.1,36.8,4.66,0,2,0,M,32
123,12.321,0.356,13.033,34.629,69.258,-168.865,65.42,1.097,0.774,67.613,66.967,59.647,84.537,169.074,-203.357,3.338,0.629,0.215,2.932,93,30,3.1,33,80,1.712,31.1,36.7,4.665,0,3,0,M,32
124,15.583,0.237,16.058,65.705,131.411,-180.650,62.07,1.225,0.983,64.521,64.036,50.664,63.157,126.313,-198.724,2.519,1.028,0.277,3.711,64,18,3.56,21,118,1.898,26,41.1,4.618,0,3,0,M,32
125,14.291,0.210,14.710,68.172,136.344,-179.980,56.214,0.629,0.584,57.471,57.382,89.383,96.244,192.487,-203.062,3.789,0.85,0.457,1.858,70,31,2.26,24,109,1.499,28.4,43.8,3.422,0,3,0,M,32
126,7.316,0.372,8.060,19.668,39.337,-154.232,88.607,1.575,1.457,91.757,91.521,56.252,60.803,121.606,-203.005,3.302,0.933,0.161,5.8,30,16,1.88,30,116,1.947,28.5,49,3.973,1,4,0,M,32
127,11.057,0.278,11.614,39.732,79.464,-169.258,37.275,0.633,0.584,38.542,38.444,58.851,63.784,127.567,-191.992,3.684,0.727,0.287,2.528,39,23,1.7,27,112,2.247,29.6,45.6,4.928,1,4,0,M,32
128,6.400,0.150,6.699,42.790,85.580,-162.895,65.643,1.629,1.463,68.901,68.57,40.302,44.854,89.708,-194.871,2.731,0.77,0.339,2.273,88,28,3.14,23,111,1.622,24,31.2,5.199,0,3,0,M,32
129,13.567,0.300,14.167,45.265,90.529,-173.767,58.592,0.662,0.624,59.916,59.84,88.481,93.864,187.727,-203.282,3.483,0.835,0.301,2.777,62,35,1.77,27,101,2.381,33.3,50.5,4.715,0,5,0,M,32
130,18.104,0.233,18.569,77.773,155.545,-184.938,69.616,1.055,0.942,71.727,71.499,65.965,73.931,147.862,-202.39,2.33,0.157,0.34,0.46,124,44,2.82,25,85,1.535,27.9,32.6,4.709,0,1,0,M,32
131,11.595,0.459,12.513,25.235,50.470,-163.786,34.452,0.472,0.292,35.396,35.035,72.973,118.009,236.019,-199.215,4.784,0.921,0.347,2.655,37,16,2.31,29,93,2.73,41.9,54.2,5.037,0,4,0,M,32
132,12.164,0.277,12.718,43.931,87.861,-171.896,59.103,0.966,0.805,61.035,60.712,61.179,73.434,146.867,-200.094,3.277,0.309,0.134,2.297,47,35,1.34,23,89,1.793,34.1,40.1,4.471,0,3,0,M,32
133,20.047,0.203,20.453,98.642,197.283,-189.511,52.55,0.678,0.637,53.907,53.824,77.471,82.479,164.958,-200.076,3.387,0.666,0.274,2.433,59,40,1.48,24,93,1.693,31.6,40.3,4.201,0,3,0,M,32
134,15.606,0.163,15.932,95.847,191.694,-185.753,65.318,0.549,0.417,66.415,66.151,119.056,156.81,313.62,-211.655,4.488,0.741,0.34,2.179,44,34,1.29,23,117,1.401,28,33.2,4.22,0,2,0,M,32
135,16.377,0.196,16.770,83.360,166.720,-184.523,52.914,0.83,0.752,54.575,54.418,63.72,70.369,140.738,-198.031,3.957,0.503,0.346,1.454,36,24,1.5,35,110,2.22,31.7,51.3,4.327,1,5,0,M,32
136,16.718,0.272,17.263,61.350,122.700,-180.673,52.433,0.55,0.364,53.532,53.16,95.413,144.187,288.373,-207.566,4.153,0.622,0.162,3.849,77,33,2.33,25,83,1.587,27.3,37.4,4.243,0,1,0,M,32
137,17.590,0.110,17.809,160.364,320.727,-194.293,67.826,0.598,0.564,69.023,68.955,113.357,120.168,240.337,-208.579,3.946,1.167,0.416,2.807,45,38,1.18,22,104,2.1,32.7,39.5,5.316,0,3,0,M,32
138,13.196,0.125,13.446,105.445,210.890,-184.779,NA,1.523,1.289,NA,NA,NA,NA,NA,NA,5.008,1.007,0.595,1.693,188,24,7.83,NA,99,2.351,32.6,49.6,4.74,0,3,0,M,32
139,16.950,0.320,17.591,52.895,105.791,-178.862,77.132,0.869,0.53,78.87,78.192,88.75,145.586,291.172,-212.893,3.141,0.708,0.421,1.683,35,21,1.67,22,94,1.522,25.3,35.2,4.324,0,4,0,M,32
140,22.074,0.298,22.670,74.159,148.318,-186.968,51.13,0.944,0.348,53.019,51.826,54.141,146.931,293.862,-207.481,3.326,0.812,0.322,2.521,69,21,3.29,27,100,1.649,23.1,27.9,5.91,0,2,0,M,32
141,14.079,0.156,14.391,90.148,180.295,-183.541,67.622,0.809,0.775,69.241,69.171,83.538,87.305,174.609,-204.237,1.681,0.892,0.347,2.571,120,36,3.33,17,103,1.821,26.7,35.1,5.188,0,4,0,M,32
142,10.797,0.273,11.343,39.577,79.154,-168.885,43.232,0.792,0.694,44.816,44.62,54.581,62.292,124.584,-193.669,2.899,0.996,0.254,3.923,82,38,2.16,14,95,1.875,25.7,34.3,5.466,0,3,0,M,32
143,24.427,0.365,25.157,66.935,133.870,-186.951,77.795,1.248,0.915,80.291,79.625,62.348,85.006,170.012,-205.764,3.63,0.794,0.584,1.36,37,22,1.68,31,90,2.173,32.7,40.9,5.313,0,3,0,M,32
144,14.762,0.323,15.408,45.702,91.404,-175.033,56.232,0.991,0.755,58.214,57.741,56.735,74.522,149.043,-199.622,3.438,0.661,0.614,1.076,127,22,5.77,24,120,2.151,24.4,43.9,4.9,0,4,0,M,32
145,15.203,0.502,16.208,30.267,60.535,-169.882,55.115,0.798,0.755,56.712,56.625,69.027,72.992,145.985,-199.073,3.333,0.781,0.247,3.16,135,30,4.5,26,92,1.829,33,36.5,5.011,0,2,0,M,32
146,18.939,0.546,20.031,34.708,69.415,-174.684,38.114,0.621,0.225,39.356,38.563,61.361,169.761,339.522,-205.471,4.315,0.774,0.239,3.241,49,19,2.58,24,88,1.334,30.4,32.4,4.117,0,2,0,M,32
147,17.190,0.342,17.873,50.335,100.671,-178.384,78.682,2.492,2.288,83.665,83.258,31.58,34.392,68.785,-193.734,3.973,0.86,0.221,3.885,37,24,1.54,43,102,2.405,31.5,48,5.01,1,4,0,M,32
148,21.795,0.970,23.734,22.479,44.957,-170.726,42.728,0.708,0.348,44.144,43.424,60.373,122.759,245.519,-202.645,2.179,0.778,0.182,4.28,66,25,2.64,22,113,1.551,26.3,31.3,4.955,0,2,0,M,32
149,23.045,0.342,23.729,67.390,134.780,-186.258,41.773,0.454,0.421,42.681,42.614,91.96,99.286,198.573,-199.483,2.981,0.653,0.295,2.211,35,22,1.59,21,102,1.577,32.4,40.6,3.884,0,1,0,M,32
150,15.110,0.731,16.571,20.675,41.350,-164.667,77.036,0.991,0.809,79.019,78.654,77.718,95.217,190.435,-207.16,3.489,0.609,0.329,1.848,50,30,1.67,24,92,1.432,23.7,29.5,4.854,0,1,0,M,32
151,27.169,0.321,27.810,84.707,169.413,-191.554,54.379,0.661,0.561,55.702,55.501,82.238,97.002,194.005,-202.721,2.954,0.623,0.323,1.928,43,26,1.65,21,97,2.024,26.5,35.4,5.718,0,4,0,M,32
152,19.680,0.351,20.382,56.058,112.116,-181.654,59.979,1.098,0.866,62.174,61.711,54.641,69.23,138.46,-199.499,3.646,0.613,0.549,1.117,27,22,1.23,24,87,2.158,35.3,47.9,4.505,0,2,0,M,32
153,9.941,0.162,10.265,61.509,123.019,-173.710,36.735,0.435,0.402,37.605,37.538,84.418,91.472,182.944,-196.649,3.32,0.708,0.051,13.906,48,29,1.66,15,66,2.2,30.1,30.6,7.19,0,0,0,M,32
154,15.850,0.185,16.220,85.649,171.299,-184.447,84.067,0.975,0.847,86.018,85.761,86.203,99.264,198.529,-208.896,2.496,0.589,0.382,1.539,101,31,3.26,21,113,2.51,37.7,61.5,4.081,0,3,0,M,32
155,12.208,0.156,12.520,78.416,156.833,-179.745,42.043,0.502,0.416,43.048,42.876,83.683,100.951,201.901,-199.794,2.206,0.656,0.327,2.009,82,52,1.58,20,118,1.928,28.9,40.1,4.808,0,4,0,M,32
156,8.560,0.306,9.171,27.993,55.986,-161.097,73.523,0.949,0.72,75.421,74.963,77.487,102.144,204.288,-207.477,4.282,2.006,0.467,4.295,51,25,2.04,31,73,1.833,38.3,44.9,4.082,0,4,0,M,32
157,15.872,0.146,16.163,108.786,217.572,-187.685,59.704,0.806,0.77,61.316,61.245,74.044,77.496,154.992,-200.956,4.703,1.3,0.898,1.448,102,33,3.09,21,70,3.388,34.6,55.3,6.127,5,1,0,M,32
158,19.140,0.141,19.421,136.197,272.393,-193.231,64.529,0.776,0.662,66.081,65.853,83.116,97.43,194.86,-205.084,3.909,1.417,0.561,2.525,38,32,1.19,21,257,3.214,42.2,58.2,5.522,2,4,0,M,32
159,23.537,0.250,24.037,94.142,188.283,-191.043,42.982,0.879,0.677,44.74,44.336,48.913,63.495,126.99,-193.849,5.394,1.9,0.517,3.674,39,23,1.7,17,88,1.596,31.3,42.5,3.755,0,5,0,M,32
160,13.850,0.315,14.479,44.036,88.071,-173.674,59.287,0.784,0.602,60.855,60.491,75.642,98.513,197.026,-204.092,3.131,1.414,NA,NA,41,31,1.32,22,132,2.472,32.6,49.4,5.004,0,4,0,M,32
161,22.434,0.338,23.109,66.431,132.861,-185.703,55.623,0.598,0.565,56.819,56.753,93.043,98.516,197.031,-203.234,5.006,1.565,0.434,3.607,49,35,1.4,33,91,1.246,21.3,31.4,3.968,0,4,0,F,32
162,23.452,0.303,24.058,77.446,154.892,-188.367,59.89,0.978,0.815,61.847,61.52,61.23,73.503,147.006,-200.285,3.784,1.57,0.355,4.424,134,33,4.06,27,105,1.876,28.3,46,4.078,1,5,0,F,32
163,19.072,0.377,19.825,50.626,101.251,-179.860,57.501,0.677,0.444,58.855,58.389,84.935,129.462,258.924,-207.358,2.642,2.271,0.122,18.68,49,19,2.58,22,103,1.477,21.3,36,4.103,0,2,0,F,32
164,21.967,0.388,22.744,56.596,113.193,-183.264,40.543,0.706,0.5,41.954,41.543,57.454,81.059,162.119,-196.35,5.149,1.549,0.421,3.682,51,26,1.96,25,87,2.35,32.3,59.2,3.97,1,4,0,F,32
165,16.522,0.449,17.420,36.781,73.562,-173.626,65.289,0.606,0.558,66.5,66.405,107.799,117.014,234.028,-207.707,6.397,2.575,0.246,10.45,61,28,2.18,31,98,1.14,21,27,4.222,0,3,0,F,32
166,10.521,0.319,11.158,33.024,66.048,-166.099,29.872,0.472,0.282,30.816,30.435,63.274,106.014,212.028,-195.851,4.55,2.103,0.197,10.686,43,25,1.72,29,97,1.595,28.7,46.2,3.452,0,2,0,F,32
167,18.151,0.354,18.858,51.326,102.652,-179.378,67.875,1.158,0.869,70.19,69.612,58.634,78.119,156.237,-202.79,3.385,1.986,0.349,5.693,49,23,2.13,24,103,1.772,23.3,40.2,4.408,0,5,0,F,32
168,10.962,0.294,11.549,37.302,74.605,-168.292,43.617,0.49,0.323,44.596,44.263,89.043,134.892,269.784,-204.191,3.081,1.388,0.656,2.118,50,21,2.38,23,100,0.965,22.7,25.4,3.799,0,4,0,F,32
169,7.161,0.244,7.648,29.368,58.737,-159.340,33.884,0.529,0.495,34.941,34.873,64.113,68.499,136.999,-191.668,3.094,1.789,0.242,7.406,49,16,3.06,19,85,1.133,22.7,31.4,3.608,0,3,0,F,32
170,20.560,0.208,20.976,98.835,197.669,-189.878,48.991,0.901,0.78,50.793,50.55,54.38,62.844,125.689,-195.472,5.01,2.386,0.366,6.525,69,21,3.29,29,110,1.285,23.5,29.2,4.401,0,3,0,F,32
171,11.819,0.258,12.335,45.806,91.612,-172.071,45.294,0.875,0.681,47.044,46.656,51.755,66.497,132.995,-195.176,3.257,2.132,0.326,6.541,45,25,1.8,23,91,1.9,23.3,38.8,4.897,0,5,0,F,32
172,15.810,0.311,16.432,50.848,101.696,-177.394,35.796,0.764,0.615,37.324,37.025,46.841,58.21,116.42,-190.216,3.091,1.865,0.205,9.091,49,23,2.13,30,80,1.382,26.6,39,3.544,0,3,0,F,32
173,22.236,0.316,22.868,70.468,140.935,-186.379,51.148,0.598,0.553,52.344,52.254,85.542,92.54,185.079,-201.262,2.147,2.079,0.36,5.775,72,21,3.43,25,67,1.19,19.3,30.3,3.927,0,1,0,F,32
174,18.754,0.174,19.101,107.980,215.960,-189.832,54.028,1.806,1.672,57.641,57.373,29.914,32.304,64.608,-187.83,4.265,1.47,0.116,12.649,45,24,1.88,27,100,1.573,29.7,40.9,3.846,1,4,0,F,32
175,13.806,0.299,14.404,46.163,92.327,-174.267,40.877,0.657,0.592,42.192,42.062,62.182,69.011,138.021,-194.294,3.218,1.384,0.071,19.547,42,21,2,24,98,1.394,22.1,32.1,4.343,0,4,0,F,32
176,22.485,0.405,23.295,55.465,110.931,-183.305,43.273,0.853,0.675,44.978,44.624,50.744,64.063,128.127,-194.06,3.293,0.942,0.236,3.996,75,29,2.59,27,93,1.593,21.3,33.5,4.755,0,3,0,F,32
177,9.887,0.613,11.113,16.122,32.245,-155.609,63.604,0.755,0.713,65.114,65.031,84.224,89.172,178.344,-203.697,2.104,1.316,0.26,5.058,52,24,2.17,23,74,1.073,22.1,27.4,3.916,0,4,0,F,32
178,26.729,0.616,27.961,43.400,86.800,-182.331,66.38,0.831,0.661,68.041,67.702,79.902,100.373,200.747,-205.865,4.503,0.88,0.463,1.899,41,17,2.41,20,129,1.078,18.1,25.6,4.211,0,4,0,F,32
179,7.859,0.401,8.661,19.592,39.184,-155.142,48.678,0.838,0.681,50.355,50.039,58.058,71.503,143.007,-197.123,3.107,0.792,0.167,4.746,58,31,1.87,16,76,1.366,23.8,33.1,4.127,0,4,0,F,32
180,16.552,0.407,17.365,40.716,81.433,-175.019,55.553,1.165,1.04,57.883,57.634,47.678,53.392,106.785,-194.97,3.074,0.895,0.171,5.219,39,17,2.29,20,102,1.337,22.4,34.7,3.853,0,4,0,F,32
181,24.784,0.250,25.284,99.142,198.283,-192.435,22.179,0.495,0.458,23.169,23.096,44.813,48.408,96.816,-181.289,5.234,0.904,0.274,3.294,37,15,2.47,18,100,1.81,23.3,42.8,4.229,0,4,0,F,32
182,19.739,0.264,20.267,74.754,149.508,-185.570,61.091,0.758,0.684,62.607,62.46,80.606,89.296,178.591,-203.173,3.928,0.668,0.305,2.19,104,26,4,20,114,2.362,26.3,49.3,4.791,1,4,0,F,32
183,21.040,0.249,21.539,84.396,168.792,-188.063,38.593,0.668,0.546,39.929,39.685,57.776,70.703,141.405,-193.846,4.831,0.92,0.118,7.786,75,29,2.59,29,78,1.334,20.5,27.1,4.923,0,3,0,F,32
184,21.920,0.302,22.524,72.510,145.021,-186.570,46.445,0.885,0.79,48.216,48.025,52.479,58.794,117.589,-193.857,6.933,0.78,0.19,4.097,42,20,2.1,29,91,1.568,27.1,47.9,3.273,0,3,0,F,32
185,11.615,0.259,12.132,44.926,89.852,-171.575,41.295,0.378,0.332,42.051,41.96,109.313,124.199,248.397,-202.342,5.322,0.948,0.107,8.849,47,34,1.38,28,76,1.677,22.6,47.5,3.531,0,3,0,F,32
186,19.555,0.304,20.164,64.236,128.473,-183.402,38.685,0.602,0.472,39.889,39.629,64.211,81.883,163.765,-195.855,5.536,0.538,0.376,1.429,57,41,1.39,26,138,2.322,26.3,49.4,4.7,2,4,0,F,32
187,26.184,0.406,26.997,64.442,128.884,-187.375,103.986,1.161,0.79,106.307,105.566,89.588,131.606,263.211,-215.556,4.663,0.776,0.285,2.722,44,14,3.14,22,125,1.499,17.5,32.5,4.612,0,4,0,F,32
188,20.390,0.446,21.282,45.726,91.452,-179.389,43.736,0.861,0.585,45.459,44.906,50.773,74.777,149.555,-196.285,5.028,0.767,0.197,3.888,39,18,2.17,26,92,0.934,20,24.9,3.751,0,1,0,F,32
189,21.116,0.230,21.576,91.850,183.700,-189.250,53.721,0.614,0.578,54.948,54.876,87.53,93.017,186.035,-201.992,4.386,0.894,0.185,4.821,146,28,5.21,30,86,1.785,25.5,45.5,3.923,2,4,0,F,32
190,8.799,0.443,9.685,19.851,39.702,-156.841,38.101,0.716,0.511,39.532,39.124,53.248,74.524,149.048,-194.382,6.133,0.814,0.25,3.249,111,25,4.44,27,122,1.203,20.4,39.7,3.03,0,2,1,F,32
192,11.249,0.645,12.538,17.443,34.886,-158.406,51.069,0.634,0.288,52.337,51.646,80.578,177.181,354.362,-209.986,1.581,1.091,0.062,17.539,34,17,2,17,100,1.572,19.7,34.3,4.583,0,4,0,F,32
193,28.091,0.233,28.556,120.705,241.410,-196.771,48.404,0.631,0.58,49.666,49.565,76.727,83.435,166.871,-199.125,2.442,0.813,0.241,3.372,59,26,2.27,25,88,1.065,21.5,27.5,3.873,0,2,1,F,32
194,17.041,0.268,17.577,63.583,127.167,-181.412,46.726,0.585,0.42,47.896,47.565,79.837,111.349,222.698,-202.535,2.884,0.983,0.375,2.624,51,25,2.04,23,125,2.293,31.4,60.6,3.784,0,4,0,F,32
195,26.363,0.694,27.750,38.013,76.025,-180.360,34.508,0.928,0.525,36.365,35.559,37.17,65.682,131.363,-191.348,3.163,1.867,0.249,7.489,48,20,2.4,28,98,1.299,21.7,28.8,4.51,0,2,0,F,32
196,23.369,0.464,24.296,50.408,100.816,-182.537,65.85,0.937,0.525,67.725,66.9,70.245,125.492,250.984,-208.764,3.151,0.886,0.166,5.354,37,23,1.61,25,113,1.65,27.4,42.3,3.901,0,4,0,F,32
197,22.605,0.247,23.099,91.507,183.013,-190.117,43.049,0.586,0.546,44.221,44.14,73.438,78.871,157.742,-196.789,3.362,0.661,0.074,8.925,50,28,1.79,26,91,1.348,23.7,31.5,4.279,0,2,0,F,32
198,18.291,0.352,18.995,52.007,104.014,-179.659,53.834,0.893,0.808,55.621,55.449,60.258,66.641,133.283,-197.531,5.082,0.59,0.241,2.449,34,16,2.13,18,97,1.343,24.8,36.7,3.659,0,1,0,F,32
199,18.250,0.550,19.350,33.170,66.341,-173.574,50.428,0.707,0.606,51.841,51.641,71.367,83.156,166.312,-199.631,3.61,0.457,0.138,3.309,44,14,3.14,22,110,1.487,22.9,34.7,4.285,0,4,0,F,32
200,23.646,0.431,24.507,54.919,109.838,-183.850,54.852,0.99,0.745,56.833,56.342,55.393,73.668,147.336,-199.133,4.112,0.857,0.206,4.151,54,24,2.25,24,88,1.002,18.8,29.2,3.432,0,3,0,F,32
201,9.829,0.253,10.336,38.808,77.616,-167.357,35.503,0.307,0.268,36.116,36.04,115.768,132.278,264.556,-201.156,7.572,0.982,0.213,4.62,46,17,2.71,28,96,0.998,19.6,28.3,3.527,0,4,0,F,32
202,16.718,0.190,17.099,87.965,175.929,-185.525,60.38,0.922,0.794,62.223,61.968,65.511,76.028,152.055,-200.85,6.247,0.632,0.141,4.479,233,49,4.76,25,98,1.357,25,34.2,3.968,0,3,0,F,32
203,4.744,0.163,5.069,29.190,58.379,-153.714,36.232,0.5,0.348,37.231,36.928,72.513,104.078,208.155,-198.202,4.983,0.982,0.089,10.998,44,17,2.59,24,77,1.367,24.5,33.9,4.032,0,2,0,F,32
204,11.350,0.323,11.997,35.092,70.183,-167.938,55.042,1.463,1.341,57.967,57.724,37.631,41.043,82.086,-191.304,3.056,0.725,0.145,5.006,51,23,2.22,22,99,1.757,26.3,41.4,4.244,0,5,0,F,32
205,19.342,0.224,19.790,86.460,172.921,-187.255,36.084,0.61,0.575,37.304,37.233,59.145,62.786,125.573,-191.343,3.215,0.446,0.082,5.424,41,24,1.71,25,92,1.225,22.2,33.8,3.624,0,2,0,F,32
206,18.534,0.402,19.339,46.088,92.175,-178.210,53.802,0.63,0.541,55.063,54.884,85.334,99.446,198.891,-202.912,4.171,0.642,0.019,33.067,46,24,1.92,24,83,1.001,19.3,27.5,3.64,0,3,0,F,32
207,20.773,0.381,21.535,54.512,109.025,-182.006,31.572,0.62,0.523,32.813,32.618,50.894,60.35,120.7,-189.011,5.633,0.401,0.131,3.053,65,30,2.17,26,72,1.737,23.9,48.4,3.589,0,3,0,F,32
208,23.483,0.420,24.322,55.928,111.857,-184.002,55.098,0.854,0.694,56.807,56.486,64.482,79.4,158.8,-200.202,5.016,0.576,0.071,8.079,70,31,2.26,28,82,1.65,22.7,32.4,5.093,0,3,0,F,32
209,16.391,0.233,16.856,70.392,140.783,-182.258,64.002,0.525,0.488,65.051,64.977,121.961,131.285,262.57,-208.989,3.163,0.929,0.078,11.898,33,15,2.2,20,106,1.884,25.5,37.9,4.971,0,4,0,F,32
210,25.407,0.146,25.700,173.517,347.034,-200.305,55.141,1.153,0.878,57.446,56.898,47.839,62.782,125.564,-197.051,3.04,1.336,0.031,42.501,58,20,2.9,48,89,0.935,19.5,22.8,4.101,0,1,0,F,32
211,25.851,0.332,26.515,77.882,155.764,-189.753,96.583,1.298,0.859,99.179,98.301,74.42,112.411,224.822,-212.439,2.951,1.234,0.029,42.094,44,17,2.59,27,99,1.062,21.8,28.3,3.753,0,3,0,F,32
212,22.468,0.443,23.354,50.752,101.504,-182.100,61.955,1.261,0.942,64.478,63.838,49.112,65.78,131.56,-199.247,3.995,1.073,0.073,14.606,125,24,5.21,17,105,1.109,22.6,28.3,3.919,0,2,0,F,32
213,19.862,0.215,20.292,92.334,184.667,-188.496,67.464,0.975,0.933,69.413,69.329,69.227,72.347,144.694,-201.675,4.639,1.113,0.301,3.694,50,21,2.38,17,91,1.563,24.3,49.4,3.164,0,3,0,F,32
214,5.602,0.279,6.160,20.077,40.154,-150.914,39.903,0.492,0.274,40.887,40.451,81.067,145.509,291.019,-204.013,3.769,1.062,0.069,15.33,47,27,1.74,22,77,1.302,21.9,38.7,3.364,0,2,0,F,32
215,14.150,0.348,14.846,40.651,81.302,-172.886,59.79,1.12,0.866,62.029,61.523,53.403,69.012,138.024,-199.414,2.659,0.82,0.081,10.089,49,36,1.36,24,97,1.391,27.8,40.4,3.443,1,4,0,F,32
216,8.174,0.372,8.917,22.001,44.001,-157.232,57.831,0.916,0.72,59.664,59.272,63.103,80.296,160.591,-201.004,3.807,1.005,0.151,6.643,170,29,5.86,24,95,1.995,23.8,40.6,4.914,0,4,0,F,32
217,16.343,0.214,16.771,76.371,152.741,-183.316,43.658,0.53,0.49,44.718,44.637,82.344,89.139,178.277,-198.626,4.582,0.999,0.202,4.955,57,29,1.97,26,102,1.188,25.4,35.6,3.337,0,4,0,F,32
218,22.969,0.467,23.903,49.184,98.368,-181.974,44.523,0.589,0.389,45.702,45.301,75.546,114.409,228.817,-202.25,3.643,1.051,0.068,15.395,54,20,2.7,22,84,1.167,18.9,26.8,4.354,0,3,0,F,32
219,24.987,0.384,25.756,65.032,130.064,-186.868,53.59,1.01,0.681,55.609,54.951,53.084,78.745,157.49,-199.716,3.591,0.997,0.202,4.943,118,26,4.54,27,51,1.1,18.7,31.1,3.537,0,2,0,F,32
220,20.556,0.307,21.171,66.873,133.746,-184.616,49.146,0.851,0.618,50.848,50.382,57.727,79.498,158.997,-198.679,4.529,0.953,0.097,9.872,45,25,1.8,27,75,1.49,22.7,36.7,4.06,1,4,0,F,32
221,24.639,0.285,25.209,86.513,173.026,-190.522,22.848,0.255,0.226,23.359,23.301,89.517,101.011,202.023,-191.592,1.365,0.928,0.254,3.655,51,19,2.68,NA,85,1.595,25.5,41.3,3.862,0,3,0,M,35
222,15.234,0.279,15.791,54.692,109.384,-177.875,33.624,0.455,0.437,34.534,34.498,73.885,76.926,153.852,-193.126,2.388,1.092,0.365,2.991,29,18,1.61,NA,118,2.129,30.6,52.8,4.032,0,4,0,M,35
223,18.939,0.338,19.616,55.997,111.994,-181.123,34.073,0.595,0.551,35.263,35.175,57.275,61.836,123.672,-190.365,1.872,1.048,0.405,2.588,45,29,1.55,26,102,1.625,26.1,33.7,4.822,0,4,0,M,35
224,7.836,0.159,8.155,49.154,98.307,-167.487,55.034,0.866,0.794,56.766,56.621,63.557,69.333,138.667,-198.361,3.269,1.243,0.34,3.661,45,26,1.73,NA,103,2.025,31.6,42.7,4.742,1,5,0,M,35
225,22.809,0.294,23.397,77.545,155.091,-188.009,41.679,0.461,0.448,42.601,42.575,90.365,93.065,186.13,-198.582,2.223,1.221,0.111,10.987,84,22,3.82,32,95,1.348,26.5,36,3.744,0,2,0,M,35
