Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic Total Glutathione (nmol/mg),Hepatic GSH (nmol/mg),Hepatic GSSG (nmol/mg),Hepatic GSH/GSSG,Hepatic Eh (mV)
65,30,F,22.955,22.398,0.279,80.368,-188.246,39.905,38.714,0.596,64.999,-192.756
66,30,F,20.002,18.962,0.52,36.472,-175.367,57.045,55.925,0.56,99.901,-203.494
67,30,F,24.293,23.619,0.337,70.102,-187.121,65.38,63.425,0.978,64.859,-199.373
68,30,F,18.852,17.815,0.519,34.328,-173.711,42.881,41.32,0.781,52.912,-190.863
69,30,F,19.388,18.715,0.337,55.559,-180.857,21.841,21.343,0.249,85.793,-188.476
70,30,F,45.67,44.401,0.634,70.011,-195.601,56.941,55.792,0.574,97.179,-203.091
71,30,F,40.579,39.774,0.403,98.81,-198.758,36.058,35.096,0.481,72.977,-192.994
72,30,F,14.084,13.583,0.25,54.311,-176.237,69.081,67.491,0.795,84.89,-203.833
73,30,F,16.961,16.418,0.271,60.475,-180.235,60.222,57.641,1.291,44.661,-193.062
74,30,F,25.587,25.238,0.175,144.339,-197.736,54.914,53.704,0.605,88.751,-201.355
75,30,F,15.196,14.911,0.142,104.848,-186.348,57.833,56.075,0.879,63.797,-197.492
76,30,F,12.377,12.103,0.137,88.222,-181.214,30.607,29.623,0.492,60.183,-188.116
77,30,F,19.974,18.56,0.707,26.261,-170.656,43.466,42.421,0.522,81.246,-196.991
78,30,F,28.561,25.779,1.391,18.533,-170.388,60.072,57.887,1.092,52.989,-195.422
79,30,F,22.542,21.592,0.475,45.453,-180.08,73.986,70.137,1.925,36.444,-192.967
80,30,F,21.846,20.806,0.52,40.025,-177.868,43.91,42.097,0.907,46.432,-189.355
81,30,F,20.307,19.481,0.413,47.161,-179.191,62.065,59.944,1.061,56.516,-196.759
82,30,F,28.363,27.36,0.502,54.548,-185.723,55.507,54.085,0.711,76.07,-199.375
83,30,F,29.135,28.458,0.339,84.035,-192.07,30.58,29.302,0.639,45.826,-184.3
84,30,F,21.61,20.478,0.566,36.186,-176.297,17.886,17.017,0.434,39.173,-174.872
85,30,F,24.067,23.403,0.332,70.503,-187.074,43.046,41.923,0.562,74.651,-195.692
86,30,F,37.016,36.498,0.259,140.918,-202.38,60.514,58.666,0.924,63.481,-198.034
87,30,F,26.168,25.359,0.405,62.686,-186.573,60.354,58.6,0.877,66.814,-198.708
88,30,F,21.079,20.485,0.297,68.872,-184.965,31.021,30.238,0.392,77.236,-191.751
89,30,F,29.111,27.867,0.622,44.811,-183.323,51.074,48.668,1.203,40.466,-189.456
90,30,F,17.961,17.653,0.154,114.633,-189.822,53.739,53.045,0.347,152.98,-208.52
91,30,F,11.278,10.958,0.16,68.42,-176.454,40.439,38.296,1.072,35.74,-184.557
92,30,F,19.006,18.185,0.41,44.303,-177.422,39.458,37.858,0.8,47.314,-188.18
93,30,F,14.233,13.688,0.273,50.224,-175.287,62.92,60.273,1.323,45.549,-193.929
94,30,F,10.913,10.602,0.155,68.195,-175.965,59.917,58.15,0.884,65.792,-198.396
95,30,F,17.008,16.12,0.444,36.288,-173.112,77.595,75.541,1.027,73.539,-203.418
96,30,F,13.867,10.735,1.566,6.855,-145.203,46.075,44.915,0.58,77.44,-197.114
97,30,F,24.498,21.481,1.508,14.242,-164.387,59.371,55.868,1.752,31.894,-188.109
98,30,F,14.833,14.07,0.382,36.879,-171.499,46.609,44.531,1.039,42.863,-189.035
99,32,M,19.793,19.386,0.204,95.156,-188.575,41.56,40.565,0.498,81.486,-196.428
100,32,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,32,M,22.433,22.018,0.207,106.154,-191.762,63.188,61.663,0.763,80.865,-201.963
102,32,M,11.692,10.876,0.408,26.656,-163.662,36.199,35.474,0.363,97.813,-197.081
103,32,M,24.54,24.06,0.24,100.177,-192.176,33.222,32.535,0.344,94.704,-195.482
104,32,M,18.461,18.006,0.227,79.156,-185.103,55.006,54.108,0.449,120.507,-205.574
105,32,M,22.64,22.181,0.229,96.667,-190.601,48.832,48.125,0.354,136.008,-205.626
106,32,M,19.889,19.095,0.397,48.082,-179.182,56.03,54.707,0.661,82.719,-200.657
107,32,M,18.653,18.422,0.115,159.978,-194.884,44.501,43.249,0.626,69.123,-195.076
108,32,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,32,M,13.61,13.313,0.149,89.586,-182.704,83.31,82.234,0.538,152.937,-214.418
110,32,M,20.314,19.962,0.176,113.268,-191.316,39.255,38.11,0.573,66.564,-192.865
111,32,M,16.033,15.697,0.168,93.519,-185.5,72.44,70.993,0.723,98.148,-206.468
112,32,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,32,M,14.524,14.022,0.251,55.864,-177.044,62.171,61.031,0.57,107.04,-205.6
114,32,M,20.648,20.103,0.272,73.788,-185.64,59.213,56.986,1.114,51.173,-194.741
115,32,M,15.024,14.665,0.179,81.768,-182.777,35.597,34.88,0.358,97.347,-196.79
116,32,M,23.031,22.483,0.274,82.096,-188.583,46.255,43.797,1.229,35.629,-186.322
117,32,M,11.607,11.432,0.088,130.651,-185.734,42.838,41.446,0.696,59.58,-192.502
118,32,M,17.322,16.807,0.257,65.277,-181.58,55.922,54.411,0.756,71.988,-198.713
119,32,M,21.056,20.387,0.335,60.884,-183.241,91.58,88.263,1.658,53.226,-201.161
120,32,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,32,M,7.888,7.311,0.289,25.337,-157.632,39.721,39.004,0.359,108.685,-199.777
122,32,M,14.926,14.462,0.232,62.232,-178.913,60.826,58.994,0.916,64.401,-198.303
123,32,M,13.033,12.321,0.356,34.629,-168.865,66.967,65.42,0.774,84.537,-203.357
124,32,M,16.058,15.583,0.237,65.705,-180.65,64.036,62.07,0.983,63.157,-198.724
125,32,M,14.71,14.291,0.21,68.172,-179.98,57.382,56.214,0.584,96.244,-203.062
126,32,M,8.06,7.316,0.372,19.668,-154.232,91.521,88.607,1.457,60.803,-203.005
127,32,M,11.614,11.057,0.278,39.732,-169.258,38.444,37.275,0.584,63.784,-191.992
128,32,M,6.699,6.4,0.15,42.79,-162.895,68.57,65.643,1.463,44.854,-194.871
129,32,M,14.167,13.567,0.3,45.265,-173.767,59.84,58.592,0.624,93.864,-203.282
130,32,M,18.569,18.104,0.233,77.773,-184.938,71.499,69.616,0.942,73.931,-202.39
131,32,M,12.513,11.595,0.459,25.235,-163.786,35.035,34.452,0.292,118.009,-199.215
