Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic Total Glutathione (nmol/mg),Hepatic GSH (nmol/mg),Hepatic GSSG (nmol/mg),Hepatic GSH/GSSG,Hepatic Eh (mV)
279,35,M,29.359,27.077,1.141,23.734,-174.379,30.657,29.96,0.348,86.033,-193.079
280,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,35,M,18.751,18.239,0.256,71.305,-183.87,27.325,26.696,0.314,84.942,-191.355
282,35,M,18.909,18.393,0.258,71.234,-183.969,25.643,24.812,0.416,59.712,-185.624
283,35,M,26.939,25.449,0.745,34.149,-178.442,36.522,34.988,0.767,45.624,-186.628
284,35,M,6.729,6.234,0.248,25.188,-155.407,28.96,27.972,0.494,56.648,-186.529
285,35,M,8.527,8.241,0.143,57.655,-170.313,60.965,59.3,0.833,71.203,-199.724
286,35,M,14.153,13.603,0.275,49.381,-174.975,26.335,25.433,0.451,56.39,-185.187
287,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,35,M,14.612,14.017,0.298,47.108,-174.745,24.305,23.424,0.44,53.211,-183.298
289,35,M,24.387,24.11,0.139,173.867,-199.627,37.842,37.092,0.375,98.964,-197.839
290,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,35,M,7.571,7.123,0.224,31.758,-160.322,30.629,29.498,0.565,52.165,-186.134
292,35,M,10.005,9.574,0.215,44.471,-168.837,21.54,20.62,0.46,44.824,-179.272
293,35,M,11.585,11.001,0.292,37.673,-168.474,42.479,41.094,0.693,59.323,-192.329
294,35,M,9.136,8.716,0.21,41.544,-166.656,33.193,32.322,0.436,74.201,-192.109
295,35,M,18.539,18.191,0.174,104.524,-188.983,20.394,19.883,0.255,77.857,-186.215
296,35,F,10.941,9.159,0.891,10.28,-148.522,44.487,43.12,0.683,63.12,-193.812
297,35,F,11.474,11.032,0.221,50.007,-172.324,34.651,33.782,0.435,77.717,-193.327
298,35,F,10.412,9.826,0.293,33.505,-165.373,20.505,20.079,0.213,94.38,-188.938
299,35,F,32.619,31.609,0.505,62.579,-189.515,29.535,28.855,0.34,84.883,-192.392
300,35,F,33.053,32.061,0.496,64.609,-190.136,27.53,27.106,0.212,128.107,-197.092
301,35,F,11.011,9.767,0.622,15.692,-155.08,36.714,35.751,0.482,74.213,-193.469
302,35,F,7.894,7.24,0.327,22.134,-155.681,16.922,16.37,0.276,59.304,-179.933
303,35,F,21.61,20.619,0.495,41.616,-178.272,29.61,28.888,0.361,79.956,-191.602
304,35,F,12.901,12.05,0.425,28.336,-165.866,22.656,22.066,0.295,74.809,-187.08
305,35,F,20.493,20.095,0.199,100.84,-189.84,20.945,20.325,0.31,65.554,-184.195
306,35,F,21.709,21.178,0.265,79.784,-187.394,18.61,18.048,0.281,64.198,-182.314
307,35,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,35,F,7.744,7.363,0.19,38.677,-163.421,41.289,40.335,0.477,84.581,-196.854
309,35,F,14.735,14.089,0.323,43.615,-173.776,20.413,19.84,0.287,69.23,-184.605
310,35,F,13.053,12.621,0.216,58.424,-176.23,26.137,25.485,0.326,78.23,-189.621
311,35,F,12.45,11.954,0.248,48.169,-172.901,22.422,21.751,0.335,64.872,-184.968
312,35,F,15.116,14.686,0.215,68.261,-180.365,16.462,15.925,0.268,59.317,-179.565
313,35,F,12.399,10.974,0.713,15.402,-156.398,31.726,30.725,0.501,61.357,-188.868
314,35,F,23.933,21.074,1.429,14.743,-164.594,18.725,17.862,0.432,41.368,-176.258
315,35,F,15.541,14.813,0.364,40.7,-173.52,25.328,24.73,0.299,82.645,-189.955
316,35,F,17.374,16.732,0.321,52.047,-178.47,37.202,35.999,0.601,59.862,-190.669
317,35,F,24.648,23.952,0.348,68.849,-187.066,23.154,22.289,0.432,51.561,-182.205
318,35,F,10.416,9.503,0.456,20.817,-158.517,43.224,42.059,0.582,72.233,-195.292
319,35,F,9.052,8.516,0.268,31.769,-162.732,34.151,33.31,0.42,79.254,-193.401
320,35,F,12.917,12.362,0.277,44.564,-172.305,26.235,25.803,0.216,119.406,-195.481
321,35,F,16.845,16.129,0.358,45.091,-176.045,37.272,36.225,0.524,69.173,-192.699
322,35,F,16.724,15.643,0.54,28.952,-169.668,24.158,23.31,0.424,54.968,-183.669
323,35,F,21.118,20.753,0.182,113.804,-191.903,21.443,20.95,0.247,84.843,-188.075
324,35,F,8.671,8.301,0.185,44.879,-167.038,39.901,38.992,0.455,85.769,-196.585
325,35,F,11.21,10.657,0.277,38.531,-168.349,33.606,32.633,0.486,67.085,-190.881
326,35,F,18.223,17.722,0.25,70.834,-183.393,42.943,41.871,0.536,78.052,-196.275
327,35,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,35,F,17.958,17.42,0.269,64.697,-181.941,14.356,13.934,0.211,65.981,-179.2
329,35,F,8.533,7.967,0.283,28.193,-160.227,22.431,21.872,0.28,78.226,-187.562
330,35,F,8.539,8.061,0.239,33.709,-162.789,27.948,27.208,0.37,73.505,-189.663
331,35,F,8.402,7.469,0.466,16.019,-151.747,35.638,34.974,0.332,105.349,-197.89
332,35,F,13.683,13.19,0.247,53.474,-175.632,33.206,32.639,0.283,115.3,-198.175
333,35,F,38.616,35.949,1.333,26.959,-179.91,16.531,16.008,0.262,61.173,-180.05
334,35,F,10.989,9.831,0.579,16.994,-156.242,25.28,24.424,0.428,57.068,-184.802
335,35,F,6.974,6.71,0.132,50.81,-165.844,23.19,22.57,0.31,72.848,-187.026
336,35,F,19.011,18.081,0.465,38.861,-175.58,30.637,29.852,0.392,76.072,-191.374
337,35,F,13.89,13.254,0.318,41.678,-172.342,30.849,30.424,0.212,143.239,-200.15
338,35,F,24.072,23.462,0.305,76.897,-188.277,39.292,38.306,0.493,77.758,-195.026
339,35,F,24.566,23.356,0.605,38.599,-178.936,11.813,11.532,0.14,82.21,-179.614
340,35,F,10.143,9.727,0.208,46.814,-169.741,51.081,49.8,0.64,77.768,-198.561
341,35,F,11.092,10.739,0.176,60.848,-174.603,21.928,21.391,0.269,79.622,-187.501
342,35,F,8.438,7.986,0.226,35.354,-163.305,41.571,40.587,0.492,82.517,-196.605
343,35,F,10.655,9.913,0.371,26.744,-162.459,35.239,34.281,0.479,71.624,-192.425
344,35,F,13.529,13.082,0.223,58.574,-176.748,25.681,24.942,0.369,67.552,-187.356
345,35,F,8.772,8.149,0.312,26.157,-159.521,31.062,30.013,0.525,57.187,-187.605
346,35,F,13.667,13.106,0.281,46.648,-173.707,22.866,22.108,0.379,58.32,-183.753
347,35,F,13.903,13.356,0.274,48.795,-174.568,28.976,27.955,0.51,54.781,-186.07
348,35,F,19.481,17.655,0.913,19.336,-165.862,20.613,20.041,0.286,70.073,-184.903
349,35,F,19.148,18.104,0.522,34.701,-174.074,18.818,18.252,0.283,64.511,-182.531
350,35,F,14.006,12.515,0.745,16.79,-159.329,36.167,34.736,0.715,48.552,-187.369
351,35,F,9.985,9.727,0.129,75.322,-176.144,29.868,29.084,0.392,74.137,-190.676
352,35,F,14.905,14.26,0.322,44.271,-174.14,32.898,31.956,0.471,67.879,-190.757
353,35,F,11.942,11.316,0.313,36.174,-168.307,17.471,17.101,0.185,92.35,-186.484
354,35,F,15.006,14.242,0.382,37.29,-171.812,29.363,28.043,0.66,42.476,-182.687
355,35,F,16.573,15.718,0.427,36.782,-172.955,21.054,20.388,0.333,61.228,-183.318
356,35,F,10.177,9.549,0.314,30.372,-163.667,31.221,30.39,0.416,73.139,-191.085
357,35,F,8.443,8.021,0.211,38.01,-164.34,43.221,42.018,0.601,69.882,-194.834
358,35,F,20.432,18.921,0.755,25.046,-170.278,24.904,24.258,0.323,75.057,-188.4
359,35,F,8.659,8.214,0.223,36.872,-164.25,30.612,30.199,0.207,146.051,-200.311
360,35,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,35,F,10.067,9.602,0.232,41.318,-167.885,25.924,24.94,0.492,50.694,-183.489
362,35,F,6.613,6.047,0.283,21.37,-152.784,30.456,29.422,0.517,56.902,-187.27
363,35,F,14.89,13.952,0.469,29.751,-168.494,28.022,27.407,0.307,89.159,-192.361
364,35,F,6.264,5.848,0.208,28.173,-156.055,19.273,18.704,0.285,65.65,-183.096
365,35,F,8.419,7.547,0.436,17.316,-152.935,26.485,25.518,0.484,52.752,-184.333
