Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic NADPH (pmol/ug),Hepatic NADP (pmol/ug),Hepatic NADP/NADPH,Hepatic NADH (pmol/ug)
311,35,F,12.45,11.954,0.248,48.169,-172.901,0.045,1.976,43.548,3.663
312,35,F,15.116,14.686,0.215,68.261,-180.365,NA,1.728,NA,2.753
313,35,F,12.399,10.974,0.713,15.402,-156.398,0.011,1.735,161.363,2.091
314,35,F,23.933,21.074,1.429,14.743,-164.594,0.034,1.422,42.078,0.79
315,35,F,15.541,14.813,0.364,40.7,-173.52,0.04,1.625,41.126,2.431
316,35,F,17.374,16.732,0.321,52.047,-178.47,0.095,1.93,20.374,1.903
317,35,F,24.648,23.952,0.348,68.849,-187.066,0.027,2.261,83.817,1.86
318,35,F,10.416,9.503,0.456,20.817,-158.517,0.016,2.007,126.88,1.613
319,35,F,9.052,8.516,0.268,31.769,-162.732,0.034,1.612,46.997,0.304
320,35,F,12.917,12.362,0.277,44.564,-172.305,0.043,1.744,40.932,1.586
321,35,F,16.845,16.129,0.358,45.091,-176.045,0.049,1.518,31.273,2.231
322,35,F,16.724,15.643,0.54,28.952,-169.668,0.036,1.298,36.534,2.807
323,35,F,21.118,20.753,0.182,113.804,-191.903,0.016,1.519,96.059,1.554
324,35,F,8.671,8.301,0.185,44.879,-167.038,0.023,1.856,80.082,1.266
325,35,F,11.21,10.657,0.277,38.531,-168.349,0.131,1.877,14.376,1.392
326,35,F,18.223,17.722,0.25,70.834,-183.393,0.02,1.742,85.645,0.512
327,35,F,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,35,F,17.958,17.42,0.269,64.697,-181.941,NA,1.4,NA,0.754
329,35,F,8.533,7.967,0.283,28.193,-160.227,NA,1.921,NA,0.774
330,35,F,8.539,8.061,0.239,33.709,-162.789,0.148,1.791,12.126,2.678
331,35,F,8.402,7.469,0.466,16.019,-151.747,0.093,1.128,12.189,1.95
332,35,F,13.683,13.19,0.247,53.474,-175.632,0.156,1.266,8.123,2.851
333,35,F,38.616,35.949,1.333,26.959,-179.91,0.151,1.213,8.045,1.716
334,35,F,10.989,9.831,0.579,16.994,-156.242,NA,1.408,NA,1.255
335,35,F,6.974,6.71,0.132,50.81,-165.844,0.116,1.208,10.43,1.71
336,35,F,19.011,18.081,0.465,38.861,-175.58,0.16,0.602,3.759,1.444
337,35,F,13.89,13.254,0.318,41.678,-172.342,0.106,1.341,12.626,1.544
338,35,F,24.072,23.462,0.305,76.897,-188.277,0.092,1.189,12.995,1.028
339,35,F,24.566,23.356,0.605,38.599,-178.936,NA,1.24,NA,1.648
340,35,F,10.143,9.727,0.208,46.814,-169.741,0.105,1.36,12.939,1.92
341,35,F,11.092,10.739,0.176,60.848,-174.603,0.214,0.926,4.317,1.704
342,35,F,8.438,7.986,0.226,35.354,-163.305,0.126,1.039,8.256,1.616
343,35,F,10.655,9.913,0.371,26.744,-162.459,0.106,1.666,15.775,2.465
344,35,F,13.529,13.082,0.223,58.574,-176.748,0.104,1.379,13.232,1.887
345,35,F,8.772,8.149,0.312,26.157,-159.521,0.094,1.049,11.18,1.686
346,35,F,13.667,13.106,0.281,46.648,-173.707,0.09,1.142,12.705,1.169
347,35,F,13.903,13.356,0.274,48.795,-174.568,0.061,1.033,16.87,1.077
348,35,F,19.481,17.655,0.913,19.336,-165.862,0.235,1.076,4.584,2.367
349,35,F,19.148,18.104,0.522,34.701,-174.074,0.012,1.288,110.527,3.063
350,35,F,14.006,12.515,0.745,16.79,-159.329,0.088,1.215,13.879,4.322
351,35,F,9.985,9.727,0.129,75.322,-176.144,NA,1.471,NA,2.506
352,35,F,14.905,14.26,0.322,44.271,-174.14,0.111,1.24,11.175,2.123
353,35,F,11.942,11.316,0.313,36.174,-168.307,0.014,1.441,106.043,3.141
354,35,F,15.006,14.242,0.382,37.29,-171.812,0.094,1.386,14.691,3.338
355,35,F,16.573,15.718,0.427,36.782,-172.955,0.022,1.314,58.83,2.396
356,35,F,10.177,9.549,0.314,30.372,-163.667,NA,1.326,NA,2.239
357,35,F,8.443,8.021,0.211,38.01,-164.34,0.023,1.451,63.767,3.422
358,35,F,20.432,18.921,0.755,25.046,-170.278,0.026,1.526,58.677,1.565
359,35,F,8.659,8.214,0.223,36.872,-164.25,0.044,1.603,36.595,2.298
360,35,F,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,35,F,10.067,9.602,0.232,41.318,-167.885,0.029,1.451,50.363,3.338
362,35,F,6.613,6.047,0.283,21.37,-152.784,0.244,1.175,4.824,2.94
363,35,F,14.89,13.952,0.469,29.751,-168.494,0.023,1.065,45.669,3.116
364,35,F,6.264,5.848,0.208,28.173,-156.055,0.175,1.057,6.03,3.157
365,35,F,8.419,7.547,0.436,17.316,-152.935,0.121,1.06,8.784,1.996
