Mouse,Generation,Sex,Steatosis,Hydropic Degeneration,Inflammation,Liver GSH (nmol/mg),Liver GSSG (nmol/mg),Liver Total Glutathione (nmol/mg),Liver GSH/GSSG,Liver Eh (mV),Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV)
57,30,F,0,1,3,54.147,0.597,55.34,90.721,-201.762,40.273,37.356,1.459,25.605,-179.733
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,30,F,0,4,1,35.561,0.282,36.125,126.066,-200.531,45.835,43.863,0.986,44.479,-189.33
60,30,F,0,1,2,52.215,0.586,53.386,89.18,-201.042,35.223,33.84,0.692,48.936,-187.123
61,30,F,0,3,1,33.629,0.443,34.515,75.925,-192.952,29.548,27.418,1.065,25.744,-175.642
62,30,F,3,3,1,38.041,0.382,38.805,99.569,-198.262,23.453,22.478,0.488,46.092,-180.809
63,30,F,1,3,2,77.579,1.025,79.628,75.705,-204.167,28.605,27.883,0.361,77.141,-190.643
64,30,F,0,0,3,22.147,0.272,22.691,81.455,-188.275,26.68,25.504,0.588,43.408,-181.702
65,30,F,0,2,2,38.714,0.596,39.905,64.999,-192.756,22.955,22.398,0.279,80.368,-188.246
66,30,F,0,4,2,55.925,0.56,57.045,99.901,-203.494,20.002,18.962,0.52,36.472,-175.367
67,30,F,0,0,3,63.425,0.978,65.38,64.859,-199.373,24.293,23.619,0.337,70.102,-187.121
68,30,F,0,3,1,41.32,0.781,42.881,52.912,-190.863,18.852,17.815,0.519,34.328,-173.711
69,30,F,1,3,2,21.343,0.249,21.841,85.793,-188.476,19.388,18.715,0.337,55.559,-180.857
70,30,F,0,1,2,55.792,0.574,56.941,97.179,-203.091,45.67,44.401,0.634,70.011,-195.601
71,30,F,0,2,2,35.096,0.481,36.058,72.977,-192.994,40.579,39.774,0.403,98.81,-198.758
72,30,F,0,3,1,67.491,0.795,69.081,84.89,-203.833,14.084,13.583,0.25,54.311,-176.237
73,30,F,0,3,3,57.641,1.291,60.222,44.661,-193.062,16.961,16.418,0.271,60.475,-180.235
74,30,F,0,4,2,53.704,0.605,54.914,88.751,-201.355,25.587,25.238,0.175,144.339,-197.736
75,30,F,0,1,2,56.075,0.879,57.833,63.797,-197.492,15.196,14.911,0.142,104.848,-186.348
76,30,F,0,1,4,29.623,0.492,30.607,60.183,-188.116,12.377,12.103,0.137,88.222,-181.214
77,30,F,0,3,2,42.421,0.522,43.466,81.246,-196.991,19.974,18.56,0.707,26.261,-170.656
