Mouse,Generation,Sex,InitialWeight,FinalWeight,AST,ALT,ASTALTRatio,BUN,Glucose,NADPH,NADP,NADPNADPHRatio,NADH,LiverWeight,LiverTotalGSH,LiverGSH,LiverGSSG,LiverGSHGSSGRatio,LiverEh,Steatosis,Ballooning,Fibrosis,Inflammation,KidneyTotalGSH,KidneyGSH,KidneyGSSG,KidneyGSHGSSGRatio,KidneyEh
144,32,M,24.4,43.9,127,22,5.773,24,120,0.614,0.661,1.076,3.438,2.151,57.741,56.232,0.755,74.522,-199.622,0,4,0,2,15.408,14.762,0.323,45.702,-175.033
145,32,M,33,36.5,135,30,4.5,26,92,0.247,0.781,3.16,3.333,1.829,56.625,55.115,0.755,72.992,-199.073,0,2,0,2,16.208,15.203,0.502,30.267,-169.882
146,32,M,30.4,32.4,49,19,2.579,24,88,0.239,0.774,3.241,4.315,1.334,38.563,38.114,0.225,169.761,-205.471,0,2,0,1,20.031,18.939,0.546,34.708,-174.684
147,32,M,31.5,48,37,24,1.542,43,102,0.221,0.86,3.885,3.973,2.405,83.258,78.682,2.288,34.392,-193.734,1,4,0,1,17.873,17.19,0.342,50.335,-178.384
148,32,M,26.3,31.3,66,25,2.64,22,113,0.182,0.778,4.28,2.179,1.551,43.424,42.728,0.348,122.759,-202.645,0,2,0,2,23.734,21.795,0.97,22.479,-170.726
149,32,M,32.4,40.6,35,22,1.591,21,102,0.295,0.653,2.211,2.981,1.577,42.614,41.773,0.421,99.286,-199.483,0,1,0,2,23.729,23.045,0.342,67.39,-186.258
150,32,M,23.7,29.5,50,30,1.667,24,92,0.329,0.609,1.848,3.489,1.432,78.654,77.036,0.809,95.217,-207.16,0,1,0,4,16.571,15.11,0.731,20.675,-164.667
151,32,M,26.5,35.4,43,26,1.654,21,97,0.323,0.623,1.928,2.954,2.024,55.501,54.379,0.561,97.002,-202.721,0,4,0,2,27.81,27.169,0.321,84.707,-191.554
152,32,M,35.3,47.9,27,22,1.227,24,87,0.549,0.613,1.117,3.646,2.158,61.711,59.979,0.866,69.23,-199.499,0,2,0,2,20.382,19.68,0.351,56.058,-181.654
153,32,M,30.1,30.6,48,29,1.655,15,66,0.051,0.708,13.906,3.32,2.2,37.538,36.735,0.402,91.472,-196.649,0,0,0,3,10.265,9.941,0.162,61.509,-173.71
154,32,M,37.7,61.5,101,31,3.258,21,113,0.382,0.589,1.539,2.496,2.51,85.761,84.067,0.847,99.264,-208.896,0,3,0,2,16.22,15.85,0.185,85.649,-184.447
155,32,M,28.9,40.1,82,52,1.577,20,118,0.327,0.656,2.009,2.206,1.928,42.876,42.043,0.416,100.951,-199.794,0,4,0,2,12.52,12.208,0.156,78.416,-179.745
156,32,M,38.3,44.9,51,25,2.04,31,73,0.467,2.006,4.295,4.282,1.833,74.963,73.523,0.72,102.144,-207.477,0,4,0,3,9.171,8.56,0.306,27.993,-161.097
157,32,M,34.6,55.3,102,33,3.091,21,70,0.898,1.3,1.448,4.703,3.388,61.245,59.704,0.77,77.496,-200.956,5,1,0,2,16.163,15.872,0.146,108.786,-187.685
158,32,M,42.2,58.2,38,32,1.188,21,257,0.561,1.417,2.525,3.909,3.214,65.853,64.529,0.662,97.43,-205.084,2,4,0,2,19.421,19.14,0.141,136.197,-193.231
159,32,M,31.3,42.5,39,23,1.696,17,88,0.517,1.9,3.674,5.394,1.596,44.336,42.982,0.677,63.495,-193.849,0,5,0,2,24.037,23.537,0.25,94.142,-191.043
160,32,M,32.6,49.4,41,31,1.323,22,132,NA,1.414,NA,3.131,2.472,60.491,59.287,0.602,98.513,-204.092,0,4,0,1,14.479,13.85,0.315,44.036,-173.674
161,32,F,21.3,31.4,49,35,1.4,33,91,0.434,1.565,3.607,5.006,1.246,56.753,55.623,0.565,98.516,-203.234,0,4,0,2,23.109,22.434,0.338,66.431,-185.703
162,32,F,28.3,46,134,33,4.061,27,105,0.355,1.57,4.424,3.784,1.876,61.52,59.89,0.815,73.503,-200.285,1,5,0,3,24.058,23.452,0.303,77.446,-188.367
163,32,F,21.3,36,49,19,2.579,22,103,0.122,2.271,18.68,2.642,1.477,58.389,57.501,0.444,129.462,-207.358,0,2,0,2,19.825,19.072,0.377,50.626,-179.86
164,32,F,32.3,59.2,51,26,1.962,25,87,0.421,1.549,3.682,5.149,2.35,41.543,40.543,0.5,81.059,-196.35,1,4,0,2,22.744,21.967,0.388,56.596,-183.264
165,32,F,21,27,61,28,2.179,31,98,0.246,2.575,10.45,6.397,1.14,66.405,65.289,0.558,117.014,-207.707,0,3,0,3,17.42,16.522,0.449,36.781,-173.626
166,32,F,28.7,46.2,43,25,1.72,29,97,0.197,2.103,10.686,4.55,1.595,30.435,29.872,0.282,106.014,-195.851,0,2,0,3,11.158,10.521,0.319,33.024,-166.099
167,32,F,23.3,40.2,49,23,2.13,24,103,0.349,1.986,5.693,3.385,1.772,69.612,67.875,0.869,78.119,-202.79,0,5,0,2,18.858,18.151,0.354,51.326,-179.378
168,32,F,22.7,25.4,50,21,2.381,23,100,0.656,1.388,2.118,3.081,0.965,44.263,43.617,0.323,134.892,-204.191,0,4,0,1,11.549,10.962,0.294,37.302,-168.292
169,32,F,22.7,31.4,49,16,3.063,19,85,0.242,1.789,7.406,3.094,1.133,34.873,33.884,0.495,68.499,-191.668,0,3,0,2,7.648,7.161,0.244,29.368,-159.34
170,32,F,23.5,29.2,69,21,3.286,29,110,0.366,2.386,6.525,5.01,1.285,50.55,48.991,0.78,62.844,-195.472,0,3,0,2,20.976,20.56,0.208,98.835,-189.878
171,32,F,23.3,38.8,45,25,1.8,23,91,0.326,2.132,6.541,3.257,1.9,46.656,45.294,0.681,66.497,-195.176,0,5,0,2,12.335,11.819,0.258,45.806,-172.071
172,32,F,26.6,39,49,23,2.13,30,80,0.205,1.865,9.091,3.091,1.382,37.025,35.796,0.615,58.21,-190.216,0,3,0,2,16.432,15.81,0.311,50.848,-177.394
173,32,F,19.3,30.3,72,21,3.429,25,67,0.36,2.079,5.775,2.147,1.19,52.254,51.148,0.553,92.54,-201.262,0,1,0,2,22.868,22.236,0.316,70.468,-186.379
174,32,F,29.7,40.9,45,24,1.875,27,100,0.116,1.47,12.649,4.265,1.573,57.373,54.028,1.672,32.304,-187.83,1,4,0,2,19.101,18.754,0.174,107.98,-189.832
175,32,F,22.1,32.1,42,21,2,24,98,0.071,1.384,19.547,3.218,1.394,42.062,40.877,0.592,69.011,-194.294,0,4,0,2,14.404,13.806,0.299,46.163,-174.267
176,32,F,21.3,33.5,75,29,2.586,27,93,0.236,0.942,3.996,3.293,1.593,44.624,43.273,0.675,64.063,-194.06,0,3,0,1,23.295,22.485,0.405,55.465,-183.305
177,32,F,22.1,27.4,52,24,2.167,23,74,0.26,1.316,5.058,2.104,1.073,65.031,63.604,0.713,89.172,-203.697,0,4,0,2,11.113,9.887,0.613,16.122,-155.609
178,32,F,18.1,25.6,41,17,2.412,20,129,0.463,0.88,1.899,4.503,1.078,67.702,66.38,0.661,100.373,-205.865,0,4,0,2,27.961,26.729,0.616,43.4,-182.331
179,32,F,23.8,33.1,58,31,1.871,16,76,0.167,0.792,4.746,3.107,1.366,50.039,48.678,0.681,71.503,-197.123,0,4,0,2,8.661,7.859,0.401,19.592,-155.142
180,32,F,22.4,34.7,39,17,2.294,20,102,0.171,0.895,5.219,3.074,1.337,57.634,55.553,1.04,53.392,-194.97,0,4,0,2,17.365,16.552,0.407,40.716,-175.019
181,32,F,23.3,42.8,37,15,2.467,18,100,0.274,0.904,3.294,5.234,1.81,23.096,22.179,0.458,48.408,-181.289,0,4,0,2,25.284,24.784,0.25,99.142,-192.435
182,32,F,26.3,49.3,104,26,4,20,114,0.305,0.668,2.19,3.928,2.362,62.46,61.091,0.684,89.296,-203.173,1,4,0,2,20.267,19.739,0.264,74.754,-185.57
183,32,F,20.5,27.1,75,29,2.586,29,78,0.118,0.92,7.786,4.831,1.334,39.685,38.593,0.546,70.703,-193.846,0,3,0,2,21.539,21.04,0.249,84.396,-188.063
184,32,F,27.1,47.9,42,20,2.1,29,91,0.19,0.78,4.097,6.933,1.568,48.025,46.445,0.79,58.794,-193.857,0,3,0,2,22.524,21.92,0.302,72.51,-186.57
185,32,F,22.6,47.5,47,34,1.382,28,76,0.107,0.948,8.849,5.322,1.677,41.96,41.295,0.332,124.199,-202.342,0,3,0,2,12.132,11.615,0.259,44.926,-171.575
186,32,F,26.3,49.4,57,41,1.39,26,138,0.376,0.538,1.429,5.536,2.322,39.629,38.685,0.472,81.883,-195.855,2,4,0,2,20.164,19.555,0.304,64.236,-183.402
187,32,F,17.5,32.5,44,14,3.143,22,125,0.285,0.776,2.722,4.663,1.499,105.566,103.986,0.79,131.606,-215.556,0,4,0,2,26.997,26.184,0.406,64.442,-187.375
188,32,F,20,24.9,39,18,2.167,26,92,0.197,0.767,3.888,5.028,0.934,44.906,43.736,0.585,74.777,-196.285,0,1,0,2,21.282,20.39,0.446,45.726,-179.389
189,32,F,25.5,45.5,146,28,5.214,30,86,0.185,0.894,4.821,4.386,1.785,54.876,53.721,0.578,93.017,-201.992,2,4,0,2,21.576,21.116,0.23,91.85,-189.25
190,32,F,20.4,39.7,111,25,4.44,27,122,0.25,0.814,3.249,6.133,1.203,39.124,38.101,0.511,74.524,-194.382,0,2,1,3,9.685,8.799,0.443,19.851,-156.841
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,32,F,19.7,34.3,34,17,2,17,100,0.062,1.091,17.539,1.581,1.572,51.646,51.069,0.288,177.181,-209.986,0,4,0,2,12.538,11.249,0.645,17.443,-158.406
193,32,F,21.5,27.5,59,26,2.269,25,88,0.241,0.813,3.372,2.442,1.065,49.565,48.404,0.58,83.435,-199.125,0,2,1,3,28.556,28.091,0.233,120.705,-196.771
194,32,F,31.4,60.6,51,25,2.04,23,125,0.375,0.983,2.624,2.884,2.293,47.565,46.726,0.42,111.349,-202.535,0,4,0,1,17.577,17.041,0.268,63.583,-181.412
195,32,F,21.7,28.8,48,20,2.4,28,98,0.249,1.867,7.489,3.163,1.299,35.559,34.508,0.525,65.682,-191.348,0,2,0,3,27.75,26.363,0.694,38.013,-180.36
196,32,F,27.4,42.3,37,23,1.609,25,113,0.166,0.886,5.354,3.151,1.65,66.9,65.85,0.525,125.492,-208.764,0,4,0,1,24.296,23.369,0.464,50.408,-182.537
197,32,F,23.7,31.5,50,28,1.786,26,91,0.074,0.661,8.925,3.362,1.348,44.14,43.049,0.546,78.871,-196.789,0,2,0,2,23.099,22.605,0.247,91.507,-190.117
198,32,F,24.8,36.7,34,16,2.125,18,97,0.241,0.59,2.449,5.082,1.343,55.449,53.834,0.808,66.641,-197.531,0,1,0,2,18.995,18.291,0.352,52.007,-179.659
199,32,F,22.9,34.7,44,14,3.143,22,110,0.138,0.457,3.309,3.61,1.487,51.641,50.428,0.606,83.156,-199.631,0,4,0,1,19.35,18.25,0.55,33.17,-173.574
200,32,F,18.8,29.2,54,24,2.25,24,88,0.206,0.857,4.151,4.112,1.002,56.342,54.852,0.745,73.668,-199.133,0,3,0,2,24.507,23.646,0.431,54.919,-183.85
201,32,F,19.6,28.3,46,17,2.706,28,96,0.213,0.982,4.62,7.572,0.998,36.04,35.503,0.268,132.278,-201.156,0,4,0,1,10.336,9.829,0.253,38.808,-167.357
202,32,F,25,34.2,233,49,4.755,25,98,0.141,0.632,4.479,6.247,1.357,61.968,60.38,0.794,76.028,-200.85,0,3,0,3,17.099,16.718,0.19,87.965,-185.525
203,32,F,24.5,33.9,44,17,2.588,24,77,0.089,0.982,10.998,4.983,1.367,36.928,36.232,0.348,104.078,-198.202,0,2,0,2,5.069,4.744,0.163,29.19,-153.714
204,32,F,26.3,41.4,51,23,2.217,22,99,0.145,0.725,5.006,3.056,1.757,57.724,55.042,1.341,41.043,-191.304,0,5,0,2,11.997,11.35,0.323,35.092,-167.938
205,32,F,22.2,33.8,41,24,1.708,25,92,0.082,0.446,5.424,3.215,1.225,37.233,36.084,0.575,62.786,-191.343,0,2,0,2,19.79,19.342,0.224,86.46,-187.255
206,32,F,19.3,27.5,46,24,1.917,24,83,0.019,0.642,33.067,4.171,1.001,54.884,53.802,0.541,99.446,-202.912,0,3,0,2,19.339,18.534,0.402,46.088,-178.21
207,32,F,23.9,48.4,65,30,2.167,26,72,0.131,0.401,3.053,5.633,1.737,32.618,31.572,0.523,60.35,-189.011,0,3,0,2,21.535,20.773,0.381,54.512,-182.006
208,32,F,22.7,32.4,70,31,2.258,28,82,0.071,0.576,8.079,5.016,1.65,56.486,55.098,0.694,79.4,-200.202,0,3,0,3,24.322,23.483,0.42,55.928,-184.002
209,32,F,25.5,37.9,33,15,2.2,20,106,0.078,0.929,11.898,3.163,1.884,64.977,64.002,0.488,131.285,-208.989,0,4,0,3,16.856,16.391,0.233,70.392,-182.258
210,32,F,19.5,22.8,58,20,2.9,48,89,0.031,1.336,42.501,3.04,0.935,56.898,55.141,0.878,62.782,-197.051,0,1,0,2,25.7,25.407,0.146,173.517,-200.305
211,32,F,21.8,28.3,44,17,2.588,27,99,0.029,1.234,42.094,2.951,1.062,98.301,96.583,0.859,112.411,-212.439,0,3,0,3,26.515,25.851,0.332,77.882,-189.753
212,32,F,22.6,28.3,125,24,5.208,17,105,0.073,1.073,14.606,3.995,1.109,63.838,61.955,0.942,65.78,-199.247,0,2,0,2,23.354,22.468,0.443,50.752,-182.1
213,32,F,24.3,49.4,50,21,2.381,17,91,0.301,1.113,3.694,4.639,1.563,69.329,67.464,0.933,72.347,-201.675,0,3,0,2,20.292,19.862,0.215,92.334,-188.496
214,32,F,21.9,38.7,47,27,1.741,22,77,0.069,1.062,15.33,3.769,1.302,40.451,39.903,0.274,145.509,-204.013,0,2,0,3,6.16,5.602,0.279,20.077,-150.914
215,32,F,27.8,40.4,49,36,1.361,24,97,0.081,0.82,10.089,2.659,1.391,61.523,59.79,0.866,69.012,-199.414,1,4,0,4,14.846,14.15,0.348,40.651,-172.886
216,32,F,23.8,40.6,170,29,5.862,24,95,0.151,1.005,6.643,3.807,1.995,59.272,57.831,0.72,80.296,-201.004,0,4,0,2,8.917,8.174,0.372,22.001,-157.232
217,32,F,25.4,35.6,57,29,1.966,26,102,0.202,0.999,4.955,4.582,1.188,44.637,43.658,0.49,89.139,-198.626,0,4,0,2,16.771,16.343,0.214,76.371,-183.316
218,32,F,18.9,26.8,54,20,2.7,22,84,0.068,1.051,15.395,3.643,1.167,45.301,44.523,0.389,114.409,-202.25,0,3,0,3,23.903,22.969,0.467,49.184,-181.974
219,32,F,18.7,31.1,118,26,4.538,27,51,0.202,0.997,4.943,3.591,1.1,54.951,53.59,0.681,78.745,-199.716,0,2,0,3,25.756,24.987,0.384,65.032,-186.868
220,32,F,22.7,36.7,45,25,1.8,27,75,0.097,0.953,9.872,4.529,1.49,50.382,49.146,0.618,79.498,-198.679,1,4,0,1,21.171,20.556,0.307,66.873,-184.616
221,35,M,25.5,41.3,51,19,2.684,NA,85,0.254,0.928,3.655,1.365,1.595,23.301,22.848,0.226,101.011,-191.592,0,3,0,1,25.209,24.639,0.285,86.513,-190.522
222,35,M,30.6,52.8,29,18,1.611,NA,118,0.365,1.092,2.991,2.388,2.129,34.498,33.624,0.437,76.926,-193.126,0,4,0,1,15.791,15.234,0.279,54.692,-177.875
223,35,M,26.1,33.7,45,29,1.552,26,102,0.405,1.048,2.588,1.872,1.625,35.175,34.073,0.551,61.836,-190.365,0,4,0,2,19.616,18.939,0.338,55.997,-181.123
224,35,M,31.6,42.7,45,26,1.731,NA,103,0.34,1.243,3.661,3.269,2.025,56.621,55.034,0.794,69.333,-198.361,1,5,0,2,8.155,7.836,0.159,49.154,-167.487
225,35,M,26.5,36,84,22,3.818,32,95,0.111,1.221,10.987,2.223,1.348,42.575,41.679,0.448,93.065,-198.582,0,2,0,2,23.397,22.809,0.294,77.545,-188.009
226,35,M,27.6,32.1,52,28,1.857,NA,82,0.432,1.034,2.395,1.853,1.245,30.343,29.607,0.368,80.415,-192.011,0,3,0,2,15.488,14.538,0.475,30.584,-169.42
227,35,M,28.6,46.8,42,23,1.826,27,107,0.508,0.92,1.811,3.367,2.379,32.581,31.405,0.588,53.406,-187.294,0,4,0,1,10.309,9.841,0.234,41.983,-168.431
228,35,M,29.6,47.6,43,26,1.654,36,112,0.241,0.836,3.473,2.006,2.25,53.169,51.874,0.648,80.106,-199.509,0,3,0,2,9.692,9.459,0.117,81.134,-176.768
229,35,M,32,49.8,38,23,1.652,23,92,0.262,0.936,3.574,0.983,2.038,20.651,19.938,0.357,55.922,-181.797,0,2,0,2,22.053,21.644,0.204,106.05,-191.518
230,35,M,30.2,45.1,35,19,1.842,28,96,0.258,1.28,4.965,1.542,1.829,47.851,46.674,0.588,79.32,-197.954,0,3,0,2,19.408,18.153,0.628,28.927,-171.66
231,35,M,33.4,45.2,38,27,1.407,26,120,0.358,0.796,2.222,1.459,1.994,29.769,29.083,0.343,84.761,-192.479,0,4,0,1,22.877,22.293,0.292,76.42,-187.505
232,35,M,32.7,45.8,33,23,1.435,29,103,0.177,1.061,5.986,2.231,2.127,22.901,22.039,0.431,51.102,-181.932,1,4,0,1,13.883,13.133,0.375,35.005,-169.869
233,35,M,34.9,54.5,37,22,1.682,36,367,0.22,0.946,4.295,2.062,3.72,49.581,48.495,0.543,89.308,-200.066,0,4,0,2,12.901,12.473,0.214,58.264,-176.034
234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,35,M,31,45.9,38,23,1.652,27,118,0.234,0.836,3.574,1.64,2.321,47.235,45.903,0.666,68.935,-195.841,0,4,0,1,14.47,13.932,0.269,51.841,-175.951
236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,35,M,32.7,35.5,33,17,1.941,24,120,0.206,1.043,5.069,1.055,1.736,48.091,46.832,0.63,74.378,-197.133,0,2,0,2,9.522,9.162,0.18,50.866,-170.053
238,35,M,33.8,46.5,44,27,1.63,25,96,0.189,1.334,7.049,0.783,1.864,28.954,28.389,0.283,100.396,-194.433,0,3,0,2,32.095,31.181,0.457,68.239,-190.498
239,35,M,29.6,37.4,41,18,2.278,23,92,0.088,0.881,9.967,1.046,1.691,41.066,40.083,0.491,81.582,-196.283,0,2,0,2,22.281,21.815,0.233,93.681,-189.955
240,35,M,33.4,50.4,45,30,1.5,24,118,0.109,1.163,10.641,1.245,2.002,43.959,42.521,0.719,59.148,-192.749,0,2,0,1,9.614,9.206,0.204,45.192,-168.525
241,35,M,30.2,33.9,44,21,2.095,27,67,0.44,0.957,2.176,0.658,1.514,33.876,32.713,0.581,56.269,-188.547,0,3,0,1,15.382,14.228,0.577,24.668,-166.236
242,35,M,36,40.6,29,15,1.933,15,103,0.401,0.822,2.053,1.416,2.208,13.784,13.477,0.153,87.819,-182.601,0,3,0,3,17.292,16.818,0.237,70.883,-182.698
243,35,M,40.7,54.7,137,31,4.419,22,330,0.288,0.61,2.12,1.547,3.415,24.029,23.411,0.309,75.797,-188.053,0,3,0,1,11.433,11.219,0.107,104.487,-182.471
244,35,M,34.8,57.4,36,16,2.25,18,97,0.097,0.932,9.603,1.428,2.661,27.557,26.854,0.352,76.342,-189.997,1,3,0,1,12.691,12.041,0.325,37.034,-169.459
245,35,M,33,50.5,45,33,1.364,24,101,0.055,1.072,19.564,1.368,2.083,43.974,42.735,0.619,68.999,-194.89,0,3,0,2,11.85,11.264,0.293,38.481,-169.077
246,35,M,32.6,43.2,41,32,1.281,27,149,0.139,1.001,7.175,1.594,1.949,32.146,31.367,0.389,80.531,-192.807,0,3,0,3,21.332,20.634,0.349,59.129,-183.01
247,35,M,27.6,48.7,63,25,2.52,24,115,0.294,1.243,4.236,0.959,1.951,35.261,34.295,0.483,71.009,-192.315,0,4,0,1,15.34,14.919,0.21,70.936,-181.095
248,35,M,30.5,50.7,48,31,1.548,34,331,0.125,1.518,12.182,1.059,2.713,38.327,37.326,0.5,74.616,-194.122,0,3,0,2,11.148,10.786,0.181,59.696,-174.405
249,35,M,46.6,64.8,27,24,1.125,21,161,0.25,1.523,6.081,1.429,3.625,42.662,41.394,0.634,65.295,-193.718,0,5,0,1,19.861,19.243,0.309,62.301,-182.774
250,35,M,36.1,51,43,24,1.792,16,84,0.108,1.59,14.752,0.831,1.821,44.119,42.903,0.608,70.547,-195.242,0,2,0,2,7.839,7.297,0.271,26.954,-158.439
251,35,M,29.4,41.2,50,40,1.25,22,92,0.162,1.169,7.194,3.241,1.767,40.116,38.872,0.622,62.492,-192.281,0,2,0,1,7.642,7.384,0.129,57.156,-168.717
252,35,M,27.9,35.7,42,24,1.75,25,89,0.026,0.895,34.344,1.401,1.453,37.345,36.072,0.636,56.672,-189.959,0,0,0,1,12.726,12.049,0.338,35.621,-168.945
253,35,M,29.3,50.3,41,24,1.708,22,108,0.226,1.241,5.48,2.584,2.302,30.973,30.2,0.386,78.163,-191.895,0,4,0,2,17.577,16.832,0.372,45.209,-176.654
254,35,M,29.9,47.3,34,19,1.789,24,79,0.222,1.42,6.412,0.995,1.543,19.02,18.345,0.338,54.343,-180.29,0,3,0,1,23.709,22.891,0.409,56.022,-183.681
255,35,M,35,52.6,59,28,2.107,23,131,0.228,0.471,2.07,3.816,2.311,21.153,20.653,0.25,82.664,-187.533,0,3,0,2,9.763,9.579,0.092,104.096,-180.294
256,35,M,32.2,47.3,45,23,1.957,21,99,0.137,1.603,11.664,0.293,1.93,11.402,10.775,0.314,34.344,-166.948,1,1,0,1,7.875,7.26,0.308,23.601,-156.581
257,35,M,33.5,52.5,41,29,1.414,29,174,0.473,0.506,1.071,1.219,1.849,39.86,38.161,0.85,44.917,-187.587,0,4,0,1,12.879,12.05,0.415,29.07,-166.209
258,35,M,34.3,51.7,35,20,1.75,18,152,0.415,0.731,1.759,3.164,2.127,42.982,41.641,0.671,62.068,-193.116,0,5,0,3,11.145,10.789,0.178,60.718,-174.638
259,35,M,27.5,32.9,53,21,2.524,21,164,0.388,0.546,1.407,3.99,1.457,24.258,23.83,0.214,111.251,-193.458,0,2,0,1,13.153,12.438,0.357,34.819,-169.066
260,35,M,23.6,33,30,18,1.667,21,166,0.402,0.731,1.821,2.902,1.399,37.227,36.272,0.477,75.995,-193.983,0,4,0,1,15.684,15.253,0.215,70.815,-181.37
261,35,M,26,36.1,43,28,1.536,27,86,0.282,0.881,3.127,1.302,1.702,63.291,60.02,1.636,36.694,-190.961,0,3,0,1,13.138,12.405,0.366,33.862,-168.655
262,35,M,31.9,44,40,24,1.667,16,137,0.267,0.732,2.746,2.758,1.744,35.833,34.195,0.819,41.761,-185.129,0,4,1,2,14.647,13.76,0.443,31.036,-168.877
263,35,M,29.1,43.4,38,24,1.583,30,274,0.295,0.6,2.037,2.064,2.228,39.415,38.473,0.471,81.72,-195.754,0,5,0,2,18.807,18.291,0.258,70.921,-183.835
264,35,M,29.4,51.4,38,22,1.727,NA,110,0.152,0.713,4.691,2.544,2.143,56.155,55.099,0.528,104.411,-203.889,0,4,0,1,11.097,10.745,0.176,61.047,-174.655
265,35,M,29.7,52.6,44,27,1.63,18,130,0.419,0.675,1.61,2.626,1.824,44.404,43.37,0.517,83.88,-197.718,0,4,0,2,18.552,18.126,0.213,85.025,-186.155
266,35,M,34.1,42.2,48,21,2.286,24,119,0.231,1.044,4.511,1.869,1.972,46.404,44.1,1.152,38.288,-187.385,0,5,0,1,8.757,8.011,0.373,21.481,-156.639
267,35,M,32,47.5,41,19,2.158,23,128,0.379,0.712,1.878,2.874,2.278,22.826,22.193,0.317,70.117,-186.285,0,2,0,2,13.033,11.972,0.531,22.556,-162.706
268,35,M,31.1,42,52,60,0.867,14,85,0.242,0.797,3.292,1.429,2.325,23.139,22.644,0.248,91.449,-190.132,0,1,0,1,12.485,12.246,0.119,102.708,-183.42
269,35,M,27.2,41.4,45,29,1.552,20,123,0.35,0.68,1.944,1.507,1.56,48.371,47.366,0.502,94.272,-200.477,0,4,0,2,16.655,16.162,0.247,65.552,-181.11
270,35,M,27.7,36.1,53,27,1.963,22,132,0.412,0.752,1.828,2.233,1.503,24.855,24.326,0.265,91.899,-191.163,0,2,0,2,11.175,10.59,0.292,36.208,-167.427
271,35,M,21.8,29.3,36,19,1.895,22,99,0.24,0.843,3.508,2.344,1.309,17.339,16.901,0.219,77.276,-183.927,0,3,0,2,21.801,21.234,0.284,74.815,-186.563
272,35,M,28.6,38.4,34,20,1.7,23,78,0.295,0.822,2.79,3.243,1.605,28.099,27.457,0.321,85.449,-191.813,0,0,0,2,11.607,10.853,0.377,28.773,-164.662
273,35,M,38.9,55.2,50,33,1.515,21,301,0.286,1.192,4.166,2.835,2.745,36.174,35.021,0.577,60.722,-190.49,1,4,0,1,10.969,10.329,0.32,32.282,-165.546
274,35,M,29.2,41.4,40,36,1.111,25,372,0.144,0.749,5.188,1.517,2.262,47.789,46.844,0.473,99.106,-201.001,3,4,0,1,28.621,27.355,0.633,43.229,-182.589
275,35,M,32.5,49.5,37,20,1.85,28,130,0.454,1.135,2.497,2.045,1.665,31.081,30.586,0.248,123.569,-198.232,0,4,0,1,12.223,11.845,0.189,62.671,-176.321
276,35,M,28,44.2,53,34,1.559,23,86,0.236,0.81,3.435,1.967,1.813,31.345,30.411,0.467,65.165,-189.54,0,2,0,1,24.198,23.697,0.25,94.784,-191.227
277,35,M,26.5,44.7,37,22,1.682,23,128,0.367,0.537,1.463,2.919,1.518,47.295,45.681,0.807,56.606,-193.122,0,4,0,2,12.993,11.952,0.52,22.974,-162.931
278,35,M,32.5,56.5,39,26,1.5,24,205,0.573,0.491,0.857,1.83,2.395,49.825,48.52,0.652,74.381,-197.611,0,5,0,1,8.076,7.677,0.2,38.477,-163.914
279,35,M,27.7,42.3,47,24,1.958,20,100,0.302,0.89,2.945,2.006,2.103,30.657,29.96,0.348,86.033,-193.079,0,3,0,2,29.359,27.077,1.141,23.734,-174.379
280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,35,M,28.3,35.1,52,29,1.793,23,95,0.229,0.864,3.766,1.028,1.747,27.325,26.696,0.314,84.942,-191.355,0,3,0,2,18.751,18.239,0.256,71.305,-183.87
282,35,M,32,40.9,52,17,3.059,17,76,0.253,0.534,2.112,2.856,1.869,25.643,24.812,0.416,59.712,-185.624,0,3,0,1,18.909,18.393,0.258,71.234,-183.969
283,35,M,29.5,42.8,48,35,1.371,25,96,0.52,0.693,1.332,3.926,2.267,36.522,34.988,0.767,45.624,-186.628,0,4,0,1,26.939,25.449,0.745,34.149,-178.442
284,35,M,28.1,36.2,38,31,1.226,28,97,0.224,0.715,3.19,3.249,1.727,28.96,27.972,0.494,56.648,-186.529,0,4,0,3,6.729,6.234,0.248,25.188,-155.407
285,35,M,36.3,46.2,41,23,1.783,17,111,0.237,0.543,2.29,2.123,2.517,60.965,59.3,0.833,71.203,-199.724,0,3,0,1,8.527,8.241,0.143,57.655,-170.313
286,35,M,31.5,39.6,33,20,1.65,21,97,0.223,0.727,3.263,3.118,1.704,26.335,25.433,0.451,56.39,-185.187,0,2,0,2,14.153,13.603,0.275,49.381,-174.975
287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
