Mouse,Generation,Sex,Total Glutathione (nmol/mg),GSH (nmol/mg),GSSG (nmol/mg),GSH/GSSG,Eh (mV),NADPH (pmol/ug),NADP (pmol/ug),NADP/NADPH,NADH (pmol/ug),Liver Weight (g)
68,30,F,42.881,41.32,0.781,52.912,-190.863,0.305,0.967,3.172,2.693,1.599
69,30,F,21.841,21.343,0.249,85.793,-188.476,0.73,0.873,1.196,1.839,1.323
70,30,F,56.941,55.792,0.574,97.179,-203.091,0.296,0.75,2.529,2.45,1.189
71,30,F,36.058,35.096,0.481,72.977,-192.994,0.405,0.808,1.993,3.322,0.884
72,30,F,69.081,67.491,0.795,84.89,-203.833,0.513,0.746,1.454,1.171,1.181
73,30,F,60.222,57.641,1.291,44.661,-193.062,0.348,1.031,2.964,1.401,1.097
74,30,F,54.914,53.704,0.605,88.751,-201.355,0.249,1.216,4.877,2.89,1.147
75,30,F,57.833,56.075,0.879,63.797,-197.492,0.21,1.064,5.067,2.856,1.423
76,30,F,30.607,29.623,0.492,60.183,-188.116,0.279,0.883,3.16,2.223,1.166
77,30,F,43.466,42.421,0.522,81.246,-196.991,0.169,0.836,4.962,2.414,1.131
78,30,F,60.072,57.887,1.092,52.989,-195.422,0.25,0.962,3.852,3.703,1.196
79,30,F,73.986,70.137,1.925,36.444,-192.967,0.26,0.818,3.143,2.946,1.422
80,30,F,43.91,42.097,0.907,46.432,-189.355,0.204,0.988,4.842,3.485,1.805
81,30,F,62.065,59.944,1.061,56.516,-196.759,0.269,0.971,3.603,1.677,2.915
82,30,F,55.507,54.085,0.711,76.07,-199.375,0.429,0.445,1.036,2.892,2.698
83,30,F,30.58,29.302,0.639,45.826,-184.3,0.093,0.43,4.633,2.212,1.104
84,30,F,17.886,17.017,0.434,39.173,-174.872,0.13,0.859,6.632,2.089,0.961
85,30,F,43.046,41.923,0.562,74.651,-195.692,0.21,0.767,3.653,1.626,1.136
86,30,F,60.514,58.666,0.924,63.481,-198.034,0.168,0.707,4.198,3.012,0.7
87,30,F,60.354,58.6,0.877,66.814,-198.708,0.105,0.879,8.351,1.817,1.51
88,30,F,31.021,30.238,0.392,77.236,-191.751,0.142,0.459,3.223,2.26,1.024
89,30,F,51.074,48.668,1.203,40.466,-189.456,0.146,1.51,10.334,0.901,1.918
90,30,F,53.739,53.045,0.347,152.98,-208.52,0.565,1.162,2.057,2.834,1.999
91,30,F,40.439,38.296,1.072,35.74,-184.557,0.345,1.313,3.808,2.13,1.962
92,30,F,39.458,37.858,0.8,47.314,-188.18,0.258,1.067,4.141,1.611,1.157
93,30,F,62.92,60.273,1.323,45.549,-193.929,0.323,0.642,1.984,1.939,2.141
94,30,F,59.917,58.15,0.884,65.792,-198.396,0.192,0.726,3.784,1.828,1.453
95,30,F,77.595,75.541,1.027,73.539,-203.418,0.302,0.901,2.982,2.623,1.098
96,30,F,46.075,44.915,0.58,77.44,-197.114,0.098,0.659,6.69,2,1.998
97,30,F,59.371,55.868,1.752,31.894,-188.109,0.159,0.671,4.218,2.497,1.357
98,30,F,46.609,44.531,1.039,42.863,-189.035,0.106,0.742,7.034,1.859,1.776
99,32,M,41.56,40.565,0.498,81.486,-196.428,0.18,0.422,2.343,3.52,1.651
100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,32,M,63.188,61.663,0.763,80.865,-201.963,0.178,0.412,2.316,4.412,2.083
102,32,M,36.199,35.474,0.363,97.813,-197.081,0.175,0.588,3.349,4.536,1.64
103,32,M,33.222,32.535,0.344,94.704,-195.482,0.189,0.51,2.692,3.898,1.849
104,32,M,55.006,54.108,0.449,120.507,-205.574,0.226,0.353,1.564,2.915,1.903
105,32,M,48.832,48.125,0.354,136.008,-205.626,0.1,0.33,3.3,4.275,1.739
106,32,M,56.03,54.707,0.661,82.719,-200.657,0.228,0.367,1.613,4,1.897
107,32,M,44.501,43.249,0.626,69.123,-195.076,0.128,0.29,2.257,3.739,2.466
108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,32,M,83.31,82.234,0.538,152.937,-214.418,0.198,0.255,1.287,4.141,1.903
110,32,M,39.255,38.11,0.573,66.564,-192.865,0.17,0.548,3.232,2.607,1.765
111,32,M,72.44,70.993,0.723,98.148,-206.468,0.245,0.219,0.895,3.012,1.765
112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,32,M,62.171,61.031,0.57,107.04,-205.6,0.149,0.313,2.099,2.902,2.686
114,32,M,59.213,56.986,1.114,51.173,-194.741,0.218,0.277,1.266,3.21,1.687
115,32,M,35.597,34.88,0.358,97.347,-196.79,0.15,0.422,2.819,3.084,1.419
116,32,M,46.255,43.797,1.229,35.629,-186.322,0.07,0.356,5.087,3.01,1.95
117,32,M,42.838,41.446,0.696,59.58,-192.502,0.087,0.343,3.942,2.785,3.032
118,32,M,55.922,54.411,0.756,71.988,-198.713,0.35,0.733,2.095,3.362,1.461
119,32,M,91.58,88.263,1.658,53.226,-201.161,0.242,0.52,2.149,2.881,2.51
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,32,M,39.721,39.004,0.359,108.685,-199.777,0.344,0.78,2.269,4.979,1.471
122,32,M,60.826,58.994,0.916,64.401,-198.303,0.139,0.885,6.352,2.553,1.715
123,32,M,66.967,65.42,0.774,84.537,-203.357,0.215,0.629,2.932,3.338,1.712
124,32,M,64.036,62.07,0.983,63.157,-198.724,0.277,1.028,3.711,2.519,1.898
125,32,M,57.382,56.214,0.584,96.244,-203.062,0.457,0.85,1.858,3.789,1.499
126,32,M,91.521,88.607,1.457,60.803,-203.005,0.161,0.933,5.8,3.302,1.947
127,32,M,38.444,37.275,0.584,63.784,-191.992,0.287,0.727,2.528,3.684,2.247
128,32,M,68.57,65.643,1.463,44.854,-194.871,0.339,0.77,2.273,2.731,1.622
129,32,M,59.84,58.592,0.624,93.864,-203.282,0.301,0.835,2.777,3.483,2.381
130,32,M,71.499,69.616,0.942,73.931,-202.39,0.34,0.157,0.46,2.33,1.535
131,32,M,35.035,34.452,0.292,118.009,-199.215,0.347,0.921,2.655,4.784,2.73
132,32,M,60.712,59.103,0.805,73.434,-200.094,0.134,0.309,2.297,3.277,1.793
133,32,M,53.824,52.55,0.637,82.479,-200.076,0.274,0.666,2.433,3.387,1.693
134,32,M,66.151,65.318,0.417,156.81,-211.655,0.34,0.741,2.179,4.488,1.401
135,32,M,54.418,52.914,0.752,70.369,-198.031,0.346,0.503,1.454,3.957,2.22
