Mouse,Generation,Sex,Total Glutathione (nmol/mg),GSH (nmol/mg),GSSG (nmol/mg),GSH/GSSG,Eh (mV),NADPH (pmol/ug),NADP (pmol/ug),NADP/NADPH,NADH (pmol/ug),Liver Weight (g)
284,35,M,28.96,27.972,0.494,56.648,-186.529,0.224,0.715,3.19,3.249,1.727
285,35,M,60.965,59.3,0.833,71.203,-199.724,0.237,0.543,2.29,2.123,2.517
286,35,M,26.335,25.433,0.451,56.39,-185.187,0.223,0.727,3.263,3.118,1.704
287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,35,M,24.305,23.424,0.44,53.211,-183.298,0.206,0.574,2.788,1.472,2.355
289,35,M,37.842,37.092,0.375,98.964,-197.839,0.481,0.502,1.043,5.23,3.113
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,35,M,30.629,29.498,0.565,52.165,-186.134,0.368,1.081,2.94,2.278,3.713
292,35,M,21.54,20.62,0.46,44.824,-179.272,0.233,0.444,1.909,2.851,1.917
293,35,M,42.479,41.094,0.693,59.323,-192.329,0.327,0.573,1.751,2.383,1.17
294,35,M,33.193,32.322,0.436,74.201,-192.109,0.558,0.433,0.777,4.598,1.43
295,35,M,20.394,19.883,0.255,77.857,-186.215,0.277,0.445,1.603,3.301,2.679
296,35,F,44.487,43.12,0.683,63.12,-193.812,0.021,1.793,85.968,3.11,1.391
297,35,F,34.651,33.782,0.435,77.717,-193.327,0.262,1.401,5.348,3.482,1.921
298,35,F,20.505,20.079,0.213,94.38,-188.938,NA,1.893,NA,1.567,1.108
299,35,F,29.535,28.855,0.34,84.883,-192.392,0.076,1.173,15.389,3.397,1.31
300,35,F,27.53,27.106,0.212,128.107,-197.092,0.141,0.997,7.058,1.876,1.1
301,35,F,36.714,35.751,0.482,74.213,-193.469,0.213,1.438,6.765,1.769,1.651
302,35,F,16.922,16.37,0.276,59.304,-179.933,0.203,1.729,8.513,6.717,1.509
303,35,F,29.61,28.888,0.361,79.956,-191.602,0.343,1.117,3.257,2.325,1.325
304,35,F,22.656,22.066,0.295,74.809,-187.08,0.1,1.442,14.366,2.512,1.341
305,35,F,20.945,20.325,0.31,65.554,-184.195,0.164,1.256,7.658,1.84,1.425
306,35,F,18.61,18.048,0.281,64.198,-182.314,0.018,1.021,56.245,2.114,1.369
307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,35,F,41.289,40.335,0.477,84.581,-196.854,NA,2.424,NA,2.105,1.589
309,35,F,20.413,19.84,0.287,69.23,-184.605,NA,1.677,NA,1.963,1.155
310,35,F,26.137,25.485,0.326,78.23,-189.621,NA,2.066,NA,2.791,0.901
311,35,F,22.422,21.751,0.335,64.872,-184.968,0.045,1.976,43.548,3.663,1.3
312,35,F,16.462,15.925,0.268,59.317,-179.565,NA,1.728,NA,2.753,1.306
313,35,F,31.726,30.725,0.501,61.357,-188.868,0.011,1.735,161.363,2.091,1.688
314,35,F,18.725,17.862,0.432,41.368,-176.258,0.034,1.422,42.078,0.79,1.263
315,35,F,25.328,24.73,0.299,82.645,-189.955,0.04,1.625,41.126,2.431,1.427
316,35,F,37.202,35.999,0.601,59.862,-190.669,0.095,1.93,20.374,1.903,1.634
317,35,F,23.154,22.289,0.432,51.561,-182.205,0.027,2.261,83.817,1.86,1.881
318,35,F,43.224,42.059,0.582,72.233,-195.292,0.016,2.007,126.88,1.613,1.645
319,35,F,34.151,33.31,0.42,79.254,-193.401,0.034,1.612,46.997,0.304,2.112
320,35,F,26.235,25.803,0.216,119.406,-195.481,0.043,1.744,40.932,1.586,1.272
321,35,F,37.272,36.225,0.524,69.173,-192.699,0.049,1.518,31.273,2.231,2.361
322,35,F,24.158,23.31,0.424,54.968,-183.669,0.036,1.298,36.534,2.807,1.676
323,35,F,21.443,20.95,0.247,84.843,-188.075,0.016,1.519,96.059,1.554,1.356
324,35,F,39.901,38.992,0.455,85.769,-196.585,0.023,1.856,80.082,1.266,1.144
325,35,F,33.606,32.633,0.486,67.085,-190.881,0.131,1.877,14.376,1.392,1.625
326,35,F,42.943,41.871,0.536,78.052,-196.275,0.02,1.742,85.645,0.512,2.226
327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,35,F,14.356,13.934,0.211,65.981,-179.2,NA,1.4,NA,0.754,1.264
329,35,F,22.431,21.872,0.28,78.226,-187.562,NA,1.921,NA,0.774,1.123
330,35,F,27.948,27.208,0.37,73.505,-189.663,0.148,1.791,12.126,2.678,2.001
331,35,F,35.638,34.974,0.332,105.349,-197.89,0.093,1.128,12.189,1.95,1.381
332,35,F,33.206,32.639,0.283,115.3,-198.175,0.156,1.266,8.123,2.851,1.688
333,35,F,16.531,16.008,0.262,61.173,-180.05,0.151,1.213,8.045,1.716,1.42
334,35,F,25.28,24.424,0.428,57.068,-184.802,NA,1.408,NA,1.255,1.62
335,35,F,23.19,22.57,0.31,72.848,-187.026,0.116,1.208,10.43,1.71,1.418
336,35,F,30.637,29.852,0.392,76.072,-191.374,0.16,0.602,3.759,1.444,1.449
337,35,F,30.849,30.424,0.212,143.239,-200.15,0.106,1.341,12.626,1.544,1.258
338,35,F,39.292,38.306,0.493,77.758,-195.026,0.092,1.189,12.995,1.028,1.777
339,35,F,11.813,11.532,0.14,82.21,-179.614,NA,1.24,NA,1.648,1.51
340,35,F,51.081,49.8,0.64,77.768,-198.561,0.105,1.36,12.939,1.92,1.183
341,35,F,21.928,21.391,0.269,79.622,-187.501,0.214,0.926,4.317,1.704,1.915
342,35,F,41.571,40.587,0.492,82.517,-196.605,0.126,1.039,8.256,1.616,1.405
343,35,F,35.239,34.281,0.479,71.624,-192.425,0.106,1.666,15.775,2.465,2.671
344,35,F,25.681,24.942,0.369,67.552,-187.356,0.104,1.379,13.232,1.887,1.547
345,35,F,31.062,30.013,0.525,57.187,-187.605,0.094,1.049,11.18,1.686,1.556
346,35,F,22.866,22.108,0.379,58.32,-183.753,0.09,1.142,12.705,1.169,2.355
347,35,F,28.976,27.955,0.51,54.781,-186.07,0.061,1.033,16.87,1.077,1.42
348,35,F,20.613,20.041,0.286,70.073,-184.903,0.235,1.076,4.584,2.367,1.804
349,35,F,18.818,18.252,0.283,64.511,-182.531,0.012,1.288,110.527,3.063,1.542
350,35,F,36.167,34.736,0.715,48.552,-187.369,0.088,1.215,13.879,4.322,1.44
351,35,F,29.868,29.084,0.392,74.137,-190.676,NA,1.471,NA,2.506,1.351
352,35,F,32.898,31.956,0.471,67.879,-190.757,0.111,1.24,11.175,2.123,1.765
353,35,F,17.471,17.101,0.185,92.35,-186.484,0.014,1.441,106.043,3.141,1.132
354,35,F,29.363,28.043,0.66,42.476,-182.687,0.094,1.386,14.691,3.338,1.455
355,35,F,21.054,20.388,0.333,61.228,-183.318,0.022,1.314,58.83,2.396,1.572
356,35,F,31.221,30.39,0.416,73.139,-191.085,NA,1.326,NA,2.239,1.35
357,35,F,43.221,42.018,0.601,69.882,-194.834,0.023,1.451,63.767,3.422,1.884
358,35,F,24.904,24.258,0.323,75.057,-188.4,0.026,1.526,58.677,1.565,1.147
359,35,F,30.612,30.199,0.207,146.051,-200.311,0.044,1.603,36.595,2.298,1.753
360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,35,F,25.924,24.94,0.492,50.694,-183.489,0.029,1.451,50.363,3.338,1.124
362,35,F,30.456,29.422,0.517,56.902,-187.27,0.244,1.175,4.824,2.94,1.911
363,35,F,28.022,27.407,0.307,89.159,-192.361,0.023,1.065,45.669,3.116,1.343
364,35,F,19.273,18.704,0.285,65.65,-183.096,0.175,1.057,6.03,3.157,1.136
365,35,F,26.485,25.518,0.484,52.752,-184.333,0.121,1.06,8.784,1.996,1.646
