Mouse,Generation,Sex,NADH (pmol/ug),NADP (pmol/ug),NADPH (pmol/ug),NADP/NADPH,Liver Weight (g),GSH (nmol/mg),GSSG (nmol/mg),Total Glutathione (nmol/mg),GSH/GSSG,Eh (mV)
68,30,F,2.693,0.967,0.305,3.172,1.599,41.32,0.781,42.881,52.912,-190.863
69,30,F,1.839,0.873,0.73,1.196,1.323,21.343,0.249,21.841,85.793,-188.476
70,30,F,2.45,0.75,0.296,2.529,1.189,55.792,0.574,56.941,97.179,-203.091
71,30,F,3.322,0.808,0.405,1.993,0.884,35.096,0.481,36.058,72.977,-192.994
72,30,F,1.171,0.746,0.513,1.454,1.181,67.491,0.795,69.081,84.89,-203.833
73,30,F,1.401,1.031,0.348,2.964,1.097,57.641,1.291,60.222,44.661,-193.062
74,30,F,2.89,1.216,0.249,4.877,1.147,53.704,0.605,54.914,88.751,-201.355
75,30,F,2.856,1.064,0.21,5.067,1.423,56.075,0.879,57.833,63.797,-197.492
76,30,F,2.223,0.883,0.279,3.16,1.166,29.623,0.492,30.607,60.183,-188.116
77,30,F,2.414,0.836,0.169,4.962,1.131,42.421,0.522,43.466,81.246,-196.991
78,30,F,3.703,0.962,0.25,3.852,1.196,57.887,1.092,60.072,52.989,-195.422
79,30,F,2.946,0.818,0.26,3.143,1.422,70.137,1.925,73.986,36.444,-192.967
80,30,F,3.485,0.988,0.204,4.842,1.805,42.097,0.907,43.91,46.432,-189.355
81,30,F,1.677,0.971,0.269,3.603,2.915,59.944,1.061,62.065,56.516,-196.759
82,30,F,2.892,0.445,0.429,1.036,2.698,54.085,0.711,55.507,76.07,-199.375
83,30,F,2.212,0.43,0.093,4.633,1.104,29.302,0.639,30.58,45.826,-184.3
84,30,F,2.089,0.859,0.13,6.632,0.961,17.017,0.434,17.886,39.173,-174.872
85,30,F,1.626,0.767,0.21,3.653,1.136,41.923,0.562,43.046,74.651,-195.692
86,30,F,3.012,0.707,0.168,4.198,0.7,58.666,0.924,60.514,63.481,-198.034
87,30,F,1.817,0.879,0.105,8.351,1.51,58.6,0.877,60.354,66.814,-198.708
88,30,F,2.26,0.459,0.142,3.223,1.024,30.238,0.392,31.021,77.236,-191.751
89,30,F,0.901,1.51,0.146,10.334,1.918,48.668,1.203,51.074,40.466,-189.456
90,30,F,2.834,1.162,0.565,2.057,1.999,53.045,0.347,53.739,152.98,-208.52
91,30,F,2.13,1.313,0.345,3.808,1.962,38.296,1.072,40.439,35.74,-184.557
92,30,F,1.611,1.067,0.258,4.141,1.157,37.858,0.8,39.458,47.314,-188.18
93,30,F,1.939,0.642,0.323,1.984,2.141,60.273,1.323,62.92,45.549,-193.929
94,30,F,1.828,0.726,0.192,3.784,1.453,58.15,0.884,59.917,65.792,-198.396
95,30,F,2.623,0.901,0.302,2.982,1.098,75.541,1.027,77.595,73.539,-203.418
96,30,F,2,0.659,0.098,6.69,1.998,44.915,0.58,46.075,77.44,-197.114
97,30,F,2.497,0.671,0.159,4.218,1.357,55.868,1.752,59.371,31.894,-188.109
98,30,F,1.859,0.742,0.106,7.034,1.776,44.531,1.039,46.609,42.863,-189.035
99,32,M,3.52,0.422,0.18,2.343,1.651,40.565,0.498,41.56,81.486,-196.428
100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,32,M,4.412,0.412,0.178,2.316,2.083,61.663,0.763,63.188,80.865,-201.963
102,32,M,4.536,0.588,0.175,3.349,1.64,35.474,0.363,36.199,97.813,-197.081
103,32,M,3.898,0.51,0.189,2.692,1.849,32.535,0.344,33.222,94.704,-195.482
104,32,M,2.915,0.353,0.226,1.564,1.903,54.108,0.449,55.006,120.507,-205.574
105,32,M,4.275,0.33,0.1,3.3,1.739,48.125,0.354,48.832,136.008,-205.626
106,32,M,4,0.367,0.228,1.613,1.897,54.707,0.661,56.03,82.719,-200.657
107,32,M,3.739,0.29,0.128,2.257,2.466,43.249,0.626,44.501,69.123,-195.076
108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,32,M,4.141,0.255,0.198,1.287,1.903,82.234,0.538,83.31,152.937,-214.418
110,32,M,2.607,0.548,0.17,3.232,1.765,38.11,0.573,39.255,66.564,-192.865
111,32,M,3.012,0.219,0.245,0.895,1.765,70.993,0.723,72.44,98.148,-206.468
112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,32,M,2.902,0.313,0.149,2.099,2.686,61.031,0.57,62.171,107.04,-205.6
114,32,M,3.21,0.277,0.218,1.266,1.687,56.986,1.114,59.213,51.173,-194.741
115,32,M,3.084,0.422,0.15,2.819,1.419,34.88,0.358,35.597,97.347,-196.79
116,32,M,3.01,0.356,0.07,5.087,1.95,43.797,1.229,46.255,35.629,-186.322
117,32,M,2.785,0.343,0.087,3.942,3.032,41.446,0.696,42.838,59.58,-192.502
118,32,M,3.362,0.733,0.35,2.095,1.461,54.411,0.756,55.922,71.988,-198.713
119,32,M,2.881,0.52,0.242,2.149,2.51,88.263,1.658,91.58,53.226,-201.161
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,32,M,4.979,0.78,0.344,2.269,1.471,39.004,0.359,39.721,108.685,-199.777
122,32,M,2.553,0.885,0.139,6.352,1.715,58.994,0.916,60.826,64.401,-198.303
123,32,M,3.338,0.629,0.215,2.932,1.712,65.42,0.774,66.967,84.537,-203.357
124,32,M,2.519,1.028,0.277,3.711,1.898,62.07,0.983,64.036,63.157,-198.724
125,32,M,3.789,0.85,0.457,1.858,1.499,56.214,0.584,57.382,96.244,-203.062
126,32,M,3.302,0.933,0.161,5.8,1.947,88.607,1.457,91.521,60.803,-203.005
