Mouse,Generation,Sex,NADH (pmol/ug),NADP (pmol/ug),NADPH (pmol/ug),NADP/NADPH,Liver Weight (g),GSH (nmol/mg),GSSG (nmol/mg),Total Glutathione (nmol/mg),GSH/GSSG,Eh (mV)
279,35,M,2.006,0.89,0.302,2.945,2.103,29.96,0.348,30.657,86.033,-193.079
280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,35,M,1.028,0.864,0.229,3.766,1.747,26.696,0.314,27.325,84.942,-191.355
282,35,M,2.856,0.534,0.253,2.112,1.869,24.812,0.416,25.643,59.712,-185.624
283,35,M,3.926,0.693,0.52,1.332,2.267,34.988,0.767,36.522,45.624,-186.628
284,35,M,3.249,0.715,0.224,3.19,1.727,27.972,0.494,28.96,56.648,-186.529
285,35,M,2.123,0.543,0.237,2.29,2.517,59.3,0.833,60.965,71.203,-199.724
286,35,M,3.118,0.727,0.223,3.263,1.704,25.433,0.451,26.335,56.39,-185.187
287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,35,M,1.472,0.574,0.206,2.788,2.355,23.424,0.44,24.305,53.211,-183.298
289,35,M,5.23,0.502,0.481,1.043,3.113,37.092,0.375,37.842,98.964,-197.839
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,35,M,2.278,1.081,0.368,2.94,3.713,29.498,0.565,30.629,52.165,-186.134
292,35,M,2.851,0.444,0.233,1.909,1.917,20.62,0.46,21.54,44.824,-179.272
293,35,M,2.383,0.573,0.327,1.751,1.17,41.094,0.693,42.479,59.323,-192.329
294,35,M,4.598,0.433,0.558,0.777,1.43,32.322,0.436,33.193,74.201,-192.109
295,35,M,3.301,0.445,0.277,1.603,2.679,19.883,0.255,20.394,77.857,-186.215
296,35,F,3.11,1.793,0.021,85.968,1.391,43.12,0.683,44.487,63.12,-193.812
297,35,F,3.482,1.401,0.262,5.348,1.921,33.782,0.435,34.651,77.717,-193.327
298,35,F,1.567,1.893,NA,NA,1.108,20.079,0.213,20.505,94.38,-188.938
299,35,F,3.397,1.173,0.076,15.389,1.31,28.855,0.34,29.535,84.883,-192.392
300,35,F,1.876,0.997,0.141,7.058,1.1,27.106,0.212,27.53,128.107,-197.092
301,35,F,1.769,1.438,0.213,6.765,1.651,35.751,0.482,36.714,74.213,-193.469
302,35,F,6.717,1.729,0.203,8.513,1.509,16.37,0.276,16.922,59.304,-179.933
303,35,F,2.325,1.117,0.343,3.257,1.325,28.888,0.361,29.61,79.956,-191.602
304,35,F,2.512,1.442,0.1,14.366,1.341,22.066,0.295,22.656,74.809,-187.08
305,35,F,1.84,1.256,0.164,7.658,1.425,20.325,0.31,20.945,65.554,-184.195
306,35,F,2.114,1.021,0.018,56.245,1.369,18.048,0.281,18.61,64.198,-182.314
307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,35,F,2.105,2.424,NA,NA,1.589,40.335,0.477,41.289,84.581,-196.854
309,35,F,1.963,1.677,NA,NA,1.155,19.84,0.287,20.413,69.23,-184.605
310,35,F,2.791,2.066,NA,NA,0.901,25.485,0.326,26.137,78.23,-189.621
311,35,F,3.663,1.976,0.045,43.548,1.3,21.751,0.335,22.422,64.872,-184.968
312,35,F,2.753,1.728,NA,NA,1.306,15.925,0.268,16.462,59.317,-179.565
313,35,F,2.091,1.735,0.011,161.363,1.688,30.725,0.501,31.726,61.357,-188.868
314,35,F,0.79,1.422,0.034,42.078,1.263,17.862,0.432,18.725,41.368,-176.258
315,35,F,2.431,1.625,0.04,41.126,1.427,24.73,0.299,25.328,82.645,-189.955
316,35,F,1.903,1.93,0.095,20.374,1.634,35.999,0.601,37.202,59.862,-190.669
317,35,F,1.86,2.261,0.027,83.817,1.881,22.289,0.432,23.154,51.561,-182.205
318,35,F,1.613,2.007,0.016,126.88,1.645,42.059,0.582,43.224,72.233,-195.292
319,35,F,0.304,1.612,0.034,46.997,2.112,33.31,0.42,34.151,79.254,-193.401
320,35,F,1.586,1.744,0.043,40.932,1.272,25.803,0.216,26.235,119.406,-195.481
321,35,F,2.231,1.518,0.049,31.273,2.361,36.225,0.524,37.272,69.173,-192.699
322,35,F,2.807,1.298,0.036,36.534,1.676,23.31,0.424,24.158,54.968,-183.669
323,35,F,1.554,1.519,0.016,96.059,1.356,20.95,0.247,21.443,84.843,-188.075
324,35,F,1.266,1.856,0.023,80.082,1.144,38.992,0.455,39.901,85.769,-196.585
325,35,F,1.392,1.877,0.131,14.376,1.625,32.633,0.486,33.606,67.085,-190.881
326,35,F,0.512,1.742,0.02,85.645,2.226,41.871,0.536,42.943,78.052,-196.275
327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,35,F,0.754,1.4,NA,NA,1.264,13.934,0.211,14.356,65.981,-179.2
329,35,F,0.774,1.921,NA,NA,1.123,21.872,0.28,22.431,78.226,-187.562
330,35,F,2.678,1.791,0.148,12.126,2.001,27.208,0.37,27.948,73.505,-189.663
331,35,F,1.95,1.128,0.093,12.189,1.381,34.974,0.332,35.638,105.349,-197.89
332,35,F,2.851,1.266,0.156,8.123,1.688,32.639,0.283,33.206,115.3,-198.175
333,35,F,1.716,1.213,0.151,8.045,1.42,16.008,0.262,16.531,61.173,-180.05
334,35,F,1.255,1.408,NA,NA,1.62,24.424,0.428,25.28,57.068,-184.802
335,35,F,1.71,1.208,0.116,10.43,1.418,22.57,0.31,23.19,72.848,-187.026
336,35,F,1.444,0.602,0.16,3.759,1.449,29.852,0.392,30.637,76.072,-191.374
337,35,F,1.544,1.341,0.106,12.626,1.258,30.424,0.212,30.849,143.239,-200.15
338,35,F,1.028,1.189,0.092,12.995,1.777,38.306,0.493,39.292,77.758,-195.026
339,35,F,1.648,1.24,NA,NA,1.51,11.532,0.14,11.813,82.21,-179.614
340,35,F,1.92,1.36,0.105,12.939,1.183,49.8,0.64,51.081,77.768,-198.561
341,35,F,1.704,0.926,0.214,4.317,1.915,21.391,0.269,21.928,79.622,-187.501
342,35,F,1.616,1.039,0.126,8.256,1.405,40.587,0.492,41.571,82.517,-196.605
343,35,F,2.465,1.666,0.106,15.775,2.671,34.281,0.479,35.239,71.624,-192.425
344,35,F,1.887,1.379,0.104,13.232,1.547,24.942,0.369,25.681,67.552,-187.356
345,35,F,1.686,1.049,0.094,11.18,1.556,30.013,0.525,31.062,57.187,-187.605
346,35,F,1.169,1.142,0.09,12.705,2.355,22.108,0.379,22.866,58.32,-183.753
347,35,F,1.077,1.033,0.061,16.87,1.42,27.955,0.51,28.976,54.781,-186.07
348,35,F,2.367,1.076,0.235,4.584,1.804,20.041,0.286,20.613,70.073,-184.903
349,35,F,3.063,1.288,0.012,110.527,1.542,18.252,0.283,18.818,64.511,-182.531
350,35,F,4.322,1.215,0.088,13.879,1.44,34.736,0.715,36.167,48.552,-187.369
351,35,F,2.506,1.471,NA,NA,1.351,29.084,0.392,29.868,74.137,-190.676
352,35,F,2.123,1.24,0.111,11.175,1.765,31.956,0.471,32.898,67.879,-190.757
353,35,F,3.141,1.441,0.014,106.043,1.132,17.101,0.185,17.471,92.35,-186.484
354,35,F,3.338,1.386,0.094,14.691,1.455,28.043,0.66,29.363,42.476,-182.687
355,35,F,2.396,1.314,0.022,58.83,1.572,20.388,0.333,21.054,61.228,-183.318
356,35,F,2.239,1.326,NA,NA,1.35,30.39,0.416,31.221,73.139,-191.085
357,35,F,3.422,1.451,0.023,63.767,1.884,42.018,0.601,43.221,69.882,-194.834
358,35,F,1.565,1.526,0.026,58.677,1.147,24.258,0.323,24.904,75.057,-188.4
359,35,F,2.298,1.603,0.044,36.595,1.753,30.199,0.207,30.612,146.051,-200.311
360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,35,F,3.338,1.451,0.029,50.363,1.124,24.94,0.492,25.924,50.694,-183.489
362,35,F,2.94,1.175,0.244,4.824,1.911,29.422,0.517,30.456,56.902,-187.27
363,35,F,3.116,1.065,0.023,45.669,1.343,27.407,0.307,28.022,89.159,-192.361
364,35,F,3.157,1.057,0.175,6.03,1.136,18.704,0.285,19.273,65.65,-183.096
365,35,F,1.996,1.06,0.121,8.784,1.646,25.518,0.484,26.485,52.752,-184.333
