Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic Total Glutathione (nmol/mg),Hepatic GSH (nmol/mg),Hepatic GSSG (nmol/mg),Hepatic GSH/GSSG,Hepatic Eh (mV),Hepatic NADPH (pmol/ug),Hepatic NADP (pmol/ug),Hepatic NADP/NADPH,Hepatic NADH (pmol/ug),BUN (mg/dL)
202,32,F,17.099,16.718,0.19,87.965,-185.525,61.968,60.38,0.794,76.028,-200.85,0.141,0.632,4.479,6.247,25
203,32,F,5.069,4.744,0.163,29.19,-153.714,36.928,36.232,0.348,104.078,-198.202,0.089,0.982,10.998,4.983,24
204,32,F,11.997,11.35,0.323,35.092,-167.938,57.724,55.042,1.341,41.043,-191.304,0.145,0.725,5.006,3.056,22
205,32,F,19.79,19.342,0.224,86.46,-187.255,37.233,36.084,0.575,62.786,-191.343,0.082,0.446,5.424,3.215,25
206,32,F,19.339,18.534,0.402,46.088,-178.21,54.884,53.802,0.541,99.446,-202.912,0.019,0.642,33.067,4.171,24
207,32,F,21.535,20.773,0.381,54.512,-182.006,32.618,31.572,0.523,60.35,-189.011,0.131,0.401,3.053,5.633,26
208,32,F,24.322,23.483,0.42,55.928,-184.002,56.486,55.098,0.694,79.4,-200.202,0.071,0.576,8.079,5.016,28
209,32,F,16.856,16.391,0.233,70.392,-182.258,64.977,64.002,0.488,131.285,-208.989,0.078,0.929,11.898,3.163,20
210,32,F,25.7,25.407,0.146,173.517,-200.305,56.898,55.141,0.878,62.782,-197.051,0.031,1.336,42.501,3.04,48
211,32,F,26.515,25.851,0.332,77.882,-189.753,98.301,96.583,0.859,112.411,-212.439,0.029,1.234,42.094,2.951,27
212,32,F,23.354,22.468,0.443,50.752,-182.1,63.838,61.955,0.942,65.78,-199.247,0.073,1.073,14.606,3.995,17
213,32,F,20.292,19.862,0.215,92.334,-188.496,69.329,67.464,0.933,72.347,-201.675,0.301,1.113,3.694,4.639,17
214,32,F,6.16,5.602,0.279,20.077,-150.914,40.451,39.903,0.274,145.509,-204.013,0.069,1.062,15.33,3.769,22
215,32,F,14.846,14.15,0.348,40.651,-172.886,61.523,59.79,0.866,69.012,-199.414,0.081,0.82,10.089,2.659,24
216,32,F,8.917,8.174,0.372,22.001,-157.232,59.272,57.831,0.72,80.296,-201.004,0.151,1.005,6.643,3.807,24
217,32,F,16.771,16.343,0.214,76.371,-183.316,44.637,43.658,0.49,89.139,-198.626,0.202,0.999,4.955,4.582,26
218,32,F,23.903,22.969,0.467,49.184,-181.974,45.301,44.523,0.389,114.409,-202.25,0.068,1.051,15.395,3.643,22
219,32,F,25.756,24.987,0.384,65.032,-186.868,54.951,53.59,0.681,78.745,-199.716,0.202,0.997,4.943,3.591,27
220,32,F,21.171,20.556,0.307,66.873,-184.616,50.382,49.146,0.618,79.498,-198.679,0.097,0.953,9.872,4.529,27
221,35,M,25.209,24.639,0.285,86.513,-190.522,23.301,22.848,0.226,101.011,-191.592,0.254,0.928,3.655,1.365,NA
222,35,M,15.791,15.234,0.279,54.692,-177.875,34.498,33.624,0.437,76.926,-193.126,0.365,1.092,2.991,2.388,NA
223,35,M,19.616,18.939,0.338,55.997,-181.123,35.175,34.073,0.551,61.836,-190.365,0.405,1.048,2.588,1.872,26
224,35,M,8.155,7.836,0.159,49.154,-167.487,56.621,55.034,0.794,69.333,-198.361,0.34,1.243,3.661,3.269,NA
225,35,M,23.397,22.809,0.294,77.545,-188.009,42.575,41.679,0.448,93.065,-198.582,0.111,1.221,10.987,2.223,32
226,35,M,15.488,14.538,0.475,30.584,-169.42,30.343,29.607,0.368,80.415,-192.011,0.432,1.034,2.395,1.853,NA
227,35,M,10.309,9.841,0.234,41.983,-168.431,32.581,31.405,0.588,53.406,-187.294,0.508,0.92,1.811,3.367,27
228,35,M,9.692,9.459,0.117,81.134,-176.768,53.169,51.874,0.648,80.106,-199.509,0.241,0.836,3.473,2.006,36
229,35,M,22.053,21.644,0.204,106.05,-191.518,20.651,19.938,0.357,55.922,-181.797,0.262,0.936,3.574,0.983,23
230,35,M,19.408,18.153,0.628,28.927,-171.66,47.851,46.674,0.588,79.32,-197.954,0.258,1.28,4.965,1.542,28
231,35,M,22.877,22.293,0.292,76.42,-187.505,29.769,29.083,0.343,84.761,-192.479,0.358,0.796,2.222,1.459,26
232,35,M,13.883,13.133,0.375,35.005,-169.869,22.901,22.039,0.431,51.102,-181.932,0.177,1.061,5.986,2.231,29
233,35,M,12.901,12.473,0.214,58.264,-176.034,49.581,48.495,0.543,89.308,-200.066,0.22,0.946,4.295,2.062,36
234,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,35,M,14.47,13.932,0.269,51.841,-175.951,47.235,45.903,0.666,68.935,-195.841,0.234,0.836,3.574,1.64,27
236,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,35,M,9.522,9.162,0.18,50.866,-170.053,48.091,46.832,0.63,74.378,-197.133,0.206,1.043,5.069,1.055,24
238,35,M,32.095,31.181,0.457,68.239,-190.498,28.954,28.389,0.283,100.396,-194.433,0.189,1.334,7.049,0.783,25
239,35,M,22.281,21.815,0.233,93.681,-189.955,41.066,40.083,0.491,81.582,-196.283,0.088,0.881,9.967,1.046,23
240,35,M,9.614,9.206,0.204,45.192,-168.525,43.959,42.521,0.719,59.148,-192.749,0.109,1.163,10.641,1.245,24
241,35,M,15.382,14.228,0.577,24.668,-166.236,33.876,32.713,0.581,56.269,-188.547,0.44,0.957,2.176,0.658,27
242,35,M,17.292,16.818,0.237,70.883,-182.698,13.784,13.477,0.153,87.819,-182.601,0.401,0.822,2.053,1.416,15
243,35,M,11.433,11.219,0.107,104.487,-182.471,24.029,23.411,0.309,75.797,-188.053,0.288,0.61,2.12,1.547,22
244,35,M,12.691,12.041,0.325,37.034,-169.459,27.557,26.854,0.352,76.342,-189.997,0.097,0.932,9.603,1.428,18
245,35,M,11.85,11.264,0.293,38.481,-169.077,43.974,42.735,0.619,68.999,-194.89,0.055,1.072,19.564,1.368,24
246,35,M,21.332,20.634,0.349,59.129,-183.01,32.146,31.367,0.389,80.531,-192.807,0.139,1.001,7.175,1.594,27
247,35,M,15.34,14.919,0.21,70.936,-181.095,35.261,34.295,0.483,71.009,-192.315,0.294,1.243,4.236,0.959,24
248,35,M,11.148,10.786,0.181,59.696,-174.405,38.327,37.326,0.5,74.616,-194.122,0.125,1.518,12.182,1.059,34
249,35,M,19.861,19.243,0.309,62.301,-182.774,42.662,41.394,0.634,65.295,-193.718,0.25,1.523,6.081,1.429,21
250,35,M,7.839,7.297,0.271,26.954,-158.439,44.119,42.903,0.608,70.547,-195.242,0.108,1.59,14.752,0.831,16
251,35,M,7.642,7.384,0.129,57.156,-168.717,40.116,38.872,0.622,62.492,-192.281,0.162,1.169,7.194,3.241,22
252,35,M,12.726,12.049,0.338,35.621,-168.945,37.345,36.072,0.636,56.672,-189.959,0.026,0.895,34.344,1.401,25
253,35,M,17.577,16.832,0.372,45.209,-176.654,30.973,30.2,0.386,78.163,-191.895,0.226,1.241,5.48,2.584,22
254,35,M,23.709,22.891,0.409,56.022,-183.681,19.02,18.345,0.338,54.343,-180.29,0.222,1.42,6.412,0.995,24
255,35,M,9.763,9.579,0.092,104.096,-180.294,21.153,20.653,0.25,82.664,-187.533,0.228,0.471,2.07,3.816,23
256,35,M,7.875,7.26,0.308,23.601,-156.581,11.402,10.775,0.314,34.344,-166.948,0.137,1.603,11.664,0.293,21
257,35,M,12.879,12.05,0.415,29.07,-166.209,39.86,38.161,0.85,44.917,-187.587,0.473,0.506,1.071,1.219,29
258,35,M,11.145,10.789,0.178,60.718,-174.638,42.982,41.641,0.671,62.068,-193.116,0.415,0.731,1.759,3.164,18
259,35,M,13.153,12.438,0.357,34.819,-169.066,24.258,23.83,0.214,111.251,-193.458,0.388,0.546,1.407,3.99,21
260,35,M,15.684,15.253,0.215,70.815,-181.37,37.227,36.272,0.477,75.995,-193.983,0.402,0.731,1.821,2.902,21
261,35,M,13.138,12.405,0.366,33.862,-168.655,63.291,60.02,1.636,36.694,-190.961,0.282,0.881,3.127,1.302,27
262,35,M,14.647,13.76,0.443,31.036,-168.877,35.833,34.195,0.819,41.761,-185.129,0.267,0.732,2.746,2.758,16
263,35,M,18.807,18.291,0.258,70.921,-183.835,39.415,38.473,0.471,81.72,-195.754,0.295,0.6,2.037,2.064,30
264,35,M,11.097,10.745,0.176,61.047,-174.655,56.155,55.099,0.528,104.411,-203.889,0.152,0.713,4.691,2.544,NA
265,35,M,18.552,18.126,0.213,85.025,-186.155,44.404,43.37,0.517,83.88,-197.718,0.419,0.675,1.61,2.626,18
266,35,M,8.757,8.011,0.373,21.481,-156.639,46.404,44.1,1.152,38.288,-187.385,0.231,1.044,4.511,1.869,24
267,35,M,13.033,11.972,0.531,22.556,-162.706,22.826,22.193,0.317,70.117,-186.285,0.379,0.712,1.878,2.874,23
268,35,M,12.485,12.246,0.119,102.708,-183.42,23.139,22.644,0.248,91.449,-190.132,0.242,0.797,3.292,1.429,14
269,35,M,16.655,16.162,0.247,65.552,-181.11,48.371,47.366,0.502,94.272,-200.477,0.35,0.68,1.944,1.507,20
270,35,M,11.175,10.59,0.292,36.208,-167.427,24.855,24.326,0.265,91.899,-191.163,0.412,0.752,1.828,2.233,22
271,35,M,21.801,21.234,0.284,74.815,-186.563,17.339,16.901,0.219,77.276,-183.927,0.24,0.843,3.508,2.344,22
272,35,M,11.607,10.853,0.377,28.773,-164.662,28.099,27.457,0.321,85.449,-191.813,0.295,0.822,2.79,3.243,23
273,35,M,10.969,10.329,0.32,32.282,-165.546,36.174,35.021,0.577,60.722,-190.49,0.286,1.192,4.166,2.835,21
274,35,M,28.621,27.355,0.633,43.229,-182.589,47.789,46.844,0.473,99.106,-201.001,0.144,0.749,5.188,1.517,25
275,35,M,12.223,11.845,0.189,62.671,-176.321,31.081,30.586,0.248,123.569,-198.232,0.454,1.135,2.497,2.045,28
276,35,M,24.198,23.697,0.25,94.784,-191.227,31.345,30.411,0.467,65.165,-189.54,0.236,0.81,3.435,1.967,23
277,35,M,12.993,11.952,0.52,22.974,-162.931,47.295,45.681,0.807,56.606,-193.122,0.367,0.537,1.463,2.919,23
278,35,M,8.076,7.677,0.2,38.477,-163.914,49.825,48.52,0.652,74.381,-197.611,0.573,0.491,0.857,1.83,24
279,35,M,29.359,27.077,1.141,23.734,-174.379,30.657,29.96,0.348,86.033,-193.079,0.302,0.89,2.945,2.006,20
280,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,35,M,18.751,18.239,0.256,71.305,-183.87,27.325,26.696,0.314,84.942,-191.355,0.229,0.864,3.766,1.028,23
282,35,M,18.909,18.393,0.258,71.234,-183.969,25.643,24.812,0.416,59.712,-185.624,0.253,0.534,2.112,2.856,17
283,35,M,26.939,25.449,0.745,34.149,-178.442,36.522,34.988,0.767,45.624,-186.628,0.52,0.693,1.332,3.926,25
284,35,M,6.729,6.234,0.248,25.188,-155.407,28.96,27.972,0.494,56.648,-186.529,0.224,0.715,3.19,3.249,28
285,35,M,8.527,8.241,0.143,57.655,-170.313,60.965,59.3,0.833,71.203,-199.724,0.237,0.543,2.29,2.123,17
286,35,M,14.153,13.603,0.275,49.381,-174.975,26.335,25.433,0.451,56.39,-185.187,0.223,0.727,3.263,3.118,21
287,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,35,M,14.612,14.017,0.298,47.108,-174.745,24.305,23.424,0.44,53.211,-183.298,0.206,0.574,2.788,1.472,29
289,35,M,24.387,24.11,0.139,173.867,-199.627,37.842,37.092,0.375,98.964,-197.839,0.481,0.502,1.043,5.23,17
290,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,35,M,7.571,7.123,0.224,31.758,-160.322,30.629,29.498,0.565,52.165,-186.134,0.368,1.081,2.94,2.278,26
292,35,M,10.005,9.574,0.215,44.471,-168.837,21.54,20.62,0.46,44.824,-179.272,0.233,0.444,1.909,2.851,20
293,35,M,11.585,11.001,0.292,37.673,-168.474,42.479,41.094,0.693,59.323,-192.329,0.327,0.573,1.751,2.383,18
294,35,M,9.136,8.716,0.21,41.544,-166.656,33.193,32.322,0.436,74.201,-192.109,0.558,0.433,0.777,4.598,19
295,35,M,18.539,18.191,0.174,104.524,-188.983,20.394,19.883,0.255,77.857,-186.215,0.277,0.445,1.603,3.301,27
296,35,F,10.941,9.159,0.891,10.28,-148.522,44.487,43.12,0.683,63.12,-193.812,0.021,1.793,85.968,3.11,22
297,35,F,11.474,11.032,0.221,50.007,-172.324,34.651,33.782,0.435,77.717,-193.327,0.262,1.401,5.348,3.482,22
298,35,F,10.412,9.826,0.293,33.505,-165.373,20.505,20.079,0.213,94.38,-188.938,NA,1.893,NA,1.567,24
299,35,F,32.619,31.609,0.505,62.579,-189.515,29.535,28.855,0.34,84.883,-192.392,0.076,1.173,15.389,3.397,21
300,35,F,33.053,32.061,0.496,64.609,-190.136,27.53,27.106,0.212,128.107,-197.092,0.141,0.997,7.058,1.876,24
301,35,F,11.011,9.767,0.622,15.692,-155.08,36.714,35.751,0.482,74.213,-193.469,0.213,1.438,6.765,1.769,26
302,35,F,7.894,7.24,0.327,22.134,-155.681,16.922,16.37,0.276,59.304,-179.933,0.203,1.729,8.513,6.717,28
303,35,F,21.61,20.619,0.495,41.616,-178.272,29.61,28.888,0.361,79.956,-191.602,0.343,1.117,3.257,2.325,21
304,35,F,12.901,12.05,0.425,28.336,-165.866,22.656,22.066,0.295,74.809,-187.08,0.1,1.442,14.366,2.512,25
305,35,F,20.493,20.095,0.199,100.84,-189.84,20.945,20.325,0.31,65.554,-184.195,0.164,1.256,7.658,1.84,20
306,35,F,21.709,21.178,0.265,79.784,-187.394,18.61,18.048,0.281,64.198,-182.314,0.018,1.021,56.245,2.114,29
307,35,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,35,F,7.744,7.363,0.19,38.677,-163.421,41.289,40.335,0.477,84.581,-196.854,NA,2.424,NA,2.105,20
309,35,F,14.735,14.089,0.323,43.615,-173.776,20.413,19.84,0.287,69.23,-184.605,NA,1.677,NA,1.963,24
310,35,F,13.053,12.621,0.216,58.424,-176.23,26.137,25.485,0.326,78.23,-189.621,NA,2.066,NA,2.791,21
311,35,F,12.45,11.954,0.248,48.169,-172.901,22.422,21.751,0.335,64.872,-184.968,0.045,1.976,43.548,3.663,22
312,35,F,15.116,14.686,0.215,68.261,-180.365,16.462,15.925,0.268,59.317,-179.565,NA,1.728,NA,2.753,23
313,35,F,12.399,10.974,0.713,15.402,-156.398,31.726,30.725,0.501,61.357,-188.868,0.011,1.735,161.363,2.091,29
314,35,F,23.933,21.074,1.429,14.743,-164.594,18.725,17.862,0.432,41.368,-176.258,0.034,1.422,42.078,0.79,22
315,35,F,15.541,14.813,0.364,40.7,-173.52,25.328,24.73,0.299,82.645,-189.955,0.04,1.625,41.126,2.431,23
316,35,F,17.374,16.732,0.321,52.047,-178.47,37.202,35.999,0.601,59.862,-190.669,0.095,1.93,20.374,1.903,22
317,35,F,24.648,23.952,0.348,68.849,-187.066,23.154,22.289,0.432,51.561,-182.205,0.027,2.261,83.817,1.86,21
318,35,F,10.416,9.503,0.456,20.817,-158.517,43.224,42.059,0.582,72.233,-195.292,0.016,2.007,126.88,1.613,22
319,35,F,9.052,8.516,0.268,31.769,-162.732,34.151,33.31,0.42,79.254,-193.401,0.034,1.612,46.997,0.304,27
320,35,F,12.917,12.362,0.277,44.564,-172.305,26.235,25.803,0.216,119.406,-195.481,0.043,1.744,40.932,1.586,22
321,35,F,16.845,16.129,0.358,45.091,-176.045,37.272,36.225,0.524,69.173,-192.699,0.049,1.518,31.273,2.231,27
322,35,F,16.724,15.643,0.54,28.952,-169.668,24.158,23.31,0.424,54.968,-183.669,0.036,1.298,36.534,2.807,24
323,35,F,21.118,20.753,0.182,113.804,-191.903,21.443,20.95,0.247,84.843,-188.075,0.016,1.519,96.059,1.554,20
324,35,F,8.671,8.301,0.185,44.879,-167.038,39.901,38.992,0.455,85.769,-196.585,0.023,1.856,80.082,1.266,24
325,35,F,11.21,10.657,0.277,38.531,-168.349,33.606,32.633,0.486,67.085,-190.881,0.131,1.877,14.376,1.392,26
326,35,F,18.223,17.722,0.25,70.834,-183.393,42.943,41.871,0.536,78.052,-196.275,0.02,1.742,85.645,0.512,20
327,35,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,35,F,17.958,17.42,0.269,64.697,-181.941,14.356,13.934,0.211,65.981,-179.2,NA,1.4,NA,0.754,24
329,35,F,8.533,7.967,0.283,28.193,-160.227,22.431,21.872,0.28,78.226,-187.562,NA,1.921,NA,0.774,17
330,35,F,8.539,8.061,0.239,33.709,-162.789,27.948,27.208,0.37,73.505,-189.663,0.148,1.791,12.126,2.678,20
331,35,F,8.402,7.469,0.466,16.019,-151.747,35.638,34.974,0.332,105.349,-197.89,0.093,1.128,12.189,1.95,17
332,35,F,13.683,13.19,0.247,53.474,-175.632,33.206,32.639,0.283,115.3,-198.175,0.156,1.266,8.123,2.851,22
333,35,F,38.616,35.949,1.333,26.959,-179.91,16.531,16.008,0.262,61.173,-180.05,0.151,1.213,8.045,1.716,16
334,35,F,10.989,9.831,0.579,16.994,-156.242,25.28,24.424,0.428,57.068,-184.802,NA,1.408,NA,1.255,19
335,35,F,6.974,6.71,0.132,50.81,-165.844,23.19,22.57,0.31,72.848,-187.026,0.116,1.208,10.43,1.71,20
336,35,F,19.011,18.081,0.465,38.861,-175.58,30.637,29.852,0.392,76.072,-191.374,0.16,0.602,3.759,1.444,20
337,35,F,13.89,13.254,0.318,41.678,-172.342,30.849,30.424,0.212,143.239,-200.15,0.106,1.341,12.626,1.544,25
338,35,F,24.072,23.462,0.305,76.897,-188.277,39.292,38.306,0.493,77.758,-195.026,0.092,1.189,12.995,1.028,27
339,35,F,24.566,23.356,0.605,38.599,-178.936,11.813,11.532,0.14,82.21,-179.614,NA,1.24,NA,1.648,26
340,35,F,10.143,9.727,0.208,46.814,-169.741,51.081,49.8,0.64,77.768,-198.561,0.105,1.36,12.939,1.92,24
341,35,F,11.092,10.739,0.176,60.848,-174.603,21.928,21.391,0.269,79.622,-187.501,0.214,0.926,4.317,1.704,33
342,35,F,8.438,7.986,0.226,35.354,-163.305,41.571,40.587,0.492,82.517,-196.605,0.126,1.039,8.256,1.616,27
343,35,F,10.655,9.913,0.371,26.744,-162.459,35.239,34.281,0.479,71.624,-192.425,0.106,1.666,15.775,2.465,18
344,35,F,13.529,13.082,0.223,58.574,-176.748,25.681,24.942,0.369,67.552,-187.356,0.104,1.379,13.232,1.887,21
345,35,F,8.772,8.149,0.312,26.157,-159.521,31.062,30.013,0.525,57.187,-187.605,0.094,1.049,11.18,1.686,21
346,35,F,13.667,13.106,0.281,46.648,-173.707,22.866,22.108,0.379,58.32,-183.753,0.09,1.142,12.705,1.169,25
347,35,F,13.903,13.356,0.274,48.795,-174.568,28.976,27.955,0.51,54.781,-186.07,0.061,1.033,16.87,1.077,20
348,35,F,19.481,17.655,0.913,19.336,-165.862,20.613,20.041,0.286,70.073,-184.903,0.235,1.076,4.584,2.367,20
349,35,F,19.148,18.104,0.522,34.701,-174.074,18.818,18.252,0.283,64.511,-182.531,0.012,1.288,110.527,3.063,24
350,35,F,14.006,12.515,0.745,16.79,-159.329,36.167,34.736,0.715,48.552,-187.369,0.088,1.215,13.879,4.322,22
351,35,F,9.985,9.727,0.129,75.322,-176.144,29.868,29.084,0.392,74.137,-190.676,NA,1.471,NA,2.506,18
352,35,F,14.905,14.26,0.322,44.271,-174.14,32.898,31.956,0.471,67.879,-190.757,0.111,1.24,11.175,2.123,21
353,35,F,11.942,11.316,0.313,36.174,-168.307,17.471,17.101,0.185,92.35,-186.484,0.014,1.441,106.043,3.141,22
354,35,F,15.006,14.242,0.382,37.29,-171.812,29.363,28.043,0.66,42.476,-182.687,0.094,1.386,14.691,3.338,22
355,35,F,16.573,15.718,0.427,36.782,-172.955,21.054,20.388,0.333,61.228,-183.318,0.022,1.314,58.83,2.396,21
356,35,F,10.177,9.549,0.314,30.372,-163.667,31.221,30.39,0.416,73.139,-191.085,NA,1.326,NA,2.239,21
357,35,F,8.443,8.021,0.211,38.01,-164.34,43.221,42.018,0.601,69.882,-194.834,0.023,1.451,63.767,3.422,24
358,35,F,20.432,18.921,0.755,25.046,-170.278,24.904,24.258,0.323,75.057,-188.4,0.026,1.526,58.677,1.565,19
359,35,F,8.659,8.214,0.223,36.872,-164.25,30.612,30.199,0.207,146.051,-200.311,0.044,1.603,36.595,2.298,25
360,35,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,35,F,10.067,9.602,0.232,41.318,-167.885,25.924,24.94,0.492,50.694,-183.489,0.029,1.451,50.363,3.338,26
362,35,F,6.613,6.047,0.283,21.37,-152.784,30.456,29.422,0.517,56.902,-187.27,0.244,1.175,4.824,2.94,20
363,35,F,14.89,13.952,0.469,29.751,-168.494,28.022,27.407,0.307,89.159,-192.361,0.023,1.065,45.669,3.116,18
364,35,F,6.264,5.848,0.208,28.173,-156.055,19.273,18.704,0.285,65.65,-183.096,0.175,1.057,6.03,3.157,25
365,35,F,8.419,7.547,0.436,17.316,-152.935,26.485,25.518,0.484,52.752,-184.333,0.121,1.06,8.784,1.996,19
