Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic Total Glutathione (nmol/mg),Hepatic GSH (nmol/mg),Hepatic GSSG (nmol/mg),Hepatic GSH/GSSG,Hepatic Eh (mV),Hepatic NADPH (pmol/ug),Hepatic NADP (pmol/ug),Hepatic NADP/NADPH,Hepatic NADH (pmol/ug),BUN (mg/dL)
47,30,M,22.989,22.389,0.3,74.727,-187.261,60.774,58.81,0.982,59.864,-197.277,0.401,0.435,1.087,1.407,35
48,30,M,32.243,30.58,0.832,36.765,-181.909,70.053,67.772,1.141,59.407,-199.083,0.354,0.429,1.213,1.554,32
49,30,F,20.457,19.867,0.295,67.405,-184.264,66.603,65.096,0.754,86.383,-203.581,0.151,0.794,5.245,1.581,29
50,30,F,40.331,37.152,1.589,23.374,-178.432,69.083,66.203,1.44,45.984,-195.32,0.182,0.736,4.05,1.968,19
51,30,F,34.781,32.556,1.113,29.262,-179.679,38.697,38.048,0.325,117.133,-200.451,0.121,0.782,6.444,2.011,17
52,30,F,28.16,26.125,1.017,25.682,-174.959,44.586,43.485,0.551,78.973,-196.942,0.267,0.647,2.423,1.628,23
53,30,F,15.547,14.804,0.372,39.817,-173.215,49.301,47.974,0.664,72.288,-197.074,0.107,0.717,6.71,0.953,18
54,30,F,38.686,35.462,1.612,22.005,-176.993,80.838,78.195,1.321,59.179,-200.958,0.113,0.628,5.572,1.172,22
55,30,F,23.886,22.857,0.515,44.409,-180.533,60.082,58.039,1.022,56.816,-196.396,0.104,0.621,5.993,1.551,24
56,30,F,20.87,19.802,0.534,37.079,-176.173,42.292,41.333,0.48,86.18,-197.435,0.12,0.731,6.075,1.017,24
57,30,F,40.273,37.356,1.459,25.605,-179.733,55.34,54.147,0.597,90.721,-201.762,0.35,0.694,1.984,0.986,25
58,30,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,30,F,45.835,43.863,0.986,44.479,-189.33,36.125,35.561,0.282,126.066,-200.531,0.412,1.058,2.569,3.601,18
60,30,F,35.223,33.84,0.692,48.936,-187.123,53.386,52.215,0.586,89.18,-201.042,0.721,1.057,1.467,4.405,21
61,30,F,29.548,27.418,1.065,25.744,-175.642,34.515,33.629,0.443,75.925,-192.952,0.355,0.882,2.488,3.914,30
62,30,F,23.453,22.478,0.488,46.092,-180.809,38.805,38.041,0.382,99.569,-198.262,0.378,0.647,1.713,2.932,19
63,30,F,28.605,27.883,0.361,77.141,-190.643,79.628,77.579,1.025,75.705,-204.167,0.391,1.007,2.576,3.225,22
64,30,F,26.68,25.504,0.588,43.408,-181.702,22.691,22.147,0.272,81.455,-188.275,0.324,0.891,2.75,3.062,NA
65,30,F,22.955,22.398,0.279,80.368,-188.246,39.905,38.714,0.596,64.999,-192.756,0.466,0.854,1.831,1.864,18
66,30,F,20.002,18.962,0.52,36.472,-175.367,57.045,55.925,0.56,99.901,-203.494,0.687,0.723,1.053,2.842,26
67,30,F,24.293,23.619,0.337,70.102,-187.121,65.38,63.425,0.978,64.859,-199.373,0.349,1.289,3.697,3.917,23
68,30,F,18.852,17.815,0.519,34.328,-173.711,42.881,41.32,0.781,52.912,-190.863,0.305,0.967,3.172,2.693,19
69,30,F,19.388,18.715,0.337,55.559,-180.857,21.841,21.343,0.249,85.793,-188.476,0.73,0.873,1.196,1.839,18
70,30,F,45.67,44.401,0.634,70.011,-195.601,56.941,55.792,0.574,97.179,-203.091,0.296,0.75,2.529,2.45,24
71,30,F,40.579,39.774,0.403,98.81,-198.758,36.058,35.096,0.481,72.977,-192.994,0.405,0.808,1.993,3.322,23
72,30,F,14.084,13.583,0.25,54.311,-176.237,69.081,67.491,0.795,84.89,-203.833,0.513,0.746,1.454,1.171,23
73,30,F,16.961,16.418,0.271,60.475,-180.235,60.222,57.641,1.291,44.661,-193.062,0.348,1.031,2.964,1.401,16
74,30,F,25.587,25.238,0.175,144.339,-197.736,54.914,53.704,0.605,88.751,-201.355,0.249,1.216,4.877,2.89,27
75,30,F,15.196,14.911,0.142,104.848,-186.348,57.833,56.075,0.879,63.797,-197.492,0.21,1.064,5.067,2.856,20
76,30,F,12.377,12.103,0.137,88.222,-181.214,30.607,29.623,0.492,60.183,-188.116,0.279,0.883,3.16,2.223,21
77,30,F,19.974,18.56,0.707,26.261,-170.656,43.466,42.421,0.522,81.246,-196.991,0.169,0.836,4.962,2.414,24
78,30,F,28.561,25.779,1.391,18.533,-170.388,60.072,57.887,1.092,52.989,-195.422,0.25,0.962,3.852,3.703,20
79,30,F,22.542,21.592,0.475,45.453,-180.08,73.986,70.137,1.925,36.444,-192.967,0.26,0.818,3.143,2.946,25
80,30,F,21.846,20.806,0.52,40.025,-177.868,43.91,42.097,0.907,46.432,-189.355,0.204,0.988,4.842,3.485,21
81,30,F,20.307,19.481,0.413,47.161,-179.191,62.065,59.944,1.061,56.516,-196.759,0.269,0.971,3.603,1.677,25
82,30,F,28.363,27.36,0.502,54.548,-185.723,55.507,54.085,0.711,76.07,-199.375,0.429,0.445,1.036,2.892,18
83,30,F,29.135,28.458,0.339,84.035,-192.07,30.58,29.302,0.639,45.826,-184.3,0.093,0.43,4.633,2.212,21
84,30,F,21.61,20.478,0.566,36.186,-176.297,17.886,17.017,0.434,39.173,-174.872,0.13,0.859,6.632,2.089,19
