Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV)
118,32,M,17.322,16.807,0.257,65.277,-181.58
119,32,M,21.056,20.387,0.335,60.884,-183.241
120,32,M,NA,NA,NA,NA,NA
121,32,M,7.888,7.311,0.289,25.337,-157.632
122,32,M,14.926,14.462,0.232,62.232,-178.913
123,32,M,13.033,12.321,0.356,34.629,-168.865
124,32,M,16.058,15.583,0.237,65.705,-180.65
125,32,M,14.71,14.291,0.21,68.172,-179.98
126,32,M,8.06,7.316,0.372,19.668,-154.232
127,32,M,11.614,11.057,0.278,39.732,-169.258
128,32,M,6.699,6.4,0.15,42.79,-162.895
129,32,M,14.167,13.567,0.3,45.265,-173.767
130,32,M,18.569,18.104,0.233,77.773,-184.938
131,32,M,12.513,11.595,0.459,25.235,-163.786
132,32,M,12.718,12.164,0.277,43.931,-171.896
133,32,M,20.453,20.047,0.203,98.642,-189.511
134,32,M,15.932,15.606,0.163,95.847,-185.753
135,32,M,16.77,16.377,0.196,83.36,-184.523
136,32,M,17.263,16.718,0.272,61.35,-180.673
137,32,M,17.809,17.59,0.11,160.364,-194.293
138,32,M,13.446,13.196,0.125,105.445,-184.779
139,32,M,17.591,16.95,0.32,52.895,-178.862
140,32,M,22.67,22.074,0.298,74.159,-186.968
141,32,M,14.391,14.079,0.156,90.148,-183.541
142,32,M,11.343,10.797,0.273,39.577,-168.885
143,32,M,25.157,24.427,0.365,66.935,-186.951
144,32,M,15.408,14.762,0.323,45.702,-175.033
145,32,M,16.208,15.203,0.502,30.267,-169.882
146,32,M,20.031,18.939,0.546,34.708,-174.684
147,32,M,17.873,17.19,0.342,50.335,-178.384
148,32,M,23.734,21.795,0.97,22.479,-170.726
149,32,M,23.729,23.045,0.342,67.39,-186.258
150,32,M,16.571,15.11,0.731,20.675,-164.667
151,32,M,27.81,27.169,0.321,84.707,-191.554
152,32,M,20.382,19.68,0.351,56.058,-181.654
153,32,M,10.265,9.941,0.162,61.509,-173.71
154,32,M,16.22,15.85,0.185,85.649,-184.447
155,32,M,12.52,12.208,0.156,78.416,-179.745
156,32,M,9.171,8.56,0.306,27.993,-161.097
157,32,M,16.163,15.872,0.146,108.786,-187.685
158,32,M,19.421,19.14,0.141,136.197,-193.231
159,32,M,24.037,23.537,0.25,94.142,-191.043
160,32,M,14.479,13.85,0.315,44.036,-173.674
161,32,F,23.109,22.434,0.338,66.431,-185.703
162,32,F,24.058,23.452,0.303,77.446,-188.367
163,32,F,19.825,19.072,0.377,50.626,-179.86
164,32,F,22.744,21.967,0.388,56.596,-183.264
165,32,F,17.42,16.522,0.449,36.781,-173.626
166,32,F,11.158,10.521,0.319,33.024,-166.099
167,32,F,18.858,18.151,0.354,51.326,-179.378
168,32,F,11.549,10.962,0.294,37.302,-168.292
169,32,F,7.648,7.161,0.244,29.368,-159.34
170,32,F,20.976,20.56,0.208,98.835,-189.878
171,32,F,12.335,11.819,0.258,45.806,-172.071
172,32,F,16.432,15.81,0.311,50.848,-177.394
173,32,F,22.868,22.236,0.316,70.468,-186.379
174,32,F,19.101,18.754,0.174,107.98,-189.832
175,32,F,14.404,13.806,0.299,46.163,-174.267
176,32,F,23.295,22.485,0.405,55.465,-183.305
177,32,F,11.113,9.887,0.613,16.122,-155.609
178,32,F,27.961,26.729,0.616,43.4,-182.331
179,32,F,8.661,7.859,0.401,19.592,-155.142
180,32,F,17.365,16.552,0.407,40.716,-175.019
181,32,F,25.284,24.784,0.25,99.142,-192.435
182,32,F,20.267,19.739,0.264,74.754,-185.57
183,32,F,21.539,21.04,0.249,84.396,-188.063
184,32,F,22.524,21.92,0.302,72.51,-186.57
185,32,F,12.132,11.615,0.259,44.926,-171.575
186,32,F,20.164,19.555,0.304,64.236,-183.402
187,32,F,26.997,26.184,0.406,64.442,-187.375
188,32,F,21.282,20.39,0.446,45.726,-179.389
189,32,F,21.576,21.116,0.23,91.85,-189.25
190,32,F,9.685,8.799,0.443,19.851,-156.841
191,32,F,NA,NA,NA,NA,NA
192,32,F,12.538,11.249,0.645,17.443,-158.406
193,32,F,28.556,28.091,0.233,120.705,-196.771
194,32,F,17.577,17.041,0.268,63.583,-181.412
195,32,F,27.75,26.363,0.694,38.013,-180.36
196,32,F,24.296,23.369,0.464,50.408,-182.537
197,32,F,23.099,22.605,0.247,91.507,-190.117
198,32,F,18.995,18.291,0.352,52.007,-179.659
199,32,F,19.35,18.25,0.55,33.17,-173.574
200,32,F,24.507,23.646,0.431,54.919,-183.85
201,32,F,10.336,9.829,0.253,38.808,-167.357
202,32,F,17.099,16.718,0.19,87.965,-185.525
203,32,F,5.069,4.744,0.163,29.19,-153.714
204,32,F,11.997,11.35,0.323,35.092,-167.938
205,32,F,19.79,19.342,0.224,86.46,-187.255
206,32,F,19.339,18.534,0.402,46.088,-178.21
207,32,F,21.535,20.773,0.381,54.512,-182.006
208,32,F,24.322,23.483,0.42,55.928,-184.002
209,32,F,16.856,16.391,0.233,70.392,-182.258
210,32,F,25.7,25.407,0.146,173.517,-200.305
211,32,F,26.515,25.851,0.332,77.882,-189.753
212,32,F,23.354,22.468,0.443,50.752,-182.1
213,32,F,20.292,19.862,0.215,92.334,-188.496
214,32,F,6.16,5.602,0.279,20.077,-150.914
