Mouse,Generation,Sex,InitialWeight,FinalWeight,AST,ALT,ASTALTRatio,BUN,Glucose,NADH,NADP,NADPH,NADPNADPHRatio,LiverWeight,LiverGSH,LiverGSSG,LiverTotalGSH,LiverGSHGSSGRatio,Liver2GSHGSSGRatio,LiverEhGSSG2GSH,Steatosis,Ballooning,Fibrosis,KidneyGSH,KidneyGSSG,KidneyTotalGSH,KidneyGSHGSSGRatio,Kidney2GSHGSSGRatio,KidneyEhGSSG2GSH
131,32,M,41.9,54.2,37,16,2.313,29,93,4.784,0.921,0.347,2.655,2.73,34.452,0.292,35.035,118.009,236.019,-199.215,0,4,0,11.595,0.459,12.513,25.235,50.470,-163.786
132,32,M,34.1,40.1,47,35,1.343,23,89,3.277,0.309,0.134,2.297,1.793,59.103,0.805,60.712,73.434,146.867,-200.094,0,3,0,12.164,0.277,12.718,43.931,87.861,-171.896
133,32,M,31.6,40.3,59,40,1.475,24,93,3.387,0.666,0.274,2.433,1.693,52.55,0.637,53.824,82.479,164.958,-200.076,0,3,0,20.047,0.203,20.453,98.642,197.283,-189.511
134,32,M,28,33.2,44,34,1.294,23,117,4.488,0.741,0.34,2.179,1.401,65.318,0.417,66.151,156.81,313.62,-211.655,0,2,0,15.606,0.163,15.932,95.847,191.694,-185.753
135,32,M,31.7,51.3,36,24,1.5,35,110,3.957,0.503,0.346,1.454,2.22,52.914,0.752,54.418,70.369,140.738,-198.031,1,5,0,16.377,0.196,16.770,83.360,166.720,-184.523
136,32,M,27.3,37.4,77,33,2.333,25,83,4.153,0.622,0.162,3.849,1.587,52.433,0.364,53.16,144.187,288.373,-207.566,0,1,0,16.718,0.272,17.263,61.350,122.700,-180.673
137,32,M,32.7,39.5,45,38,1.184,22,104,3.946,1.167,0.416,2.807,2.1,67.826,0.564,68.955,120.168,240.337,-208.579,0,3,0,17.590,0.110,17.809,160.364,320.727,-194.293
138,32,M,32.6,49.6,188,24,7.833,NA,99,5.008,1.007,0.595,1.693,2.351,NA,1.289,NA,NA,NA,NA,0,3,0,13.196,0.125,13.446,105.445,210.890,-184.779
139,32,M,25.3,35.2,35,21,1.667,22,94,3.141,0.708,0.421,1.683,1.522,77.132,0.53,78.192,145.586,291.172,-212.893,0,4,0,16.950,0.320,17.591,52.895,105.791,-178.862
140,32,M,23.1,27.9,69,21,3.286,27,100,3.326,0.812,0.322,2.521,1.649,51.13,0.348,51.826,146.931,293.862,-207.481,0,2,0,22.074,0.298,22.670,74.159,148.318,-186.968
141,32,M,26.7,35.1,120,36,3.333,17,103,1.681,0.892,0.347,2.571,1.821,67.622,0.775,69.171,87.305,174.609,-204.237,0,4,0,14.079,0.156,14.391,90.148,180.295,-183.541
142,32,M,25.7,34.3,82,38,2.158,14,95,2.899,0.996,0.254,3.923,1.875,43.232,0.694,44.62,62.292,124.584,-193.669,0,3,0,10.797,0.273,11.343,39.577,79.154,-168.885
143,32,M,32.7,40.9,37,22,1.682,31,90,3.63,0.794,0.584,1.36,2.173,77.795,0.915,79.625,85.006,170.012,-205.764,0,3,0,24.427,0.365,25.157,66.935,133.870,-186.951
144,32,M,24.4,43.9,127,22,5.773,24,120,3.438,0.661,0.614,1.076,2.151,56.232,0.755,57.741,74.522,149.043,-199.622,0,4,0,14.762,0.323,15.408,45.702,91.404,-175.033
145,32,M,33,36.5,135,30,4.5,26,92,3.333,0.781,0.247,3.16,1.829,55.115,0.755,56.625,72.992,145.985,-199.073,0,2,0,15.203,0.502,16.208,30.267,60.535,-169.882
146,32,M,30.4,32.4,49,19,2.579,24,88,4.315,0.774,0.239,3.241,1.334,38.114,0.225,38.563,169.761,339.522,-205.471,0,2,0,18.939,0.546,20.031,34.708,69.415,-174.684
147,32,M,31.5,48,37,24,1.542,43,102,3.973,0.86,0.221,3.885,2.405,78.682,2.288,83.258,34.392,68.785,-193.734,1,4,0,17.190,0.342,17.873,50.335,100.671,-178.384
148,32,M,26.3,31.3,66,25,2.64,22,113,2.179,0.778,0.182,4.28,1.551,42.728,0.348,43.424,122.759,245.519,-202.645,0,2,0,21.795,0.970,23.734,22.479,44.957,-170.726
149,32,M,32.4,40.6,35,22,1.591,21,102,2.981,0.653,0.295,2.211,1.577,41.773,0.421,42.614,99.286,198.573,-199.483,0,1,0,23.045,0.342,23.729,67.390,134.780,-186.258
150,32,M,23.7,29.5,50,30,1.667,24,92,3.489,0.609,0.329,1.848,1.432,77.036,0.809,78.654,95.217,190.435,-207.16,0,1,0,15.110,0.731,16.571,20.675,41.350,-164.667
151,32,M,26.5,35.4,43,26,1.654,21,97,2.954,0.623,0.323,1.928,2.024,54.379,0.561,55.501,97.002,194.005,-202.721,0,4,0,27.169,0.321,27.810,84.707,169.413,-191.554
152,32,M,35.3,47.9,27,22,1.227,24,87,3.646,0.613,0.549,1.117,2.158,59.979,0.866,61.711,69.23,138.46,-199.499,0,2,0,19.680,0.351,20.382,56.058,112.116,-181.654
153,32,M,30.1,30.6,48,29,1.655,15,66,3.32,0.708,0.051,13.906,2.2,36.735,0.402,37.538,91.472,182.944,-196.649,0,0,0,9.941,0.162,10.265,61.509,123.019,-173.710
154,32,M,37.7,61.5,101,31,3.258,21,113,2.496,0.589,0.382,1.539,2.51,84.067,0.847,85.761,99.264,198.529,-208.896,0,3,0,15.850,0.185,16.220,85.649,171.299,-184.447
155,32,M,28.9,40.1,82,52,1.577,20,118,2.206,0.656,0.327,2.009,1.928,42.043,0.416,42.876,100.951,201.901,-199.794,0,4,0,12.208,0.156,12.520,78.416,156.833,-179.745
156,32,M,38.3,44.9,51,25,2.04,31,73,4.282,2.006,0.467,4.295,1.833,73.523,0.72,74.963,102.144,204.288,-207.477,0,4,0,8.560,0.306,9.171,27.993,55.986,-161.097
157,32,M,34.6,55.3,102,33,3.091,21,70,4.703,1.3,0.898,1.448,3.388,59.704,0.77,61.245,77.496,154.992,-200.956,5,1,0,15.872,0.146,16.163,108.786,217.572,-187.685
158,32,M,42.2,58.2,38,32,1.188,21,257,3.909,1.417,0.561,2.525,3.214,64.529,0.662,65.853,97.43,194.86,-205.084,2,4,0,19.140,0.141,19.421,136.197,272.393,-193.231
159,32,M,31.3,42.5,39,23,1.696,17,88,5.394,1.9,0.517,3.674,1.596,42.982,0.677,44.336,63.495,126.99,-193.849,0,5,0,23.537,0.250,24.037,94.142,188.283,-191.043
160,32,M,32.6,49.4,41,31,1.323,22,132,3.131,1.414,NA,NA,2.472,59.287,0.602,60.491,98.513,197.026,-204.092,0,4,0,13.850,0.315,14.479,44.036,88.071,-173.674
161,32,F,21.3,31.4,49,35,1.4,33,91,5.006,1.565,0.434,3.607,1.246,55.623,0.565,56.753,98.516,197.031,-203.234,0,4,0,22.434,0.338,23.109,66.431,132.861,-185.703
162,32,F,28.3,46,134,33,4.061,27,105,3.784,1.57,0.355,4.424,1.876,59.89,0.815,61.52,73.503,147.006,-200.285,1,5,0,23.452,0.303,24.058,77.446,154.892,-188.367
163,32,F,21.3,36,49,19,2.579,22,103,2.642,2.271,0.122,18.68,1.477,57.501,0.444,58.389,129.462,258.924,-207.358,0,2,0,19.072,0.377,19.825,50.626,101.251,-179.860
164,32,F,32.3,59.2,51,26,1.962,25,87,5.149,1.549,0.421,3.682,2.35,40.543,0.5,41.543,81.059,162.119,-196.35,1,4,0,21.967,0.388,22.744,56.596,113.193,-183.264
165,32,F,21,27,61,28,2.179,31,98,6.397,2.575,0.246,10.45,1.14,65.289,0.558,66.405,117.014,234.028,-207.707,0,3,0,16.522,0.449,17.420,36.781,73.562,-173.626
166,32,F,28.7,46.2,43,25,1.72,29,97,4.55,2.103,0.197,10.686,1.595,29.872,0.282,30.435,106.014,212.028,-195.851,0,2,0,10.521,0.319,11.158,33.024,66.048,-166.099
167,32,F,23.3,40.2,49,23,2.13,24,103,3.385,1.986,0.349,5.693,1.772,67.875,0.869,69.612,78.119,156.237,-202.79,0,5,0,18.151,0.354,18.858,51.326,102.652,-179.378
168,32,F,22.7,25.4,50,21,2.381,23,100,3.081,1.388,0.656,2.118,0.965,43.617,0.323,44.263,134.892,269.784,-204.191,0,4,0,10.962,0.294,11.549,37.302,74.605,-168.292
169,32,F,22.7,31.4,49,16,3.063,19,85,3.094,1.789,0.242,7.406,1.133,33.884,0.495,34.873,68.499,136.999,-191.668,0,3,0,7.161,0.244,7.648,29.368,58.737,-159.340
170,32,F,23.5,29.2,69,21,3.286,29,110,5.01,2.386,0.366,6.525,1.285,48.991,0.78,50.55,62.844,125.689,-195.472,0,3,0,20.560,0.208,20.976,98.835,197.669,-189.878
171,32,F,23.3,38.8,45,25,1.8,23,91,3.257,2.132,0.326,6.541,1.9,45.294,0.681,46.656,66.497,132.995,-195.176,0,5,0,11.819,0.258,12.335,45.806,91.612,-172.071
172,32,F,26.6,39,49,23,2.13,30,80,3.091,1.865,0.205,9.091,1.382,35.796,0.615,37.025,58.21,116.42,-190.216,0,3,0,15.810,0.311,16.432,50.848,101.696,-177.394
173,32,F,19.3,30.3,72,21,3.429,25,67,2.147,2.079,0.36,5.775,1.19,51.148,0.553,52.254,92.54,185.079,-201.262,0,1,0,22.236,0.316,22.868,70.468,140.935,-186.379
174,32,F,29.7,40.9,45,24,1.875,27,100,4.265,1.47,0.116,12.649,1.573,54.028,1.672,57.373,32.304,64.608,-187.83,1,4,0,18.754,0.174,19.101,107.980,215.960,-189.832
175,32,F,22.1,32.1,42,21,2,24,98,3.218,1.384,0.071,19.547,1.394,40.877,0.592,42.062,69.011,138.021,-194.294,0,4,0,13.806,0.299,14.404,46.163,92.327,-174.267
176,32,F,21.3,33.5,75,29,2.586,27,93,3.293,0.942,0.236,3.996,1.593,43.273,0.675,44.624,64.063,128.127,-194.06,0,3,0,22.485,0.405,23.295,55.465,110.931,-183.305
177,32,F,22.1,27.4,52,24,2.167,23,74,2.104,1.316,0.26,5.058,1.073,63.604,0.713,65.031,89.172,178.344,-203.697,0,4,0,9.887,0.613,11.113,16.122,32.245,-155.609
178,32,F,18.1,25.6,41,17,2.412,20,129,4.503,0.88,0.463,1.899,1.078,66.38,0.661,67.702,100.373,200.747,-205.865,0,4,0,26.729,0.616,27.961,43.400,86.800,-182.331
179,32,F,23.8,33.1,58,31,1.871,16,76,3.107,0.792,0.167,4.746,1.366,48.678,0.681,50.039,71.503,143.007,-197.123,0,4,0,7.859,0.401,8.661,19.592,39.184,-155.142
180,32,F,22.4,34.7,39,17,2.294,20,102,3.074,0.895,0.171,5.219,1.337,55.553,1.04,57.634,53.392,106.785,-194.97,0,4,0,16.552,0.407,17.365,40.716,81.433,-175.019
181,32,F,23.3,42.8,37,15,2.467,18,100,5.234,0.904,0.274,3.294,1.81,22.179,0.458,23.096,48.408,96.816,-181.289,0,4,0,24.784,0.250,25.284,99.142,198.283,-192.435
182,32,F,26.3,49.3,104,26,4,20,114,3.928,0.668,0.305,2.19,2.362,61.091,0.684,62.46,89.296,178.591,-203.173,1,4,0,19.739,0.264,20.267,74.754,149.508,-185.570
183,32,F,20.5,27.1,75,29,2.586,29,78,4.831,0.92,0.118,7.786,1.334,38.593,0.546,39.685,70.703,141.405,-193.846,0,3,0,21.040,0.249,21.539,84.396,168.792,-188.063
184,32,F,27.1,47.9,42,20,2.1,29,91,6.933,0.78,0.19,4.097,1.568,46.445,0.79,48.025,58.794,117.589,-193.857,0,3,0,21.920,0.302,22.524,72.510,145.021,-186.570
185,32,F,22.6,47.5,47,34,1.382,28,76,5.322,0.948,0.107,8.849,1.677,41.295,0.332,41.96,124.199,248.397,-202.342,0,3,0,11.615,0.259,12.132,44.926,89.852,-171.575
186,32,F,26.3,49.4,57,41,1.39,26,138,5.536,0.538,0.376,1.429,2.322,38.685,0.472,39.629,81.883,163.765,-195.855,2,4,0,19.555,0.304,20.164,64.236,128.473,-183.402
187,32,F,17.5,32.5,44,14,3.143,22,125,4.663,0.776,0.285,2.722,1.499,103.986,0.79,105.566,131.606,263.211,-215.556,0,4,0,26.184,0.406,26.997,64.442,128.884,-187.375
188,32,F,20,24.9,39,18,2.167,26,92,5.028,0.767,0.197,3.888,0.934,43.736,0.585,44.906,74.777,149.555,-196.285,0,1,0,20.390,0.446,21.282,45.726,91.452,-179.389
189,32,F,25.5,45.5,146,28,5.214,30,86,4.386,0.894,0.185,4.821,1.785,53.721,0.578,54.876,93.017,186.035,-201.992,2,4,0,21.116,0.230,21.576,91.850,183.700,-189.250
190,32,F,20.4,39.7,111,25,4.44,27,122,6.133,0.814,0.25,3.249,1.203,38.101,0.511,39.124,74.524,149.048,-194.382,0,2,1,8.799,0.443,9.685,19.851,39.702,-156.841
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,32,F,19.7,34.3,34,17,2,17,100,1.581,1.091,0.062,17.539,1.572,51.069,0.288,51.646,177.181,354.362,-209.986,0,4,0,11.249,0.645,12.538,17.443,34.886,-158.406
193,32,F,21.5,27.5,59,26,2.269,25,88,2.442,0.813,0.241,3.372,1.065,48.404,0.58,49.565,83.435,166.871,-199.125,0,2,1,28.091,0.233,28.556,120.705,241.410,-196.771
194,32,F,31.4,60.6,51,25,2.04,23,125,2.884,0.983,0.375,2.624,2.293,46.726,0.42,47.565,111.349,222.698,-202.535,0,4,0,17.041,0.268,17.577,63.583,127.167,-181.412
195,32,F,21.7,28.8,48,20,2.4,28,98,3.163,1.867,0.249,7.489,1.299,34.508,0.525,35.559,65.682,131.363,-191.348,0,2,0,26.363,0.694,27.750,38.013,76.025,-180.360
196,32,F,27.4,42.3,37,23,1.609,25,113,3.151,0.886,0.166,5.354,1.65,65.85,0.525,66.9,125.492,250.984,-208.764,0,4,0,23.369,0.464,24.296,50.408,100.816,-182.537
197,32,F,23.7,31.5,50,28,1.786,26,91,3.362,0.661,0.074,8.925,1.348,43.049,0.546,44.14,78.871,157.742,-196.789,0,2,0,22.605,0.247,23.099,91.507,183.013,-190.117
198,32,F,24.8,36.7,34,16,2.125,18,97,5.082,0.59,0.241,2.449,1.343,53.834,0.808,55.449,66.641,133.283,-197.531,0,1,0,18.291,0.352,18.995,52.007,104.014,-179.659
199,32,F,22.9,34.7,44,14,3.143,22,110,3.61,0.457,0.138,3.309,1.487,50.428,0.606,51.641,83.156,166.312,-199.631,0,4,0,18.250,0.550,19.350,33.170,66.341,-173.574
200,32,F,18.8,29.2,54,24,2.25,24,88,4.112,0.857,0.206,4.151,1.002,54.852,0.745,56.342,73.668,147.336,-199.133,0,3,0,23.646,0.431,24.507,54.919,109.838,-183.850
201,32,F,19.6,28.3,46,17,2.706,28,96,7.572,0.982,0.213,4.62,0.998,35.503,0.268,36.04,132.278,264.556,-201.156,0,4,0,9.829,0.253,10.336,38.808,77.616,-167.357
202,32,F,25,34.2,233,49,4.755,25,98,6.247,0.632,0.141,4.479,1.357,60.38,0.794,61.968,76.028,152.055,-200.85,0,3,0,16.718,0.190,17.099,87.965,175.929,-185.525
203,32,F,24.5,33.9,44,17,2.588,24,77,4.983,0.982,0.089,10.998,1.367,36.232,0.348,36.928,104.078,208.155,-198.202,0,2,0,4.744,0.163,5.069,29.190,58.379,-153.714
204,32,F,26.3,41.4,51,23,2.217,22,99,3.056,0.725,0.145,5.006,1.757,55.042,1.341,57.724,41.043,82.086,-191.304,0,5,0,11.350,0.323,11.997,35.092,70.183,-167.938
205,32,F,22.2,33.8,41,24,1.708,25,92,3.215,0.446,0.082,5.424,1.225,36.084,0.575,37.233,62.786,125.573,-191.343,0,2,0,19.342,0.224,19.790,86.460,172.921,-187.255
206,32,F,19.3,27.5,46,24,1.917,24,83,4.171,0.642,0.019,33.067,1.001,53.802,0.541,54.884,99.446,198.891,-202.912,0,3,0,18.534,0.402,19.339,46.088,92.175,-178.210
207,32,F,23.9,48.4,65,30,2.167,26,72,5.633,0.401,0.131,3.053,1.737,31.572,0.523,32.618,60.35,120.7,-189.011,0,3,0,20.773,0.381,21.535,54.512,109.025,-182.006
208,32,F,22.7,32.4,70,31,2.258,28,82,5.016,0.576,0.071,8.079,1.65,55.098,0.694,56.486,79.4,158.8,-200.202,0,3,0,23.483,0.420,24.322,55.928,111.857,-184.002
209,32,F,25.5,37.9,33,15,2.2,20,106,3.163,0.929,0.078,11.898,1.884,64.002,0.488,64.977,131.285,262.57,-208.989,0,4,0,16.391,0.233,16.856,70.392,140.783,-182.258
210,32,F,19.5,22.8,58,20,2.9,48,89,3.04,1.336,0.031,42.501,0.935,55.141,0.878,56.898,62.782,125.564,-197.051,0,1,0,25.407,0.146,25.700,173.517,347.034,-200.305
211,32,F,21.8,28.3,44,17,2.588,27,99,2.951,1.234,0.029,42.094,1.062,96.583,0.859,98.301,112.411,224.822,-212.439,0,3,0,25.851,0.332,26.515,77.882,155.764,-189.753
212,32,F,22.6,28.3,125,24,5.208,17,105,3.995,1.073,0.073,14.606,1.109,61.955,0.942,63.838,65.78,131.56,-199.247,0,2,0,22.468,0.443,23.354,50.752,101.504,-182.100
213,32,F,24.3,49.4,50,21,2.381,17,91,4.639,1.113,0.301,3.694,1.563,67.464,0.933,69.329,72.347,144.694,-201.675,0,3,0,19.862,0.215,20.292,92.334,184.667,-188.496
214,32,F,21.9,38.7,47,27,1.741,22,77,3.769,1.062,0.069,15.33,1.302,39.903,0.274,40.451,145.509,291.019,-204.013,0,2,0,5.602,0.279,6.160,20.077,40.154,-150.914
215,32,F,27.8,40.4,49,36,1.361,24,97,2.659,0.82,0.081,10.089,1.391,59.79,0.866,61.523,69.012,138.024,-199.414,1,4,0,14.150,0.348,14.846,40.651,81.302,-172.886
216,32,F,23.8,40.6,170,29,5.862,24,95,3.807,1.005,0.151,6.643,1.995,57.831,0.72,59.272,80.296,160.591,-201.004,0,4,0,8.174,0.372,8.917,22.001,44.001,-157.232
217,32,F,25.4,35.6,57,29,1.966,26,102,4.582,0.999,0.202,4.955,1.188,43.658,0.49,44.637,89.139,178.277,-198.626,0,4,0,16.343,0.214,16.771,76.371,152.741,-183.316
218,32,F,18.9,26.8,54,20,2.7,22,84,3.643,1.051,0.068,15.395,1.167,44.523,0.389,45.301,114.409,228.817,-202.25,0,3,0,22.969,0.467,23.903,49.184,98.368,-181.974
219,32,F,18.7,31.1,118,26,4.538,27,51,3.591,0.997,0.202,4.943,1.1,53.59,0.681,54.951,78.745,157.49,-199.716,0,2,0,24.987,0.384,25.756,65.032,130.064,-186.868
220,32,F,22.7,36.7,45,25,1.8,27,75,4.529,0.953,0.097,9.872,1.49,49.146,0.618,50.382,79.498,158.997,-198.679,1,4,0,20.556,0.307,21.171,66.873,133.746,-184.616
221,35,M,25.5,41.3,51,19,2.684,NA,85,1.365,0.928,0.254,3.655,1.595,22.848,0.226,23.301,101.011,202.023,-191.592,0,3,0,24.639,0.285,25.209,86.513,173.026,-190.522
222,35,M,30.6,52.8,29,18,1.611,NA,118,2.388,1.092,0.365,2.991,2.129,33.624,0.437,34.498,76.926,153.852,-193.126,0,4,0,15.234,0.279,15.791,54.692,109.384,-177.875
223,35,M,26.1,33.7,45,29,1.552,26,102,1.872,1.048,0.405,2.588,1.625,34.073,0.551,35.175,61.836,123.672,-190.365,0,4,0,18.939,0.338,19.616,55.997,111.994,-181.123
224,35,M,31.6,42.7,45,26,1.731,NA,103,3.269,1.243,0.34,3.661,2.025,55.034,0.794,56.621,69.333,138.667,-198.361,1,5,0,7.836,0.159,8.155,49.154,98.307,-167.487
225,35,M,26.5,36,84,22,3.818,32,95,2.223,1.221,0.111,10.987,1.348,41.679,0.448,42.575,93.065,186.13,-198.582,0,2,0,22.809,0.294,23.397,77.545,155.091,-188.009
226,35,M,27.6,32.1,52,28,1.857,NA,82,1.853,1.034,0.432,2.395,1.245,29.607,0.368,30.343,80.415,160.83,-192.011,0,3,0,14.538,0.475,15.488,30.584,61.168,-169.420
227,35,M,28.6,46.8,42,23,1.826,27,107,3.367,0.92,0.508,1.811,2.379,31.405,0.588,32.581,53.406,106.811,-187.294,0,4,0,9.841,0.234,10.309,41.983,83.967,-168.431
228,35,M,29.6,47.6,43,26,1.654,36,112,2.006,0.836,0.241,3.473,2.25,51.874,0.648,53.169,80.106,160.212,-199.509,0,3,0,9.459,0.117,9.692,81.134,162.267,-176.768
229,35,M,32,49.8,38,23,1.652,23,92,0.983,0.936,0.262,3.574,2.038,19.938,0.357,20.651,55.922,111.845,-181.797,0,2,0,21.644,0.204,22.053,106.050,212.099,-191.518
230,35,M,30.2,45.1,35,19,1.842,28,96,1.542,1.28,0.258,4.965,1.829,46.674,0.588,47.851,79.32,158.639,-197.954,0,3,0,18.153,0.628,19.408,28.927,57.854,-171.660
231,35,M,33.4,45.2,38,27,1.407,26,120,1.459,0.796,0.358,2.222,1.994,29.083,0.343,29.769,84.761,169.522,-192.479,0,4,0,22.293,0.292,22.877,76.420,152.841,-187.505
232,35,M,32.7,45.8,33,23,1.435,29,103,2.231,1.061,0.177,5.986,2.127,22.039,0.431,22.901,51.102,102.204,-181.932,1,4,0,13.133,0.375,13.883,35.005,70.010,-169.869
233,35,M,34.9,54.5,37,22,1.682,36,367,2.062,0.946,0.22,4.295,3.72,48.495,0.543,49.581,89.308,178.616,-200.066,0,4,0,12.473,0.214,12.901,58.264,116.527,-176.034
234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,35,M,31,45.9,38,23,1.652,27,118,1.64,0.836,0.234,3.574,2.321,45.903,0.666,47.235,68.935,137.87,-195.841,0,4,0,13.932,0.269,14.470,51.841,103.681,-175.951
236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,35,M,32.7,35.5,33,17,1.941,24,120,1.055,1.043,0.206,5.069,1.736,46.832,0.63,48.091,74.378,148.756,-197.133,0,2,0,9.162,0.180,9.522,50.866,101.733,-170.053
238,35,M,33.8,46.5,44,27,1.63,25,96,0.783,1.334,0.189,7.049,1.864,28.389,0.283,28.954,100.396,200.791,-194.433,0,3,0,31.181,0.457,32.095,68.239,136.479,-190.498
239,35,M,29.6,37.4,41,18,2.278,23,92,1.046,0.881,0.088,9.967,1.691,40.083,0.491,41.066,81.582,163.163,-196.283,0,2,0,21.815,0.233,22.281,93.681,187.363,-189.955
240,35,M,33.4,50.4,45,30,1.5,24,118,1.245,1.163,0.109,10.641,2.002,42.521,0.719,43.959,59.148,118.296,-192.749,0,2,0,9.206,0.204,9.614,45.192,90.385,-168.525
241,35,M,30.2,33.9,44,21,2.095,27,67,0.658,0.957,0.44,2.176,1.514,32.713,0.581,33.876,56.269,112.539,-188.547,0,3,0,14.228,0.577,15.382,24.668,49.337,-166.236
242,35,M,36,40.6,29,15,1.933,15,103,1.416,0.822,0.401,2.053,2.208,13.477,0.153,13.784,87.819,175.638,-182.601,0,3,0,16.818,0.237,17.292,70.883,141.767,-182.698
243,35,M,40.7,54.7,137,31,4.419,22,330,1.547,0.61,0.288,2.12,3.415,23.411,0.309,24.029,75.797,151.595,-188.053,0,3,0,11.219,0.107,11.433,104.487,208.974,-182.471
244,35,M,34.8,57.4,36,16,2.25,18,97,1.428,0.932,0.097,9.603,2.661,26.854,0.352,27.557,76.342,152.683,-189.997,1,3,0,12.041,0.325,12.691,37.034,74.067,-169.459
245,35,M,33,50.5,45,33,1.364,24,101,1.368,1.072,0.055,19.564,2.083,42.735,0.619,43.974,68.999,137.999,-194.89,0,3,0,11.264,0.293,11.850,38.481,76.963,-169.077
246,35,M,32.6,43.2,41,32,1.281,27,149,1.594,1.001,0.139,7.175,1.949,31.367,0.389,32.146,80.531,161.062,-192.807,0,3,0,20.634,0.349,21.332,59.129,118.259,-183.010
247,35,M,27.6,48.7,63,25,2.52,24,115,0.959,1.243,0.294,4.236,1.951,34.295,0.483,35.261,71.009,142.018,-192.315,0,4,0,14.919,0.210,15.340,70.936,141.873,-181.095
248,35,M,30.5,50.7,48,31,1.548,34,331,1.059,1.518,0.125,12.182,2.713,37.326,0.5,38.327,74.616,149.231,-194.122,0,3,0,10.786,0.181,11.148,59.696,119.392,-174.405
249,35,M,46.6,64.8,27,24,1.125,21,161,1.429,1.523,0.25,6.081,3.625,41.394,0.634,42.662,65.295,130.591,-193.718,0,5,0,19.243,0.309,19.861,62.301,124.602,-182.774
250,35,M,36.1,51,43,24,1.792,16,84,0.831,1.59,0.108,14.752,1.821,42.903,0.608,44.119,70.547,141.094,-195.242,0,2,0,7.297,0.271,7.839,26.954,53.907,-158.439
251,35,M,29.4,41.2,50,40,1.25,22,92,3.241,1.169,0.162,7.194,1.767,38.872,0.622,40.116,62.492,124.984,-192.281,0,2,0,7.384,0.129,7.642,57.156,114.313,-168.717
252,35,M,27.9,35.7,42,24,1.75,25,89,1.401,0.895,0.026,34.344,1.453,36.072,0.636,37.345,56.672,113.345,-189.959,0,0,0,12.049,0.338,12.726,35.621,71.242,-168.945
253,35,M,29.3,50.3,41,24,1.708,22,108,2.584,1.241,0.226,5.48,2.302,30.2,0.386,30.973,78.163,156.325,-191.895,0,4,0,16.832,0.372,17.577,45.209,90.418,-176.654
254,35,M,29.9,47.3,34,19,1.789,24,79,0.995,1.42,0.222,6.412,1.543,18.345,0.338,19.02,54.343,108.685,-180.29,0,3,0,22.891,0.409,23.709,56.022,112.043,-183.681
255,35,M,35,52.6,59,28,2.107,23,131,3.816,0.471,0.228,2.07,2.311,20.653,0.25,21.153,82.664,165.328,-187.533,0,3,0,9.579,0.092,9.763,104.096,208.193,-180.294
256,35,M,32.2,47.3,45,23,1.957,21,99,0.293,1.603,0.137,11.664,1.93,10.775,0.314,11.402,34.344,68.687,-166.948,1,1,0,7.260,0.308,7.875,23.601,47.201,-156.581
257,35,M,33.5,52.5,41,29,1.414,29,174,1.219,0.506,0.473,1.071,1.849,38.161,0.85,39.86,44.917,89.833,-187.587,0,4,0,12.050,0.415,12.879,29.070,58.139,-166.209
258,35,M,34.3,51.7,35,20,1.75,18,152,3.164,0.731,0.415,1.759,2.127,41.641,0.671,42.982,62.068,124.137,-193.116,0,5,0,10.789,0.178,11.145,60.718,121.435,-174.638
259,35,M,27.5,32.9,53,21,2.524,21,164,3.99,0.546,0.388,1.407,1.457,23.83,0.214,24.258,111.251,222.503,-193.458,0,2,0,12.438,0.357,13.153,34.819,69.638,-169.066
260,35,M,23.6,33,30,18,1.667,21,166,2.902,0.731,0.402,1.821,1.399,36.272,0.477,37.227,75.995,151.99,-193.983,0,4,0,15.253,0.215,15.684,70.815,141.631,-181.370
261,35,M,26,36.1,43,28,1.536,27,86,1.302,0.881,0.282,3.127,1.702,60.02,1.636,63.291,36.694,73.387,-190.961,0,3,0,12.405,0.366,13.138,33.862,67.723,-168.655
262,35,M,31.9,44,40,24,1.667,16,137,2.758,0.732,0.267,2.746,1.744,34.195,0.819,35.833,41.761,83.523,-185.129,0,4,1,13.760,0.443,14.647,31.036,62.072,-168.877
263,35,M,29.1,43.4,38,24,1.583,30,274,2.064,0.6,0.295,2.037,2.228,38.473,0.471,39.415,81.72,163.44,-195.754,0,5,0,18.291,0.258,18.807,70.921,141.841,-183.835
264,35,M,29.4,51.4,38,22,1.727,NA,110,2.544,0.713,0.152,4.691,2.143,55.099,0.528,56.155,104.411,208.821,-203.889,0,4,0,10.745,0.176,11.097,61.047,122.095,-174.655
265,35,M,29.7,52.6,44,27,1.63,18,130,2.626,0.675,0.419,1.61,1.824,43.37,0.517,44.404,83.88,167.76,-197.718,0,4,0,18.126,0.213,18.552,85.025,170.051,-186.155
